scientific_name_original,scientific_name_corrected,page_number,remarks
Silene cretacea Fisch. ex Spreng.,Silene cretacea Fisch. ex Spreng.,4,
Silene furcata Raf. subsp. angustiflora (Rupr.) Walters,Silene furcata Raf. subsp. angustiflora (Rupr.) Walters,4,
Silene haussknechtii Heldr. ex Hausskn.,Silene haussknechtii Heldr. ex Hausskn.,4,
Silene hifacensis Rouy ex Willk.,Silene hifacensis Rouy ex Willk.,4,
Silene holzmannii Heldr. ex Boiss.,Silene holzmannii Heldr. ex Boiss.,4,
Silene mariana Pau,Silene mariana Pau,4,
Silene orphanidis Boiss.,Silene orphanidis Boiss.,4,
Silene pompeiopolitana Gay ex Boiss.,Silene pompeiopolitana Gay ex Boiss.,4,
Silene rothmaleri Pinto da Silva,Silene rothmaleri Pinto da Silva,5,
Silene salsuginea Hub.-Mor.,Silene salsuginea Hub.-Mor.,5,
Silene sangaria Coode & Cullen,Silene sangaria Coode & Cullen,5,
Silene velutina Pourret ex Loisel.,Silene velutina Pourret ex Loisel.,5,
Beta adanensis Pamuk. apud Aellen,Beta adanensis Pamuk. apud Aellen,5,
Beta trojana Pamuk. apud Aellen,Beta trojana Pamuk. apud Aellen,5,
Cremnophyton lanfrancoi Brullo et Pavone,Cremnophyton lanfrancoi Brullo et Pavone,5,
Kalidiopsis wagenitzii Aellen,Kalidiopsis wagenitzii Aellen,5,
Kochia saxicola Guss.,Kochia saxicola Guss.,5,
Microcnemum coralloides (Loscos & Pardo) Font Quer subsp.anatolicum,Microcnemum coralloides (Loscos & Pardo) Font Quer subsp.anatolicum Wagenitz,5,
Salicornia veneta Pignatti & Lausi,Salicornia veneta Pignatti & Lausi,5,
Salsola anatolica Aellen,Salsola anatolica Aellen,5,
Suaeda cucullata Aellen,Suaeda cucullata Aellen,5,
Helianthemum alypoides Losa & Rivas Goday,Helianthemum alypoides Losa & Rivas Goday,5,
Helianthemum arcticum (Grosser) Janch.,Helianthemum arcticum (Grosser) Janch.,5,
Helianthemum caput-felis Boiss.,Helianthemum caput-felis Boiss.,5,
Tuberaria major (Willk.) Pinto da Silva & Roseira,Tuberaria major (Willk.) Pinto da Silva & Roseira,5,
Achillea glaberrima Klok.,Achillea glaberrima Klok.,5,
Achillea thracica Velen.,Achillea thracica Velen.,5,
Anacyclus latealatus Hub.-Mor.,Anacyclus latealatus Hub.-Mor.,5,
Andryala levitomentosa (E. I. Nayardy) P. D. Sell,Andryala levitomentosa (E. I. Nayardy) P. D. Sell,5,
Anthemis glaberrima (Rech.f.) Greuter,Anthemis glaberrima (Rech.f.) Greuter,5,
Anthemis halophila Boiss. & Bal.,Anthemis halophila Boiss. & Bal.,5,
Anthemis trotzkiana Claus ex Bunge.,Anthemis trotzkiana Claus ex Bunge.,5,
Artemisia granatensis Boiss.,Artemisia granatensis Boiss.,5,
Artemisia insipida Vill.,Artemisia insipida Vill.,5,
Artemisia laciniata Willd.,Artemisia laciniata Willd.,5,
Artemisia pancicii (Janka) Ronn.,Artemisia pancicii (Janka) Ronn.,5,
Aster pyrenaeus Desf. ex DC.,Aster pyrenaeus Desf. ex DC.,5,
Aster sibiricus L.,Aster sibiricus L.,5,
Carduus myriacanthus Salzm. ex DC.,Carduus myriacanthus Salzm. ex DC.,5,
Carlina diae (Rech.f.) Meusel & Kastener,Carlina diae (Rech.f.) Meusel & Kastener,5,
Carlina onopordifolia Besser,Carlina onopordifolia Besser,5,
Centaurea alba L. subsp. heldreichii (Halacsy) Dostal (Centaurea heldreichii,Centaurea heldreichii Halacsy,5,removed Centaurea alba L. subsp. heldreichii (Halacsy) Dostal
Centaurea alba L. subsp. princeps (Boiss. & Heldr.) Gugler (Centaurea princeps,Centaurea princeps Boiss. & Heldr,5,removed Centaurea alba L. subsp. princeps (Boiss. & Heldr.) Gugler
Centaurea akamatis Th. Georgiades & G. Chatzikiriakou,Centaurea akamatis Th. Georgiades & G. Chatzikiriakou,5,
Centaurea attica Nyman subsp. megarensis (Halacsy & Hayek) Dostal,Centaurea attica Nyman subsp. megarensis (Halacsy & Hayek) Dostal,5,
(Centaurea megarensis Halacsy & Hayek),Centaurea megarensis Halacsy & Hayek,5,
Centaurea balearica J.D.Rodriguez,Centaurea balearica J.D.Rodriguez,5,
Centaurea borjae Valdes-Berm. & Rivas Goday,Centaurea borjae Valdes-Berm. & Rivas Goday,5,
Centaurea citricolor Font Quer,Centaurea citricolor Font Quer,5,
Centaurea corymbosa Pourret,Centaurea corymbosa Pourret,5,
Centaurea dubjanskyi Iljin.,Centaurea dubjanskyi Iljin.,5,
Centaurea hermannii F.Hermann,Centaurea hermannii F.Hermann,5,
Centaurea horrida Badaro,Centaurea horrida Badaro,5,
Centaurea jankae Brandza,Centaurea jankae Brandza,6,
Centaurea kalambakensis Freyn & Sint.,Centaurea kalambakensis Freyn & Sint.,6,
Centaurea kartschiana Scop.,Centaurea kartschiana Scop.,6,
Centaurea lactiflora Halacsy,Centaurea lactiflora Halacsy,6,
Centaurea niederi Heldr.,Centaurea niederi Heldr.,6,
Centaurea peucedanifolia Boiss. & Orph.,Centaurea peucedanifolia Boiss. & Orph.,6,
Centaurea pineticola Iljin.,Centaurea pineticola Iljin.,6,
Centaurea pinnata Pau,Centaurea pinnata Pau,6,
Centaurea pontica Prodan & E. I. Nayardy,Centaurea pontica Prodan & E. I. Nayardy,6,
Centaurea pseudoleucolepis Kleop,Centaurea pseudoleucolepis Kleop,6,
Centaurea pulvinata (G.Blanca) G.Blanca,Centaurea pulvinata (G.Blanca) G.Blanca,6,
Centaurea tchihatcheffii Fich. & Mey.,Centaurea tchihatcheffii Fich. & Mey.,6,
Crepis crocifolia Boiss. & Heldr.,Crepis crocifolia Boiss. & Heldr.,6,
Crepis granatensis (Willk.) G.Blanca & M.Cueto,Crepis granatensis (Willk.) G.Blanca & M.Cueto,6,
Crepis purpurea Willd. Bieb.,Crepis purpurea Willd. Bieb.,6,
Dendranthema zawadskyi (Herb.) Tzvel.,Dendranthema zawadskyi (Herb.) Tzvel.,6,
Erigeron frigidus Boiss. ex DC.,Erigeron frigidus Boiss. ex DC.,6,
"Helichrysum melitense (Pignatti) Brulo, Lanfronco, Pavone et Ronsisvalle","Helichrysum melitense (Pignatti) Brulo, Lanfronco, Pavone et Ronsisvalle",6,
Helichrysum sibthorpii Rouy,Helichrysum sibthorpii Rouy,6,
Hymenostemma pseudanthemis (Kunze) Willd.,Hymenostemma pseudanthemis (Kunze) Willd.,6,
Jurinea cyanoides (L.) Reichenb.,Jurinea cyanoides (L.) Reichenb.,6,
Jurinea fontqueri Cuatrec.,Jurinea fontqueri Cuatrec.,6,
Lagoseris purpurea (Willd.) Boiss.,Lagoseris purpurea (Willd.) Boiss.,6,
Lamyropsis microcephala (Moris) Dittrich & Greuter,Lamyropsis microcephala (Moris) Dittrich & Greuter,6,
Leontodon boryi Boiss. ex DC.,Leontodon boryi Boiss. ex DC.,6,
Leontodon microcephalus (Boiss. ex DC.) Boiss.,Leontodon microcephalus (Boiss. ex DC.) Boiss.,6,
Leontodon siculus (Guss.) Finch & Sell,Leontodon siculus (Guss.) Finch & Sell,6,
Ligularia sibirica (L.) Cass.,Ligularia sibirica (L.) Cass.,6,
Palaeocyanus crassifolius (Bertoloni) Dostal,Palaeocyanus crassifolius (Bertoloni) Dostal,6,
Picris willkommii (Schultz Bip.) Nyman,Picris willkommii (Schultz Bip.) Nyman,6,
Santolina elegans Boiss. ex DC.,Santolina elegans Boiss. ex DC.,6,
Senecio elodes Boiss. ex DC.,Senecio elodes Boiss. ex DC.,6,
Senecio nevadensis Boiss. & Reuter,Senecio nevadensis Boiss. & Reuter,6,
Serratula tanaitica P. Smirn.,Serratula tanaitica P. Smirn.,6,
Sonchus erzincanicus Matthews,Sonchus erzincanicus Matthews,6,
Wagenitzia lancifolia (Sieber ex Sprengel) Dostal,Wagenitzia lancifolia (Sieber ex Sprengel) Dostal,6,
Convolvulus argyrothamnos Greuter,Convolvulus argyrothamnos Greuter,6,
Convolvulus pulvinatus Sa'ad,Convolvulus pulvinatus Sa'ad,6,
Alyssum akamasicum B.L.Burtt,Alyssum akamasicum B.L.Burtt,6,
Alyssum borzaeanum E. I. Nayardy,Alyssum borzaeanum E. I. Nayardy,6,
Alyssum pyrenaicum Lapeyr. (Ptilotrichum pyrenaicum (Lapeyr.) Boiss.),Alyssum pyrenaicum Lapeyr.,6,removedPtilotrichum pyrenaicum (Lapeyr.) Boiss.
Arabis kennedyae Meikle,Arabis kennedyae Meikle,6,
Armoracia macrocarpa (Waldst. & Kit.) Kit. ex Baumg.,Armoracia macrocarpa (Waldst. & Kit.) Kit. ex Baumg.,6,
Aurinia uechtritziana (Bornm.) Cullen et T. R. Dudley,Aurinia uechtritziana (Bornm.) Cullen et T. R. Dudley,6,
Biscutella neustriaca Bonnet,Biscutella neustriaca Bonnet,6,
Boleum asperum (Pers.) Desvaux,Boleum asperum (Pers.) Desvaux,6,
Brassica glabrescens Poldini,Brassica glabrescens Poldini,6,
Brassica hilarionis Post,Brassica hilarionis Post,6,
Brassica insularis Moris,Brassica insularis Moris,7,
Brassica macrocarpa Guss.,Brassica macrocarpa Guss.,7,
Brassica sylvestris (l.) Mill. subsp. taurica Tzvel.,Brassica sylvestris (l.) Mill. subsp. taurica Tzvel.,7,
Braya purpurasceus (R.Br.) Bunge,Braya purpurascens (R.Br.) Bunge,7,change u to n
Cochlearia polonica Frohlich,Cochlearia polonica Frohlich,7,
Coincya rupestris Rouy (Hutera rupestris P. Porta),Coincya rupestris Rouy (Hutera rupestris P. Porta),7,
Coronopus navasii Pau,Coronopus navasii Pau,7,
Crambe koktebelica (Junge) N. Busch.,Crambe koktebelica (Junge) N. Busch.,7,
Crambe litwinonowii K. Gross.,Crambe litwinowii K. Gross.,7,deleted extre on
Diplotaxis ibicensis (Pau) Gomez-Campo,Diplotaxis ibicensis (Pau) Gomez-Campo,7,
Diplotaxis siettiana Maire,Diplotaxis siettiana Maire,7,
Draba dorneri Heuffel,Draba dorneri Heuffel,7,
Erucastrum palustre (Pirona) Vis.,Erucastrum palustre (Pirona) Vis.,7,
Erysimum pieninicum (Zapal.) Pawl.,Erysimum pieninicum (Zapal.) Pawl.,7,
Iberis arbuscula Runemark,Iberis arbuscula Runemark,7,
Ionopsidium acaule (Desf.) Reichemb.,Ionopsidium acaule (Desf.) Reichemb.,7,
Ionopsidium savianum (Caruel) Ball ex Arcang.,Ionopsidium savianum (Caruel) Ball ex Arcang.,7,
Lepidium turczaninowii Lipsky.,Lepidium turczaninowii Lipsky.,7,
Murbeckiella sousae Rothm.,Murbeckiella sousae Rothm.,7,
Schivereckia podolica (Besser) Andrz.,Schivereckia podolica (Besser) Andrz.,7,
Sisymbrium cavanillesianum Valdes & Castroviejo (S. matritense P.W.Ball &,Sisymbrium cavanillesianum Valdes & Castroviejo,7,removed S. matritense P.W.Ball & Heywood
Sisymbrium confertum Stev.,Sisymbrium confertum Stev.,7,
Sisymbrium supinum L.,Sisymbrium supinum L.,7,
Thlaspi cariense A.Carlström,Thlaspi cariense A.CarlstrÃ¶m,7,
Thlaspi jankae A. Kern,Thlaspi jankae A. Kern,7,
Carex secalina Willd. ex Wahlenb.,Carex secalina Willd. ex Wahlenb.,7,
Eleocharis carniolica Koch,Eleocharis carniolica Koch,7,
Borderea chouardii (Gaussen) Heslot,Borderea chouardii (Gaussen) Heslot,7,
Dipsacus cephalarioides Mathews & Kupicha,Dipsacus cephalarioides Mathews & Kupicha,7,
Aldrovanda vesiculosa L.,Aldrovanda vesiculosa L.,7,
Vaccinium arctostaphylos L.,Vaccinium arctostaphylos L.,7,
Euphorbia margalidiana Kuhbier & Lewejohann,Euphorbia margalidiana Kuhbier & Lewejohann,7,
Euphorbia nevadensis Boiss. & Reuter,Euphorbia nevadensis Boiss. & Reuter,7,
Centaurium rigualii Esteve Chueca,Centaurium rigualii Esteve Chueca,7,
Centaurium somedanum Lainz,Centaurium somedanum Lainz,7,
Gentiana ligustica R. de Vilm. Chopinet,Gentiana ligustica R. de Vilm. Chopinet,7,
Gentianella anglica (Pugsley) E.F.Warburg,Gentianella anglica (Pugsley) E.F.Warburg,8,
Erodium astragaloides Boiss. & Reuter,Erodium astragaloides Boiss. & Reuter,8,
Erodium chrysanthum L'Herit. ex DC.,Erodium chrysanthum L'Herit. ex DC.,8,
Erodium paularense Fernandez-Gonzalez & Izco,Erodium paularense Fernandez-Gonzalez & Izco,8,
Erodium rupicola Boiss.,Erodium rupicola Boiss.,8,
Haberlea rhodopensis Friv.,Haberlea rhodopensis Friv.,8,
Jankaea heldreichii (Boiss.) Boiss.,Jankaea heldreichii (Boiss.) Boiss.,8,
Ramonda serbica Pancic,Ramonda serbica Pancic,8,
Avenula hackelii (Henriq.) Holub,Avenula hackelii (Henriq.) Holub,8,
Bromus bromoideus (Lej.) Crepin,Bromus bromoideus (Lej.) Crepin,8,
Bromus grossus Desf. ex DC.,Bromus grossus Desf. ex DC.,8,
Bromus interruptus (Hackel) Druce,Bromus interruptus (Hackel) Druce,8,
Bromus moesiacus Velen.,Bromus moesiacus Velen.,8,
Bromus psammophilus P.M.Smith,Bromus psammophilus P.M.Smith,8,
Coleanthus subtilis (Tratt.) Seidl,Coleanthus subtilis (Tratt.) Seidl,8,
Eremopoa mardinensis R.Mill,Eremopoa mardinensis R.Mill,8,
Gaudinia hispanica Stace & Tutin,Gaudinia hispanica Stace & Tutin,8,
Micropyropsis tuberosa Romero-Zarco Cabezudo,Micropyropsis tuberosa Romero-Zarco Cabezudo,8,
Poa granitica Br.- Bl.,Poa granitica Br.- Bl.,8,
Poa riphaea (Ascherson et Graebner) Fritsch,Poa riphaea (Ascherson et Graebner) Fritsch,8,
Puccinellia pungens (Pau) Paunero,Puccinellia pungens (Pau) Paunero,8,
Stipa austroitalica Martinovsky,Stipa austroitalica Martinovsky,8,
Stipa bavarica Martinovsky & H.Scholz,Stipa bavarica Martinovsky & H.Scholz,8,
Stipa danubialis Dihoru & Roman,Stipa danubialis Dihoru & Roman,8,
Stipa styriaca Martinovsky,Stipa styriaca Martinovsky,8,
Stipa syreistschikowii P. Smirn.,Stipa syreistschikowii P. Smirn.,8,
Trisetum subalpestre (Hartm.) Neuman,Trisetum subalpestre (Hartm.) Neuman,8,
Ribes sardoum Martelli,Ribes sardoum Martelli,8,
Hypericum aciferum (Greuter) N.K.B.Robson,Hypericum aciferum (Greuter) N.K.B.Robson,8,
Hypericum salsugineum Robson & Hub.-Mor.,Hypericum salsugineum Robson & Hub.-Mor.,8,
Crocus abantensis T.Baytop & Mathew,Crocus abantensis T.Baytop & Mathew,8,
Crocus cyprius Boiss. & Kotschy,Crocus cyprius Boiss. & Kotschy,8,
Crocus etruscus Parl.,Crocus etruscus Parl.,8,
Crocus hartmannianus Holmboe,Crocus hartmannianus Holmboe,9,
Crocus robertianus C.D. Brickell,Crocus robertianus C.D. Brickell,9,
Gladiolus felicis Mirek,Gladiolus felicis Mirek,9,
Iris marsica Ricci & Colasante,Iris marsica Ricci & Colasante,9,
Dracocephalum austriacum L.,Dracocephalum austriacum L.,9,
Dracocephalum ruyschiana L.,Dracocephalum ruyschiana L.,9,
Micromeria taygetea P.H.Davis,Micromeria taygetea P.H.Davis,9,
Nepeta dirphya (Boiss.) Heldr. ex Halacsy,Nepeta dirphya (Boiss.) Heldr. ex Halacsy,9,
Nepeta sphaciotica P.H.Davis,Nepeta sphaciotica P.H.Davis,9,
Origanum cordifolium (Auch. & Montbr.) Vogel (Amaracus,Origanum cordifolium (Auch. & Montbr.) Vogel,9,removed (Amaracus cordifolius Montr. & Auch.)
Origanum dictamnus L.,Origanum dictamnus L.,9,
Origanum scabrum Boiss. & Heldr,Origanum scabrum Boiss. & Heldr,9,
Phlomis brevibracteata Turrill,Phlomis brevibracteata Turrill,9,
Phlomis cypria Post,Phlomis cypria Post,9,
Rosmarinus tomentosus Hub.-Mor. & Maire,Rosmarinus tomentosus Hub.-Mor. & Maire,9,
Salvia crassifolia Sibth. & Smith,Salvia crassifolia Sibth. & Smith,9,
Sideritis cypria Post,Sideritis cypria Post,9,
Sideritis incana L. subsp. glauca (Cav.) Malagarriga,Sideritis incana L. subsp. glauca (Cav.) Malagarriga,9,
Sideritis javalambrensis Pau,Sideritis javalambrensis Pau,9,
Sideritis serrata Cav. ex Lag.,Sideritis serrata Cav. ex Lag.,9,
Teucrium charidemi Sandwith,Teucrium charidemi Sandwith,9,
Teucrium lamiifolium D'Urv.,Teucrium lamiifolium D'Urv.,9,
Teucrium lepicephalum Pau,Teucrium lepicephalum Pau,9,
Teucrium turredanum Losa & Rivas Goday,Teucrium turredanum Losa & Rivas Goday,9,
Thymus aznavourii Velen.,Thymus aznavourii Velen.,9,
Thymus camphoratus Hoffmanns. & Link,Thymus camphoratus Hoffmanns. & Link,9,
Thymus carnosus Boiss.,Thymus carnosus Boiss.,9,
Thymus cephalotos L.,Thymus cephalotos L.,9,
"Anthyllis hystrix Cardona, Contandr. & E.Sierra","Anthyllis hystrix Cardona, Contandr. & E.Sierra",9,
Astragalus aitosensis Ivanisch.,Astragalus aitosensis Ivanisch.,9,
Astragalus algarbiensis Coss. ex Bunge,Astragalus algarbiensis Coss. ex Bunge,9,
Astragalus aquilanus Anzalone,Astragalus aquilanus Anzalone,9,
Astragalus centralpinus Braun-Blanquet,Astragalus centralpinus Braun-Blanquet,9,
Astragalus kungurensis Boriss.,Astragalus kungurensis Boriss.,9,
Astragalus macrocarpus DC. subsp. lefkarensis Agerer-Kirchoff & Meikle,Astragalus macrocarpus DC. subsp. lefkarensis Agerer-Kirchoff & Meikle,9,
Astragalus maritimus Moris,Astragalus maritimus Moris,9,
Astragalus peterfii Jav.,Astragalus peterfii Jav.,9,
Astragalus physocalyx Fischer,Astragalus physocalyx Fischer,9,
Astragalus psedopurpureus Gusul.,Astragalus pseudopurpureus Gusul.,9,added u
Astragalus setosulus Gontsch.,Astragalus setosulus Gontsch.,9,
Astragalus tanaiticus C. Koch.,Astragalus tanaiticus K. Koch.,9,authorship corrected
Astragalus tremolsianus Pau,Astragalus tremolsianus Pau,9,
Astragalus verrucosus Moris,Astragalus verrucosus Moris,9,
Cytisus aeolicus Guss. ex Lindl.,Cytisus aeolicus Guss. ex Lindl.,10,
Genista dorycnifolia Font Quer,Genista dorycnifolia Font Quer,10,
Genista holopetala (Fleischm. ex Koch) Baldacci,Genista holopetala (Fleischm. ex Koch) Baldacci,10,
Genista tetragona Bess.,Genista tetragona Bess.,10,
Glycyrrhiza iconica Hub.-Mor.,Glycyrrhiza iconica Hub.-Mor.,10,
Hedysarum razoumovianum Fisch. et Helm.,Hedysarum razoumovianum Fisch. et Helm.,10,
Ononis maweana Ball,Ononis maweana Ball,10,
Oxytropis deflexa (Pallas) DC. subsp. norvegica Nordh.,Oxytropis deflexa (Pallas) DC. subsp. norvegica Nordh.,10,
Sphaerophysa kotschyana Boiss.,Sphaerophysa kotschyana Boiss.,10,
"Thermopsis turcica Kit Tan, Vural & Küçüködü","Thermopsis turcica Kit Tan, Vural & KÃ¼Ã§Ã¼kÃ¶dÃ¼",10,
Trifolium banaticum (Heuffel) Majovsky,Trifolium banaticum (Heuffel) Majovsky,10,
Trifolium pachycalyx Zoh.,Trifolium pachycalyx Zoh.,10,
Trifolium saxatile All.,Trifolium saxatile All.,10,
Trigonella arenicola Hub.-Mor.,Trigonella arenicola Hub.-Mor.,10,
Trigonella halophila Boiss.,Trigonella halophila Boiss.,10,
Trigonella polycarpa Boiss. & Heldr.,Trigonella polycarpa Boiss. & Heldr.,10,
Vicia bifoliolata J.D.Rodriguez,Vicia bifoliolata J.D.Rodriguez,10,
Pinguicula crystallina Sibth. & Sm.,Pinguicula crystallina Sibth. & Sm.,10,
Pinguicula nevadensis (Lindb.) Casper,Pinguicula nevadensis (Lindb.) Casper,10,
Allium grosii Font Quer,Allium grosii Font Quer,10,
Allium regelianum A. Beck.,Allium regelianum A. Beck.,10,
Allium vuralii Kit Tan,Allium vuralii Kit Tan,10,
Androcymbium europaeum (Lange) K.Richter,Androcymbium europaeum (Lange) K.Richter,10,
Androcymbium rechingeri Greuter,Androcymbium rechingeri Greuter,10,
Asparagus lycaonicus Davis,Asparagus lycaonicus Davis,10,
Asphodelus bento-rainhae Pinto da Silva,Asphodelus bento-rainhae Pinto da Silva,10,
Chionodoxa lochiae Meikle,Chionodoxa lochiae Meikle,10,
Chionodoxa luciliae Boiss.,Chionodoxa luciliae Boiss.,10,
Colchicum arenarium Waldst. & Kit.,Colchicum arenarium Waldst. & Kit.,10,
Colchicum corsicum Baker,Colchicum corsicum Baker,10,
Colchicum cousturieri Greuter,Colchicum cousturieri Greuter,10,
Colchicum davidovii Stef.,Colchicum davidovii Stef.,10,
Colchicum fominii Bordz.,Colchicum fominii Bordz.,10,
Colchicum micranthum Boiss.,Colchicum micranthum Boiss.,10,
Fritillaria conica Boiss.,Fritillaria conica Boiss.,10,
Fritillaria drenovskii Degen & Stoy.,Fritillaria drenovskii Degen & Stoy.,10,
Fritillaria epirotica Turrill ex Rix,Fritillaria epirotica Turrill ex Rix,10,
Fritillaria euboeica Rix,Fritillaria euboeica Rix,10,
Fritillaria graeca Boiss.,Fritillaria graeca Boiss.,10,
Fritillaria gussichiae (Degen & Doerfler) Rix,Fritillaria gussichiae (Degen & Doerfler) Rix,10,
Fritillaria montana Hoppe.,Fritillaria montana Hoppe.,10,
Fritillaria obliqua Ker-Gawl.,Fritillaria obliqua Ker-Gawl.,10,
Fritillaria rhodocanakis Orph. ex Baker,Fritillaria rhodocanakis Orph. ex Baker,10,
Fritillaria tuntasia Heldr. ex Halacsy,Fritillaria tuntasia Heldr. ex Halacsy,10,
