scientific_name_original,scientific_name_corrected,page_number,remarks
Asplenium hemionitis L.,Asplenium hemionitis L.,2,
Asplenium jahandiezii (Litard.) Rouy,Asplenium jahandiezii (Litard.) Rouy,2,
Woodwardia radicans (L.) Sm.,Woodwardia radicans (L.) Sm.,2,
Culcita macrocarpa C.Presl,Culcita macrocarpa C.Presl,2,
Dryopteris corleyi Fraser-Jenk.,Dryopteris corleyi Fraser-Jenk.,2,
Trichomanes speciosum Willd.,Trichomanes speciosum Willd.,2,
Isoetes boryana Durieu,Isoetes boryana Durieu,2,
Isoetes malinverniana Ces. & De Not.,Isoetes malinverniana Ces. & De Not.,2,
Marsilea batardae Launert,Marsilea batardae Launert,2,
Marsilea quadrifolia L.,Marsilea quadrifolia L.,2,
Marsilea strigosa Willd.,Marsilea strigosa Willd.,2,
Pilularia minuta Durieu ex.Braun,Pilularia minuta Durieu ex.Braun,2,
Botrychium matricariifolium A. Braun ex Koch,Botrychium matricariifolium A. Braun ex Koch,2,
Botrychium multifidum (S. G. Gmelin) Rupr.,Botrychium multifidum (S. G. Gmelin) Rupr.,2,
Botrychium simplex Hitchc.,Botrychium simplex Hitchc.,2,
Ophioglossum polyphyllum A.Braun,Ophioglossum polyphyllum A.Braun,2,
Salvinia natans (L.) All.,Salvinia natans (L.) All.,2,
Tetraclinis articulata (Vahl) Masters,Tetraclinis articulata (Vahl) Masters,3,
Abies nebrodensis (Lojac.) Mattei,Abies nebrodensis (Lojac.) Mattei,3,
Alisma wahlenbergii (O.R.Holmb.) Juz.,Alisma wahlenbergii (O.R.Holmb.) Juz.,3,
Caldesia parnassifolia (L.) Parl.,Caldesia parnassifolia (L.) Parl.,3,
Luronium natans (L.) Raf.,Luronium natans (L.) Raf.,3,
Leucojum nicaeense Ard.,Leucojum nicaeensis Ard.,3,change e to is
Narcissus angustifolius Curt.,Narcissus angustifolius Curt.,3,
Narcissus longispathus Pugsley,Narcissus longispathus Pugsley,3,
Narcissus nevadensis Pugsley,Narcissus nevadensis Pugsley,3,
Narcissus scaberulus Henriq.,Narcissus scaberulus Henriq.,3,
Narcissus triandrus L.,Narcissus triandrus L.,3,
Narcissus viridiflorus Schousboe,Narcissus viridiflorus Schousboe,3,
Sternbergia candida B.Mathew & Baytop,Sternbergia candida B.Mathew & Baytop,3,
Rhazya orientalis (Decaisne) A..,Rhazya orientalis (Decaisne) A..,3,
Arum purpureospathum Boyce,Arum purpureospathum Boyce,3,
Aristolochia samsunensis Davis,Aristolochia samsunensis Davis,3,
Vincetoxicum pannonicum (Borhidi) Holub,Vincetoxicum pannonicum (Borhidi) Holub,3,
Alkanna pinardii Boiss.,Alkanna pinardii Boiss.,3,
Anchusa crispa Viv. (inclu. A. litoreae),Anchusa crispa Viv. (inclu. A. litoreae),3,
Lithodora nitida (H.Ern) R.Fernandes,Lithodora nitida (H.Ern) R.Fernandes,3,
Myosotis praecox Hulphers,Myosotis praecox Hulphers,3,
Myosotis rehsteineri Wartm.,Myosotis rehsteineri Wartm.,3,
Omphalodes kuzinskyana Willk.,Omphalodes kuzinskyanae Willk.,3,change a to ae
Omphalodes littoralis Lehm.,Omphalodes littoralis Lehm.,4,
Onosma halophilum Boiss. & Heldr.,Onosma halophilum Boiss. & Heldr.,4,
Onosma polyphylla Lebed.,Onosma polyphyllum Lebed.,4,Ledeb. to Lebed.
Onosma proponticum Aznav.,Onosma proponticum Aznav.,4,
Onosma tornensis Javorka,Onosma tornensis Javorka,4,
Onosma troodi Kotschy,Onosma troodi Kotschy,4,
Solenanthus albanicus (Degen et al.),Solenanthus albanicus (Degen et al.),4,
Symphytum cycladense Pawl.,Symphytum cycladense Pawl.,4,
Asyneuma giganteum (Boiss.) Bornm.,Asyneuma giganteum (Boiss.) Bornm.,4,
Campanula abietina Griseb. et Schenk.,Campanula abietina Griseb. et Schenk.,4,
Campanula damboldtiana Davis,Campanula damboldtiana Davis,4,
Campanula gelida Kovanda,Campanula gelida Kovanda,4,
Campanula lanata Friv.,Campanula lanata Friv.,4,
Campanula lycica Sorger & Kit Tan,Campanula lycica Sorger & Kit Tan,4,
Campanula morettiana Reichenb.,Campanula morettiana Reichenb.,4,
Campanula romanica Savul.,Campanula romanica Savul.,4,
Campanula sabatia De Not.,Campanula sabatia De Not.,4,
Jasione lusitanica A.DC.,Jasione lusitanica A.DC.,4,
Physoplexis comosa (L.) Schur,Physoplexis comosa (L.) Schur,4,
Trachelium asperuloides Boiss. & Orph.,Trachelium asperuloides Boiss. & Orph.,4,
Arenaria nevadensis Boiss. & Reuter,Arenaria nevadensis Boiss. & Reuter,4,
Arenaria provincialis Chater & Halliday,Arenaria provincialis Chater & Halliday,4,
Cerastium alsinifolium Tausch,Cerastium alsinifolium Tausch,4,
Dianthus hypanicus Andrz.,Dianthus hypanicus Andrz.,4,
Dianthus nitidus Waldst. et Kit.,Dianthus nitidus Waldst. et Kit.,4,
Dianthus rupicola Biv.,Dianthus rupicola Biv.,4,
Dianthus serotinus Waldst. et Kit.,Dianthus serotinus Waldst. et Kit.,4,
Dianthus urumoffii Stoj. et Acht.,Dianthus urumoffii Stoj. et Acht.,4,
Gypsophila papillosa P.Porta,Gypsophila papillosa P.Porta,4,
Herniaria algarvica Chaudri,Herniaria algarvica Chaudri,4,
Herniaria maritima Link,Herniaria maritima Link,4,
Minuartia smejkalii Dvorakova,Minuartia smejkalii Dvorakova,4,
Moehringia fontqueri Pau,Moehringia fontqueri Pau,4,
Moehringia hypanica Grynj. et Klok.,Moehringia hypanica Grynj. et Klok.,4,
Moehringia jankae Griseb. ex Janka,Moehringia jankae Griseb. ex Janka,4,
Moehringia tommasinii Marches.,Moehringia tommasinii Marches.,4,
Petrocoptis grandiflora Rothm.,Petrocoptis grandiflora Rothm.,4,
Petrocoptis montsicciana O.Bolos Rivas Mart.,Petrocoptis montsicciana O.Bolos Rivas Mart.,4,
Petrocoptis pseudoviscosa Fernandez Casas,Petrocoptis pseudoviscosa Fernandez Casas,4,
Saponaria halophila Hedge & Hub.-Mor.,Saponaria halophila Hedge & Hub.-Mor.,4,
