scientific_name,remarks
Galemys pyrenaicus,
Rhinolophus blasii,
Rhinolophus euryale,
Rhinolophus ferrumequinum,
Rhinolophus hipposideros,
Rhinolophus mehelyi,
Barbastella barbastellus,
Miniopterus schreibersii,
Myotis bechsteinii,
Myotis blythii,
Myotis capaccinii,
Myotis dasycneme,
Myotis emarginatus,
Myotis myotis,
Rousettus aegyptiacus,
Myomimus roachi,
Marmota marmota latirostris,
Pteromys volans,removed (Sciuropterus russicus)
Spermophilus citellus,removed (Citellus citellus)
Spermophilus suslicus,removed (Citellus suslicus)
Castor fiber,"removed (except the Estonian, Latvian, Lithuanian, Finnish and Swedish populations)"
Mesocricetus newtoni,
Dinaromys bogdanovi,
Microtus cabrerae,
Microtus oeconomus arenicola,
Microtus oeconomus mehelyi,
Microtus tatricus,
Sicista subtilis,
Alopex lagopus,
Canis lupus,"removed (except the Estonian population; Greek populations: only south of the 39th parallel; Spanish populations: only those south of the Duero; Latvian, Lithuanian and Finnish populations)."
Ursus arctos,"removed (except the Estonian, Finnish and Swedish populations)"
Gulo gulo,
Lutra lutra,
Mustela eversmanii,
Mustela lutreola,
Vormela peregusna,
Lynx lynx,"removed (except the Estonian, Latvian and Finnish populations)"
Lynx pardinus,
Halichoerus grypus,
Monachus monachus,
Phoca hispida bottnica,
Phoca hispida saimensis,
Phoca vitulina,
Cervus elaphus corsicanus,
Rangifer tarandus fennicus,
Bison bonasus,
Capra aegagrus,removed (natural populations)
Capra pyrenaica pyrenaica,
Ovis gmelini musimon,removed (Ovis ammon musimon) (natural populations — Corsica and Sardinia)
Ovis orientalis ophion,removed (Ovis gmelini ophion)
Rupicapra pyrenaica ornata,removed (Rupicapra rupicapra ornata)
Rupicapra rupicapra balcanica,
Rupicapra rupicapra tatrica,
Phocoena phocoena,
Tursiops truncatus,
Testudo graeca,
Testudo hermanni,
Testudo marginata,
Caretta caretta,
Chelonia mydas,
Emys orbicularis,
Mauremys caspica,
Mauremys leprosa,
Dinarolacerta mosorensis,
Lacerta bonnali,removed (Lacerta monticola)
Lacerta monticola,
Lacerta schreiberi,
Gallotia galloti insulanagae,
Gallotia simonyi,
Podarcis lilfordi,
Podarcis pityusensis,
Chalcides simonyi,removed (Chalcides occidentalis)
Phyllodactylus europaeus,
Coluber cypriensis,
Elaphe quatuorlineata,
Elaphe situla,
Natrix natrix cypriaca,
Macrovipera schweizeri,removed (Vipera lebetina schweizeri)
Vipera ursinii,removed (except Vipera ursinii rakosiensis and Vipera ursinii macrops)
Vipera ursinii macrops,
Vipera ursinii rakosiensis,
Chioglossa lusitanica,
Mertensiella luschani,removed (Salamandra luschani)
Salamandra aurorae,removed (Salamandra atra aurorae)
Salamandrina terdigitata,
Triturus carnifex,removed (Triturus cristatus carnifex)
Triturus cristatus,removed (Triturus cristatus cristatus)
Triturus dobrogicus,removed (Triturus cristatus dobrogicus)
Triturus karelinii,removed (Triturus cristatus karelinii)
Triturus montandoni,
Triturus vulgaris ampelensis,
Proteus anguinus,
Hydromantes ambrosii,removed (Speleomantes)
Hydromantes flavus,removed (Speleomantes)
Hydromantes genei,removed (Speleomantes)
Hydromantes imperialis,removed (Speleomantes)
Hydromantes strinatii,removed (Speleomantes)
Hydromantes supramontis,removed (Speleomantes)
Alytes muletensis,
Bombina bombina,
Bombina variegata,
Discoglossus galganoi,removed (including Discoglossus ‘jeanneae’)
Discoglossus montalentii,
Discoglossus sardus,
Rana latastei,
Pelobates fuscus insubricus,
Eudontomyzon spp.,
Lampetra fluviatilis,removed (except the Finnish and Swedish populations)
Lampetra planeri,"removed (except the Estonian, Finnish, and Swedish populations)"
Lethenteron zanandreai,
Petromyzon marinus,removed (except the Swedish populations)
Acipenser naccarii,
Acipenser sturio,
Alosa spp.,
Hucho hucho,removed (natural populations)
Salmo macrostigma,
Salmo marmoratus,
Salmo salar,removed (only in fresh water) (except the Finnish populations)
Salmothymus obtusirostris,
Coregonus oxyrhynchus,removed (anadromous populations in certain sectors of the North Sea)
Umbra krameri,
Alburnus albidus,removed (Alburnus vulturius)
Aulopyge huegelii,
Anaecypris hispanica,
Aspius aspius,removed (except the Finnish populations)
Barbus comiza,
Barbus meridionalis,
Barbus plebejus,
Chalcalburnus chalcoides,
Chondrostoma genei,
Chondrostoma knerii,
Chondrostoma lusitanicum,
Chondrostoma phoxinus,
Chondrostoma polylepis,removed (including C. willkommi)
Chondrostoma soetta,
Chondrostoma toxostoma,
Gobio albipinnatus,
Gobio kessleri,
Gobio uranoscopus,
Iberocypris palaciosi,
Ladigesocypris ghigii,
Leuciscus lucumonis,
Leuciscus souffia,
Pelecus cultratus,
Phoxinellus spp.,
Phoxinus percnurus,
Rhodeus sericeus amarus,
Rutilus pigus,
Rutilus rubilio,
Rutilus arcasii,
Rutilus macrolepidotus,
Rutilus lemmingii,
Rutilus frisii meidingeri,
Rutilus alburnoides,
Scardinius graecus,
Squalius microlepis,
Squalius svallize,
Cobitis elongata,
Cobitis taenia,removed (except the Finnish populations)
Cobitis trichonica,
Misgurnus fossilis,
Sabanejewia aurata,
Sabanejewia larvata,(Cobitis larvata and Cobitis conspersa)
Silurus aristotelis,
Aphanius iberus,
Aphanius fasciatus,
Valencia hispanica,
Valencia letourneuxi,(Valencia hispanica)
Gymnocephalus baloni,
Gymnocephalus schraetzer,
Romanichthys valsanicola,
Zingel spp.,removed ((o) except Zingel asper and Zingel zingel)
Knipowitschia croatica,
Knipowitschia panizzae,removed (Padogobius)
Padogobius nigricans,
Pomatoschistus canestrini,
Cottus gobio,removed (except the Finnish populations)
Cottus petiti,
Austropotamobius pallipes,
Austropotamobius torrentium,
Armadillidium ghardalamensis,
Agathidium pulchellum,
Bolbelasmus unicornis,
Boros schneideri,
Buprestis splendens,
Carabus hampei,
Carabus hungaricus,
Carabus menetriesi pacholei,
Carabus olympiae,
Carabus variolosus,
Carabus zawadzkii,
Cerambyx cerdo,
Corticaria planula,
Cucujus cinnaberinus,
Dorcadion fulvum cervae,
Duvalius gebhardti,
Duvalius hungaricus,
Dytiscus latissimus,
Graphoderus bilineatus,
Leptodirus hochenwarti,
Limoniscus violaceus,
Lucanus cervus,
Macroplea pubipennis,
Mesosa myops,
Morimus funereus,
Osmoderma eremita,
Oxyporus mannerheimii,
Pilemia tigrina,
Phryganophilus ruficollis,
Probaticus subrugosus,
Propomacrus cypriacus,
Pseudogaurotina excellens,
Pseudoseriscius cameroni,
Pytho kolwensis,
Rhysodes sulcatus,
Rosalia alpina,
Stephanopachys linearis,
Stephanopachys substriatus,
Xyletinus tremulicola,
Aradus angularis,
Agriades glandon aquilo,
Arytrura musculus,
Callimorpha quadripunctaria,"removed(Euplagia, Panaxia)"
Catopta thrips,
Chondrosoma fiduciarium,
Clossiana improba,
Coenonympha oedippus,
Colias myrmidone,
Cucullia mixta,
Dioszeghyana schmidtii,
Erannis ankeraria,
Erebia calcaria,
Erebia christi,
Erebia medusa polaris,
Eriogaster catax,
Euphydryas aurinia,"removed (Eurodryas, Hypodryas)"
Glyphipterix loricatella,
