scientific_name,remarks
Gortyna borelii lunata,
Graellsia isabellae,
Hesperia comma catena,
Hypodryas maturna,
Leptidea morsei,
Lignyoptera fumidaria,
Lycaena dispar,
Lycaena helle,
Maculinea nausithous,
Maculinea teleius,
Melanargia arge,
Nymphalis vaualbum,
Papilio hospiton,
Phyllometra culminaria,
Plebicula golgus,
Polymixis rufocincta isolata,
Polyommatus eroides,
Proterebia afra dalmata,
Pseudophilotes bavius,
Xestia borealis,
Xestia brunneopicta,
Xylomoia strix,
Apteromantis aptera,
Coenagrion hylas,
Coenagrion mercuriale,
Coenagrion ornatum,
Cordulegaster heros,
Cordulegaster trinacriae,
Gomphus graslinii,
Leucorrhinia pectoralis,
Lindenia tetraphylla,
Macromia splendens,
Ophiogomphus cecilia,
Oxygastra curtisii,
Baetica ustulata,
Brachytrupes megacephalus,
Isophya costata,
Isophya harzi,
Isophya stysi,
Myrmecophilus baronii,
Odontopodisma rubripes,
Paracaloptenus caloptenoides,
Pholidoptera transsylvanica,
Stenobothrus eurasius,removed (Stenobothrodes)
Anthrenochernes stellae,
Anisus vorticulus,
Caseolus calculus,
Caseolus commixta,
Caseolus sphaerula,
Chilostoma banaticum,
Discula leacockiana,
Discula tabellata,
Discus guerinianus,
Elona quimperiana,
Geomalacus maculosus,
Geomitra moniziana,
Gibbula nivosa,
Helicopsis striata austriaca,
Hygromia kovacsi,
Idiomela subplicata,removed (Helix)
Lampedusa imitatrix,
Lampedusa melitensis,
Leiostyla abbreviata,
Leiostyla cassida,
Leiostyla corneocostata,
Leiostyla gibba,
Leiostyla lamellosa,
Paladilhia hungarica,
Sadleriana pannonica,
Theodoxus transversalis,
Vertigo angustior,
Vertigo genesii,
Vertigo geyeri,
Vertigo moulinsiana,
Margaritifera durrovensis,removed (Margaritifera margaritifera)
Margaritifera margaritifera,
Unio crassus,
Congeria kusceri,
Asplenium jahandiezii (Litard.) Rouy,
Asplenium adulterinum Milde,
Woodwardia radicans (L.) Sm.,
Culcita macrocarpa C. Presl,
Diplazium sibiricum (Turcz. ex Kunze) Kurata,
Dryopteris corleyi Fraser-Jenk.,
Dryopteris fragrans (L.) Schott,"error, corrected"
Trichomanes speciosum Willd.,
Isoetes boryana Durieu,
Isoetes malinverniana Ces. & De Not.,
Marsilea batardae Launert,
Marsilea quadrifolia L.,
Marsilea strigosa Willd.,
Botrychium simplex Hitchc.,
Ophioglossum polyphyllum A. Braun,
Abies nebrodensis (Lojac.) Mattei,
Alisma wahlenbergii (Holmberg) Juz.,
Caldesia parnassifolia (L.) Parl.,
Luronium natans (L.) Raf.,
Leucojum nicaeense Ardonio,changed authorship
Narcissus asturiensis (Jordan) Pugsley,
Narcissus calcicola Mendonça,
Narcissus cyclamineus DC.,
Narcissus fernandesii G. Pedro,
Narcissus humilis (Cav.) Traub,
Narcissus nevadensis Pugsley,
Narcissus pseudonarcissus L. subsp. nobilis (Haw.) A. Fernandes,
Narcissus scaberulus Henriq.,
Narcissus triandrus L. subsp. capax (Salisb.) D. A. Webb.,
Narcissus viridiflorus Schousboe,
Vincetoxicum pannonicum (Borhidi) Holub,
Anchusa crispa Viv.,
Echium russicum J.F.Gmlin,changed authorship
Lithodora nitida (H. Ern) R. Fernandes,
Myosotis lusitanica Schuster,
Myosotis rehsteineri Wartm.,
Myosotis retusifolia R. Afonso,
Omphalodes kuzinskyanae Willk.,
Omphalodes littoralis Lehm.,
Onosma tornensis Javorka,
Solenanthus albanicus (Degen & al.) Degen & Baldacci,
Symphytum cycladense Pawl.,
Adenophora lilifolia (L.) Ledeb.,
Asyneuma giganteum (Boiss.) Bornm.,
Campanula bohemica Hruby,
Campanula gelida Kovanda,
Campanula romanica S?vul.,
Campanula sabatia De Not.,
Campanula serrata (Kit.) Hendrych,
Campanula zoysii Wulfen,
Jasione crispa (Pourret) Samp. subsp. serpentinica Pinto da Silva,
Jasione lusitanica A. DC.,
Arenaria ciliata L. subsp. pseudofrigida Ostenf. & O.C. Dahl,
Arenaria humifusa Wahlenberg,
Arenaria nevadensis Boiss. & Reuter,
Arenaria provincialis Chater & Halliday,
Cerastium alsinifolium Tausch Cerastium dinaricum G. Beck & Szysz.,
Dianthus arenarius L. subsp. arenarius,
Dianthus arenarius subsp. bohemicus (Novak) O. Schwarz,
Dianthus cintranus Boiss. & Reuter subsp. cintranus Boiss. & Reuter,
Dianthus diutinus Kit.,
Dianthus lumnitzeri Wiesb.,
Dianthus marizii (Samp.) Samp.,
Dianthus moravicus Kovanda,
Dianthus nitidus Waldst. et Kit.,
Dianthus plumarius subsp. regis-stephani (Rapcs.) Baksay,
Dianthus rupicola Biv.,
Gypsophila papillosa P. Porta,
Herniaria algarvica Chaudhri,
Herniaria latifolia Lapeyr. subsp. litardierei Gamis,
Herniaria lusitanica (Chaudhri) subsp. berlengiana Chaudhri,
Herniaria maritima Link,
Minuartia smejkalii Dvorakova,
Moehringia jankae Griseb. ex Janka,
Moehringia lateriflora (L.) Fenzl.,
Moehringia tommasinii Marches.,
Moehringia villosa (Wulfen) Fenzl,
Petrocoptis grandiflora Rothm.,
Petrocoptis montsicciana O. Bolos & Rivas Mart.,
Petrocoptis pseudoviscosa Fernández Casas,
Silene furcata Rafin. subsp. angustiflora (Rupr.) Walters,
Silene hicesiae Brullo & Signorello,
Silene hifacensis Rouy ex Willk.,
Silene holzmanii Heldr. ex Boiss.,
Silene longicilia (Brot.) Otth.,
Silene mariana Pau,
Silene orphanidis Boiss,
Silene rothmaleri Pinto da Silva,
Silene velutina Pourret ex Loisel.,
Bassia (Kochia) saxicola (Guss.) A. J. Scott,
Cremnophyton lanfrancoi Brullo et Pavone,
Salicornia veneta Pignatti & Lausi,
Cistus palhinhae Ingram,
Halimium verticillatum (Brot.) Sennen,
Helianthemum alypoides Losa & Rivas Goday,
Helianthemum caput-felis Boiss.,
Tuberaria major (Willk.) Pinto da Silva & Rozeira,
Anthemis glaberrima (Rech. f.) Greuter,
Artemisia campestris L. subsp. bottnica A.N. Lundström ex Kindb.,
Artemisia granatensis Boiss.,
Artemisia laciniata Willd.,
Artemisia oelandica (Besser) Komaror,
Artemisia pancicii (Janka) Ronn.,
Aster pyrenaeus Desf. ex DC,
Aster sorrentinii (Tod) Lojac.,
Carlina onopordifolia Besser,
Carduus myriacanthus Salzm. ex DC.,
Centaurea alba L. subsp. heldreichii (Halacsy) Dostal,
Centaurea alba L. subsp. princeps (Boiss. & Heldr.) Gugler,
Centaurea akamantis T. Georgiadis & G. Chatzikyriakou,
Centaurea attica Nyman subsp. megarensis (Halacsy & Hayek) Dostal,
Centaurea balearica J.D. Rodriguez,
Centaurea borjae Valdes-Berm. & Rivas Goday,
Centaurea citricolor Font Quer,
Centaurea corymbosa Pourret,
Centaurea gadorensis G. Blanca,
Centaurea horrida Badaro,
Centaurea immanuelis-loewii Degen,
Centaurea jankae Brandza,
Centaurea kalambakensis Freyn & Sint.,
Centaurea kartschiana Scop.,
Centaurea lactiflora Halacsy,
Centaurea micrantha Hoffmanns. & Link subsp. herminii (Rouy) Dostál,
Centaurea niederi Heldr.,
Centaurea peucedanifolia Boiss. & Orph.,
Centaurea pinnata Pau,
Centaurea pontica Prodan & E.I. Nyárády,
Centaurea pulvinata (G. Blanca) G. Blanca,
Centaurea rothmalerana (Arènes) Dostál,
Centaurea vicentina Mariz,
Cirsium brachycephalum Juratzka,
Crepis crocifolia Boiss. & Heldr.,
Crepis granatensis (Willk.) B. Blanca & M. Cueto,
Crepis pusilla (Sommier) Merxmüller,
Crepis tectorum L. subsp. nigrescens,
Erigeron frigidus Boiss. ex DC.,
Helichrysum melitense (Pignatti) Brullo et al,
Hymenostemma pseudanthemis (Kunze) Willd.,
Hyoseris frutescens Brullo et Pavone,
Jurinea cyanoides (L.) Reichenb.,
Jurinea fontqueri Cuatrec.,
Lamyropsis microcephala (Moris) Dittrich & Greuter,
Leontodon microcephalus (Boiss. ex DC.) Boiss.,
Leontodon boryi Boiss.,
Leontodon siculus (Guss.) Finch & Sell,
Leuzea longifolia Hoffmanns. & Link,
Ligularia sibirica (L.) Cass.,
Palaeocyanus crassifolius (Bertoloni) Dostal,
Santolina impressa Hoffmanns. & Link,
Santolina semidentata Hoffmanns. & Link,
Saussurea alpina subsp. esthonica (Baer ex Rupr) Kupffer,
Senecio elodes Boiss. ex DC.,
Senecio jacobea L. subsp. gotlandicus (Neuman) Sterner,
Senecio nevadensis Boiss. & Reuter,
Serratula lycopifolia (Vill.) A. Kern,
Tephroseris longifolia (Jacq.) Griseb et Schenk subsp. moravica,
Convolvulus argyrothamnus Greuter,
Convolvulus fernandesii Pinto da Silva & Teles,
Alyssum pyrenaicum Lapeyr.,
Arabis kennedyae Meikle,
Arabis sadina (Samp.) P. Cout.,
Arabis scopoliana Boiss,
Biscutella neustriaca Bonnet,
Biscutella vincentina (Samp.) Rothm.,
Boleum asperum (Pers.) Desvaux,
Brassica glabrescens Poldini,
Brassica hilarionis Post,
Brassica insularis Moris,
Brassica macrocarpa Guss.,
Braya linearis Rouy,
Cochlearia polonica E. Fröhlich,
Cochlearia tatrae Borbas,
Coincya rupestris Rouy,
Coronopus navasii Pau,
Crambe tataria Sebeok,
Degenia velebitica (Degen) Hayek,
Diplotaxis ibicensis (Pau) Gómez-Campo,
Diplotaxis siettiana Maire,
Diplotaxis vicentina (P. Cout.) Rothm.,
Draba cacuminum Elis Ekman,
Draba cinerea Adams,
Draba dorneri Heuffel.,
Erucastrum palustre (Pirona) Vis.,
Erysimum pieninicum (Zapal.) Pawl.,
Iberis arbuscula Runemark,
Iberis procumbens Lange subsp. microcarpa Franco & Pinto da Silva,
Jonopsidium acaule (Desf.) Reichenb.,
Jonopsidium savianum (Caruel) Ball ex Arcang.,
Rhynchosinapis erucastrum (L.) Dandy ex Clapham subsp. cintrana (Coutinho) Franco & P. Silva (Coincya cintrana (P. Cout.) Pinto da Silva),
Sisymbrium cavanillesianum Valdés & Castroviejo,
Sisymbrium supinum L.,
Thlaspi jankae A. Kern.,
Carex holostoma Drejer,
Carex panormitana Guss.,
Eleocharis carniolica Koch,
Borderea chouardii (Gaussen) Heslot,
Aldrovanda vesiculosa L.,
Elatine gussonei (Sommier) Brullo et al,
Rhododendron luteum Sweet,
Euphorbia margalidiana Kuhbier & Lewejohann,
Euphorbia transtagana Boiss.,
Centaurium rigualii Esteve,
Centaurium somedanum Lainz,
Gentiana ligustica R. de Vilm. & Chopinet,
Gentianella anglica (Pugsley) E.F. Warburg,
Gentianella bohemica Skalicky,
Erodium astragaloides Boiss. & Reuter,
Erodium paularense Fernández-González & Izco,
Erodium rupicola Boiss.,
Globularia stygia Orph. ex Boiss.,
Arctagrostis latifolia (R. Br.) Griseb.,
Arctophila fulva (Trin.) N.J. Anderson,
Avenula hackelii (Henriq.) Holub,
Bromus grossus Desf. ex DC.,
Calamagrostis chalybaea (Laest.) Fries,
Cinna latifolia (Trev.) Griseb.,
Coleanthus subtilis (Tratt.) Seidl,
Festuca brigantina (Markgr.-Dannenb.) Markgr.-Dannenb.,
Festuca duriotagana Franco & R. Afonso,
Festuca elegans Boiss.,
Festuca henriquesii Hack.,
Festuca summilusitana Franco & R. Afonso,
Gaudinia hispanica Stace & Tutin,
Holcus setiglumis Boiss. & Reuter subsp. duriensis Pinto da Silva,
Micropyropsis tuberosa Romero - Zarco & Cabezudo,
Poa granitica Br.-Bl. subsp. disparilis (E. I. Nyárády) E. I. Nyárády,
Poa riphaea (Ascher et Graebner) Fritsch,
Pseudarrhenatherum pallens (Link) J. Holub,
Puccinellia phryganodes (Trin.) Scribner + Merr.,
Puccinellia pungens (Pau) Paunero,
Stipa austroitalica Martinovsky,
Stipa bavarica Martinovsky & H. Scholz,
Stipa danubialis Dihoru & Roman,
Stipa styriaca Martinovsky,
Stipa veneta Moraldo,
Stipa zalesskii Wilensky,
Trisetum subalpestre (Hartman) Neuman,
Ribes sardoum Martelli,
Hippuris tetraphylla L. Fil.,
Hypericum aciferum (Greuter) N.K.B. Robson,
Crocus cyprius Boiss. et Kotschy,
Crocus hartmannianus Holmboe,
Gladiolus palustris Gaud.,
Iris aphylla L. subsp. hungarica Hegi,
Iris humilis Georgi subsp. arenaria (Waldst. et Kit.) A. et D.Löve,
Juncus valvatus Link,
Luzula arctica Blytt,
Dracocephalum austriacum L.,
Micromeria taygetea P.H. Davis,
Nepeta dirphya (Boiss.) Heldr. ex Halacsy,
Nepeta sphaciotica P.H. Davis,
Origanum dictamnus L.,
Phlomis brevibracteata Turril,
Phlomis cypria Post,
Salvia veneris Hedge,
Sideritis cypria Post,
Sideritis incana subsp. glauca (Cav.) Malagarriga,
Sideritis javalambrensis Pau,
Sideritis serrata Cav. ex Lag.,
Teucrium lepicephalum Pau,
Teucrium turredanum Losa & Rivas Goday,
Thymus camphoratus Hoffmanns. & Link,
Thymus carnosus Boiss.,
Thymus lotocephalus G. López & R. Morales (Thymus cephalotos L.),
"Anthyllis hystrix Cardona, Contandr. & E. Sierra",
Astragalus algarbiensis Coss. ex Bunge,
Astragalus aquilanus Anzalone,
Astragalus centralpinus Braun-Blanquet,
Astragalus macrocarpus DC. subsp. lefkarensis,
Astragalus maritimus Moris,
Astragalus peterfii Jáv.,
Astragalus tremolsianus Pau,
Astragalus verrucosus Moris,
Cytisus aeolicus Guss. ex Lindl.,
Genista dorycnifolia Font Quer,
Genista holopetala (Fleischm. ex Koch) Baldacci,
Melilotus segetalis (Brot.) Ser. subsp. fallax Franco,
Ononis hackelii Lange,
Trifolium saxatile All.,
Vicia bifoliolata J.D. Rodríguez,
Pinguicula crystallina Sm.,
Pinguicula nevadensis (Lindb.) Casper,
Allium grosii Font Quer,
Androcymbium rechingeri Greuter,
Asphodelus bento-rainhae P. Silva,
Chionodoxa lochiae Meikle in Kew Bull.,
Colchicum arenarium Waldst. et Kit.,
Hyacinthoides vicentina (Hoffmans. & Link) Rothm.,
Muscari gussonei (Parl.) Tod.,
Scilla litardierei Breist.,
Scilla morrisii Meikle,
Tulipa cypria Stapf,
Tulipa hungarica Borbas,
Linum dolomiticum Borbas,
Linum muelleri Moris (Linum maritimum muelleri),
Lythrum flexuosum Lag.,
Kosteletzkya pentacarpos (L.) Ledeb.,
Najas flexilis (Willd.) Rostk. & W.L. Schmidt,
Najas tenuissima (A. Braun) Magnus,
Syringa josikaea Jacq. Fil. ex Reichenb.,
Anacamptis urvilleana Sommier et Caruana Gatto,
Calypso bulbosa L.,
Cephalanthera cucullata Boiss. & Heldr.,
Cypripedium calceolus L.,
Dactylorhiza kalopissii E. Nelson,
Gymnigritella runei Teppner & Klein,
Himantoglossum adriaticum Baumann,
Himantoglossum caprinum (Bieb.) V. Koch,
Liparis loeselii (L.) Rich.,
Ophrys kotschyi H.Fleischm. et Soo,
Ophrys lunulata Parl.,
Ophrys melitensis (Salkowski) J et P Devillers-Terschuren,
Platanthera obtusata (Pursh) subsp. oligantha (Turez.) Hulten,
Orobanche densiflora Salzm. ex Reut.,
Paeonia cambessedesii (Willk.) Willk.,
Paeonia clusii F.C. Stern subsp. rhodia (Stearn) Tzanoudakis,
Paeonia officinalis L. subsp. banatica (Rachel) Soo,
Paeonia parnassica Tzanoudakis,
Phoenix theophrasti Greuter,
Corydalis gotlandica Lidén,
Papaver laestadianum (Nordh.) Nordh.,
Papaver radicatum Rottb. subsp. hyperboreum Nordh.,
Plantago algarbiensis Sampaio (Plantago bracteosa (Willk.) G. Sampaio),
Plantago almogravensis Franco,
Armeria berlengensis Daveau,
Armeria helodes Martini & Pold,
Armeria neglecta Girard,
Armeria pseudarmeria (Murray) Mansfeld,
Armeria rouyana Daveau,
Armeria soleirolii (Duby) Godron,
Armeria velutina Welw. ex Boiss. & Reuter,
Limonium dodartii (Girard) O. Kuntze subsp. lusitanicum (Daveau) Franco,
Limonium insulare (Beg. & Landi) Arrig. & Diana,
Limonium lanceolatum (Hoffmans. & Link) Franco,
Limonium multiflorum Erben,
Limonium pseudolaetum Arrig. & Diana,
Limonium strictissimum (Salzmann) Arrig.,
Persicaria foliosa (H. Lindb.) Kitag.,
Polygonum praelongum Coode & Cullen,
Rumex rupestris Le Gall,
Androsace mathildae Levier,
Androsace pyrenaica Lam.,
Cyclamen fatrense Halda et Sojak,
Primula apennina Widmer,
Primula carniolica Jacq.,
Primula nutans Georgi,
Primula palinuri Petagna,
Primula scandinavica Bruun,
Soldanella villosa Darracq.,
Aconitum corsicum Gayer (Aconitum napellus subsp. corsicum),
Aconitum firmum (Reichenb.) Neilr subsp. moravicum Skalicky,
Adonis distorta Ten.,
Aquilegia bertolonii Schott,
Aquilegia kitaibelii Schott,
Aquilegia pyrenaica D.C. subsp. cazorlensis (Heywood) Galiano,
Consolida samia P.H. Davis,
Delphinium caseyi B.L. Burtt,
Pulsatilla grandis Wenderoth,
Pulsatilla patens (L.) Miller,
Pulsatilla pratensis (L.) Miller subsp. hungarica Soo,
Pulsatilla slavica G. Reuss.,
Pulsatilla subslavica Futak ex Goliasova,
Pulsatilla vulgaris Hill. subsp. gotlandica (Johanss.) Zaemelis & Paegle,
Ranunculus kykkoensis Meikle,
Ranunculus lapponicus L.,
Ranunculus weyleri Mares,
Reseda decursiva Forssk.,
Agrimonia pilosa Ledebour,
Potentilla delphinensis Gren. & Godron,
Potentilla emilii-popii Nyárády,
Pyrus magyarica Terpo,
Sorbus teodorii Liljefors,
Galium cracoviense Ehrend.,
Galium litorale Guss.,
Galium moldavicum (Dobrescu) Franco,
Galium sudeticum Tausch,
Galium viridiflorum Boiss. & Reuter,
Salix salvifolia Brot. subsp. australis Franco,
Thesium ebracteatum Hayne,
Saxifraga berica (Beguinot) D.A. Webb,
Saxifraga florulenta Moretti,
Saxifraga hirculus L.,
Saxifraga osloënsis Knaben,
Saxifraga tombeanensis Boiss. ex Engl.,
Antirrhinum charidemi Lange,
Chaenorrhinum serpyllifolium (Lange) Lange subsp. lusitanicum R. Fernandes,
Euphrasia genargentea (Feoli) Diana,
Euphrasia marchesettii Wettst. ex Marches.,
Linaria algarviana Chav.,
Linaria coutinhoi Valdés,
Linaria loeselii Schweigger,
Linaria ficalhoana Rouy,
Linaria flava (Poiret) Desf.,
Linaria hellenica Turrill,
Linaria pseudolaxiflora Lojacono,
Linaria ricardoi Cout.,
Linaria tonzigii Lona,
Linaria tursica B. Valdés & Cabezudo,
Odontites granatensis Boiss.,
Pedicularis sudetica Willd.,
Rhinanthus oesilensis (Ronniger & Saarsoo) Vassilcz,
Tozzia carpathica Wol.,
Verbascum litigiosum Samp.,
Veronica micrantha Hoffmanns. & Link,
Veronica oetaea L.-A. Gustavsson,
Atropa baetica Willk.,
Daphne arbuscula Celak,
Daphne petraea Leybold,
Daphne rodriguezii Texidor,
Zelkova abelicea (Lam.) Boiss.,
Angelica heterocarpa Lloyd,
Angelica palustris (Besser) Hoffm.,
Apium bermejoi Llorens,
Apium repens (Jacq.) Lag.,
Athamanta cortiana Ferrarini,
Bupleurum capillare Boiss. & Heldr.,
Bupleurum kakiskalae Greuter,
Eryngium alpinum L.,
Eryngium viviparum Gay,
Ferula sadleriana Lebed.,
Hladnikia pastinacifolia Reichenb.,
Laserpitium longiradium Boiss.,
Naufraga balearica Constans & Cannon,
Oenanthe conioides Lange,
Petagnia saniculifolia Guss.,
Rouya polygama (Desf.) Coincy,
Seseli intricatum Boiss.,
Seseli leucospermum Waldst. et Kit,
Thorella verticillatinundata (Thore) Briq.,
Centranthus trinervis (Viv.) Beguinot,
Viola delphinantha Boiss.,
Viola hispida Lam.,
Viola jaubertiana Mares & Vigineix,
Viola rupestris F.W. Schmidt subsp. relicta Jalas,
Bruchia vogesiaca Schwaegr.,
Bryhnia novae-angliae (Sull & Lesq.) Grout,
Bryoerythrophyllum campylocarpum (C. Müll.) Crum.,removed(Bryoerythrophyllum machadoanum (Sergio) M.O. Hill)
Buxbaumia viridis (Moug.) Moug. & Nestl.,
Cephalozia macounii (Aust.) Aust.,
Cynodontium suecicum (H. Arn. & C. Jens.) I. Hag.,
Dichelyma capillaceum (Dicks) Myr.,
Dicranum viride (Sull. & Lesq.) Lindb.,
Distichophyllum carinatum Dix. & Nich.,
Drepanocladus (Hamatocaulis) vernicosus (Mitt.) Warnst.,
Encalypta mutica (I. Hagen),
Hamatocaulis lapponicus (Norrl.) Hedenäs,
Herzogiella turfacea (Lindb.) I. Wats.,
Hygrohypnum montanum (Lindb.) Broth.,
Jungermannia handelii (Schiffn.) Amak.,
Mannia triandra (Scop.) Grolle,
Marsupella profunda Lindb.,
Meesia longiseta Hedw.,
Nothothylas orbicularis (Schwein.) Sull.,
Ochyraea tatrensis Vana,
Orthothecium lapponicum (Schimp.) C. Hartm.,
Orthotrichum rogeri Brid.,
