Erinaceus algirus
Crocidura canariensis
Crocidura sicula
Galemys pyrenaicus
Rousettus aegyptiacus
All species except Glis glis and Eliomys quercinus
Marmota marmota latirostris
Pteromys volans (Sciuropterus russicus)
Spermophilus citellus (Citellus citellus)
Spermophilus suslicus (Citellus suslicus)
Sciurus anomalus
"Castor fiber (except the Estonian, Latvian, Lithuanian, Polish, Finnish and Swedish populations)"
Cricetus cricetus (except the Hungarian populations)
Mesocricetus newtoni
Dinaromys bogdanovi
Microtus cabrerae
Microtus oeconomus arenicola
Microtus oeconomus mehelyi
Microtus tatricus
Sicista betulina
Sicista subtilis
Hystrix cristata
Alopex lagopus
"Canis lupus (except the Greek populations north of the 39th parallel; Estonian populations, Spanish populations north of the Duero; Bulgarian, Latvian, Lithuanian, Polish, Slovak populations and Finnish populations within the reindeer management area as defined in paragraph 2 of the Finnish Act No 848/90 of 14 September 1990 on reindeer management)"
Ursus arctos
Lutra lutra
Mustela eversmanii
Mustela lutreola
Vormela peregusna
Felis silvestris
Lynx lynx (except the Estonian population)
Lynx pardinus
Monachus monachus
Phoca hispida saimensis
Cervus elaphus corsicanus
Bison bonasus
Capra aegagrus (natural populations)
Capra pyrenaica pyrenaica
Ovis gmelini musimon (Ovis ammon musimon) (natural populations – Corsica and Sardinia)
Ovis orientalis ophion (Ovis gmelini ophion)
Rupicapra pyrenaica ornata (Rupicapra rupicapra ornata)
Rupicapra rupicapra balcanica
Rupicapra rupicapra tatrica
Testudo graeca
Testudo hermanni
Testudo marginata
Caretta caretta
Chelonia mydas
Lepidochelys kempii
Eretmochelys imbricata
Dermochelys coriacea
Emys orbicularis
Mauremys caspica
Mauremys leprosa
Algyroides fitzingeri
Algyroides marchi
Algyroides moreoticus
Algyroides nigropunctatus
Dalmatolacerta oxycephala
Dinarolacerta mosorensis
Gallotia atlantica
Gallotia galloti
Gallotia galloti insulanagae
Gallotia simonyi
Gallotia stehlini
Lacerta agilis
Lacerta bedriagae
Lacerta bonnali (Lacerta monticola)
Lacerta monticola
Lacerta danfordi
Lacerta dugesi
Lacerta graeca
Lacerta horvathi
Lacerta schreiberi
Lacerta trilineata
Lacerta viridis
Lacerta vivipara pannonica
Ophisops elegans
Podarcis erhardii
Podarcis filfolensis
Podarcis hispanica atrata
Podarcis lilfordi
Podarcis melisellensis
Podarcis milensis
Podarcis muralis
Podarcis peloponnesiaca
Podarcis pityusensis
Podarcis sicula
Podarcis taurica
Podarcis tiliguerta
Podarcis wagleriana
Ablepharus kitaibelii
Chalcides bedriagai
Chalcides ocellatus
Chalcides sexlineatus
Chalcides simonyi (Chalcides occidentalis)
Chalcides viridianus
Ophiomorus punctatissimus
Cyrtopodion kotschyi
Phyllodactylus europaeus
Tarentola angustimentalis
Tarentola boettgeri
Tarentola delalandii
Tarentola gomerensis
Stellio stellio
Chamaeleo chamaeleon
Ophisaurus apodus
Coluber caspius
Coluber cypriensis
Coluber hippocrepis
Coluber jugularis
Coluber laurenti
Coluber najadum
Coluber nummifer
Coluber viridiflavus
Coronella austriaca
Eirenis modesta
Elaphe longissima
Elaphe quatuorlineata
Elaphe situla
Natrix natrix cetti
Natrix natrix corsa
Natrix natrix cypriaca
Natrix tessellata
Telescopus falax
Vipera ammodytes
Macrovipera schweizeri (Vipera lebetina schweizeri)
Vipera seoanni (except Spanish populations)
Vipera ursinii
Vipera xanthina
Eryx jaculus
Chioglossa lusitanica
Euproctus asper
Euproctus montanus
Euproctus platycephalus
Mertensiella luschani (Salamandra luschani)
Salamandra atra
Salamandra aurorae
Salamandra lanzai
Salamandrina terdigitata
Triturus carnifex (Triturus cristatus carnifex)
Triturus cristatus (Triturus cristatus cristatus)
Triturus italicus
Triturus karelinii (Triturus cristatus karelinii)
Triturus marmoratus
Triturus montandoni
Triturus vulgaris ampelensis
Proteus anguinus
Hydromantes (Speleomantes) ambrosii
Hydromantes (Speleomantes) flavus
Hydromantes (Speleomantes) genei
Hydromantes (Speleomantes) imperialis
Hydromantes (Speleomantes) strinatii (Hydromantes (Speleomantes) italicus)
Hydromantes (Speleomantes) supramontis
Alytes cisternasii
Alytes muletensis
Alytes obstetricans
Bombina bombina
Bombina variegata
Discoglossus galganoi (including Discoglossus ‘jeanneae’)
Discoglossus montalentii
Discoglossus pictus
Discoglossus sardus
Rana arvalis
Rana dalmatina
Rana graeca
Rana iberica
Rana italica
Rana latastei
Rana lessonae
Pelobates cultripes
Pelobates fuscus
