scientific_name_original,scientific_name_corrected,page_number,remarks
Capra pyrenaica pyrenaica,Capra pyrenaica pyrenaica,4,
Gazella subgutturosa,Gazella subgutturosa,4,
Gazella dorcas,Gazella dorcas,4,
Ovibos moschatus,Ovibos moschatus,4,
Rupicapra rupicapra ornata,Rupicapra rupicapra ornata,4,
Monodon monoceros,Monodon monoceros,4,
Delphinus delphis,Delphinus delphis,4,
Globicephala macrorhynchus,Globicephala macrorhynchus,4,
Globicephala melas,Globicephala melas,4,
Grampus griseus,Grampus griseus,4,
Lagenorhynchus acutus,Lagenorhynchus acutus,4,
Lagenorhynchus albirostris,Lagenorhynchus albirostris,4,
Orcinus orca,Orcinus orca,4,
Pseudorca crassidens,Pseudorca crassidens,4,
Steno bredanensis,Steno bredanensis,4,
Stenella coeruleoalba,Stenella coeruleoalba,4,
Stenella frontalis,Stenella frontalis,4,
Tursiops truncatus (tursio),Tursiops truncatus (tursio),4,
Phocoena phocoena,Phocoena phocoena,4,
Kogia breviceps,Kogia breviceps,4,
Kogia simus,Kogia simus,4,
Physeter macrocephalus,Physeter macrocephalus,4,
Hyperoodon rostratus,Hyperoodon rostratus,4,
Mesoplodon bidens,Mesoplodon bidens,4,
Mesoplodon densirostris,Mesoplodon densirostris,4,
Mesoplodon mirus,Mesoplodon mirus,4,
Ziphius cavirostris,Ziphius cavirostris,4,
Balænoptera acutorostrata,Balaenoptera acutorostrata,5,altered æ to ae
Balænoptera borealis,Balaenoptera borealis,5,altered æ to ae
Balaenoptera edeni,Balaenoptera edeni,5,altered æ to ae
Balaenoptera physalus,Balaenoptera physalus,5,
"Megaptera novaeangliae (longimana, nodosa)",Megaptera novaeangliae,5,"removed (longimana, nodosa)"
Sibbaldus (Balaenoptera) musculus,Sibbaldus musculus,5,removed (Balaenoptera)
Balaena mysticetus,Balaena mysticetus,5,
Eubalaena glacialis,Eubalaena glacialis,5,
all species of Gaviidae,all species of Gaviidae,5,
Podiceps auritus,Podiceps auritus,5,
Podiceps grisegena,Podiceps grisegena,5,
Podiceps nigricollis (caspicus),Podiceps nigricollis,5,removed (caspicus)
Podiceps ruficollis,Podiceps ruficollis,5,
all species of Hydrobatidae,all species of Hydrobatidae,5,
Bulweria bulwerii,Bulweria bulwerii,5,
Procellaria diomedea,Procellaria diomedea,5,
Pterodroma madeira,Pterodroma madeira,5,
Pterodroma feae,Pterodroma feae,5,
Puffinus assimilis baroli,Puffinus assimilis baroli,5,
Puffinus puffinus,Puffinus puffinus,5,
Puffinus yelkouan,Puffinus yelkouan,5,
Phalacrocorax aristotelis,Phalacrocorax aristotelis,6,
Phalacrocorax pygmaeus,Phalacrocorax pygmaeus,6,
all species of Pelecanidae,all species of Pelecanidae,6,
Ardea purpurea,Ardea purpurea,6,
Ardeola ralloides,Ardeola ralloides,6,
Botaurus stellaris,Botaurus stellaris,6,
Bulbucus (Ardeola) ibis,Ardeola ibis,6,Bulbucus ibis
Casmerodius albus (Egretta alba),Casmerodius albus,6,Egretta alba
Egretta garzetta,Egretta garzetta,6,
Ixobrychus minutus,Ixobrychus minutus,6,
Nycticorax nycticorax,Nycticorax nycticorax,6,
all species of Ciconiidae,all species of Ciconiidae,6,
all species of Threskiornithidae,all species of Threskiornithidae,6,
Phoenicopterus ruber,Phoenicopterus ruber,6,
Anser erythropus,Anser erythropus,6,
Branta leucopsis,Branta leucopsis,6,
Branta ruficollis,Branta ruficollis,6,
Bucephala islandica,Bucephala islandica,6,
Cygnus cygnus,Cygnus cygnus,6,
Cygnus bewickii (columbianus),Cygnus bewickii,6,removed (columbianus)
Histrionicus histrionicus,Histrionicus histrionicus,6,
Marmaronetta (Anas) angustirostris,Marmaronetta angustirostris,6,removed(Anas)
Mergus albellus,Mergus albellus,6,
Oxyura leucocephala,Oxyura leucocephala,6,
Polysticta stelleri,Polysticta stelleri,6,
Somateria spectabilis,Somateria spectabilis,6,
Tadorna tadorna,Tadorna tadorna,6,
Tadorna ferruginea,Tadorna ferruginea,6,
all species of Falconiformed,all species of Falconiformes,7,
Tetrao urogallus cantabricus,Tetrao urogallus cantabricus,7,
Turnix sylvatica,Turnix sylvatica,7,
all species of Gruidae,all species of Gruidae,7,
Crex crex,Crex crex,7,
Fulica cristata,Fulica cristata,7,
Porphyrio porphyrio,Porphyrio porphyrio,7,
Porzana porzana,Porzana porzana,7,
Porzana pusilla,Porzana pusilla,7,
Porzana parva,Porzana parva,7,
all species of Otididae,all species of Otididae,7,
Arenaria interpres,Arenaria interpres,7,
Charadrius alexandrinus,Charadrius alexandrinus,7,
Charadrius dubius,Charadrius dubius,7,
Charadrius hiaticula,Charadrius hiaticula,7,
Charadrius leschenaulti,Charadrius leschenaulti,7,
Eudromias morinellus,Eudromias morinellus,7,
Hoplopterus spinosus,Hoplopterus spinosus,7,
Calidris alba,Calidris alba,8,
Calidris alpina,Calidris alpina,8,
Calidris ferruginea,Calidris ferruginea,8,
Calidris maritima,Calidris maritima,8,
Calidris minuta,Calidris minuta,8,
Calidris temminckii,Calidris temminckii,8,
Gallinago media,Gallinago media,8,
Limicola falcinellus,Limicola falcinellus,8,
Numenius tenuirostris,Numenius tenuirostris,8,
Tringa cinerea,Tringa cinerea,8,
Tringa glareola,Tringa glareola,8,
Tringa hypoleucos,Tringa hypoleucos,8,
Tringa ochropus,Tringa ochropus,8,
Tringa stagnatilis,Tringa stagnatilis,8,
all species of Recurvirostridae,all species of Recurvirostridae,8,
all species of Phalaropodidae,all species of Phalaropodidae,8,
Burhinus oedicnemus,Burhinus oedicnemus,8,
all species of Laridae,all species of Laridae,8,
Chlidonias hybrida,Chlidonias hybrida,8,
Chlidonias leucopterus,Chlidonias leucopterus,8,
Chlidonias niger,Chlidonias niger,8,
Gelochelidon nilotica,Gelochelidon nilotica,8,
Hydroprogne caspia,Hydroprogne caspia,8,
Larus audouinii,Larus audouinii,8,
Larus genei,Larus genei,8,
Larus melanocephalus,Larus melanocephalus,8,
Larus minutus,Larus minutus,8,
Larus (Xenia) sabini,Larus sabini,8,removed (Xenia)
Pagophila eburnea,Pagophila eburnea,8,
Sterna albifrons,Sterna albifrons,8,
Sterna dougallii,Sterna dougallii,8,
Sterna hirundo,Sterna hirundo,8,
Sterna paradisaea (macrura),Sterna paradisaea,8,removed (macrura)
Sterna sandvicensis,Sterna sandvicensis,8,
all species of Pteroclididae,all species of Pteroclididae,9,
Columba bollii,Columba bollii,9,
Columba junoniae,Columba junoniae,9,
Clamator glandarius,Clamator glandarius,9,
all species of Strigiformes,all species of Strigiformes,9,
all species of Caprimulgidae,all species of Caprimulgidae,9,
Apus caffer,Apus caffer,9,
Apus melba,Apus melba,9,
Apus pallidus,Apus pallidus,9,
Apus unicolor,Apus unicolor,9,
Alcedo atthis,Alcedo atthis,9,
Ceryle rudis,Ceryle rudis,9,
Halcyon smyrnensis,Halcyon smyrnensis,9,
Merops apiaster,Merops apiaster,9,
Coracias garrulus,Coracias garrulus,9,
Upopa epops,Upupa epops,10,changed o to u
all species of Piciformes,all species of Piciformes,10,
Calandrella brachydactyla,Calandrella brachydactyla,10,
Calandrella rufescens,Calandrella rufescens,10,
Chersophilus duponti,Chersophilus duponti,10,
Eremophila alpestris,Eremophila alpestris,10,
Galerida theklae,Galerida theklae,10,
Melanocorypha bimaculata,Melanocorypha bimaculata,10,
Melanocorypha calandra,Melanocorypha calandra,10,
Melanocorypha leucoptera,Melanocorypha leucoptera,10,
Melanocorypha yeltoniensis,Melanocorypha yeltoniensis,10,
all species of Hirundinidae,all species of Hirundinidae,10,
all species of Motacillidae,all species of Motacillidae,10,
Pycnonotus barbatus,Pycnonotus barbatus,10,
all species of Laniidae,all species of Laniidae,10,
Bombycilla garrulus,Bombycilla garrulus,10,
Cinclus cinclus,Cinclus cinclus,10,
Troglodytes troglodytes,Troglodytes troglodytes,10,
all species of Prunellidae,all species of Prunellidae,10,
Cercotrichas galactotes,Cercotrichas galactotes,11,
Erithacus rubecula,Erithacus rubecula,11,
Irania gutturalis,Irania gutturalis,11,
Luscinia luscinia,Luscinia luscinia,11,
Luscinia megarhynchos,Luscinia megarhynchos,11,
Luscinia (Cyanosylvia) svecica,Luscinia (Cyanosylvia) svecica,11,
Monticola saxatilis,Monticola saxatilis,11,
Monticola solitarius,Monticola solitarius,11,
Oenanthe finischii,Oenanthe finschii,11,"error, corrected"
Oenanthe hispanica,Oenanthe hispanica,11,
Oenanthe isabellina,Oenanthe isabellina,11,
Oenanthe leucura,Oenanthe leucura,11,
Oenanthe oenanthe,Oenanthe oenanthe,11,
Oenanthe pleschanka (leucomela),Oenanthe pleschanka (leucomela),11,
Phoenicurus ochruros,Phoenicurus ochruros,11,
Phoenicurus phoenicurus,Phoenicurus phoenicurus,11,
Saxicola dacotiae,Saxicola dacotiae,11,
Saxicola rubetra,Saxicola rubetra,11,
Saxicola torquata,Saxicola torquata,11,
Tarsiger cyanurus,Tarsiger cyanurus,11,
Turdus torquatus,Turdus torquatus,11,
all species of Sylviinae,all species of Sylviidae,11,"error, corrected"
all species of Regulinae,all species of Regulinae,11,
all species of Muscicapinae,all species of Muscicapidae,11,"error, corrected"
Panurus biarmicus,Panurus biarmicus,11,
all species of Paridae,all species of Paridae,11,
all species of Sittidae,all species of Sittidae,11,
all species of Certhiidae,all species of Certhiidae,11,
Calcarius lapponicus,Calcarius lapponicus,12,
Emberiza aureola,Emberiza aureola,12,
Emberiza caesia,Emberiza caesia,12,
Emberiza cia,Emberiza cia,12,
Emberiza cineracea,Emberiza cineracea,12,
Emberiza cirlus,Emberiza cirlus,12,
Emberiza citrinella,Emberiza citrinella,12,
Emberiza leucocephala,Emberiza leucocephala,12,
Emberiza melanocephala,Emberiza melanocephala,12,
Emberiza pusilla,Emberiza pusilla,12,
Emberiza rustica,Emberiza rustica,12,
Emberiza schoeniclus,Emberiza schoeniclus,12,
Plectrophenax nivalis,Plectrophenax nivalis,12,
Carduelis cannabina,Carduelis cannabina,12,
Carduelis carduelis,Carduelis carduelis,12,
Carduelis chloris,Carduelis chloris,12,
Carduelis flammea,Carduelis flammea,12,
Carduelis flavirostris,Carduelis flavirostris,12,
Carduelis hornemanni,Carduelis hornemanni,12,
Carduelis spinus,Carduelis spinus,12,
Carpodacus erythrinus,Carpodacus erythrinus,12,
Coccothraustes coccothraustes,Coccothraustes coccothraustes,12,
Fringilla teydea,Fringilla teydea,12,
Loxia curvirostra,Loxia curvirostra,12,
Loxia leucoptera,Loxia leucoptera,12,
Loxia pityopsittacus,Loxia pityopsittacus,12,
Loxia scotica,Loxia scotica,12,
Pinicola enucleator,Pinicola enucleator,12,
Rhodopechys githaginea,Rhodopechys githaginea,12,
Serinus citrinella,Serinus citrinella,12,
Serinus pusillus,Serinus pusillus,12,
Serinus serinus,Serinus serinus,12,
Montrifringilla nivalis,Montifringilla nivalis,12,"error, corrected"
Petronia petronia,Petronia petronia,12,
Sturnus roseus,Sturnus roseus,12,
Sturnus unicolor,Sturnus unicolor,12,
Oriolidae,Oriolidae,12,
Oriolus oriolus,Oriolus oriolus,12,
Cyanopica cyanus,Cyanopica cyanus,13,
Nucifraga caryocatactes,Nucifraga caryocatactes,13,
Perisoreus infaustus,Perisoreus infaustus,13,
Pyrrhocorax graculus,Pyrrhocorax graculus,13,
Pyrrhocorax pyrrhocorax,Pyrrhocorax pyrrhocorax,13,
Testudinidae,Testudinidae,13,
Testudo graeca,Testudo graeca,13,
Testudo hermanni,Testudo hermanni,13,
Testudo marginata,Testudo marginata,13,
Emys orbicularis,Emys orbicularis,13,
Mauremys caspica,Mauremys caspica,13,since March 2018
Mauremys leprosa (Mauremys caspica leprosa),Mauremys leprosa,13,since March 2018 | Mauremys caspica leprosa
Dermochelys coriacea,Dermochelys coriacea,13,
Caretta caretta,Caretta caretta,13,
Chelonia mydas,Chelonia mydas,13,
Eretmochelys imbricata,Eretmochelys imbricata,13,
Lepidochelys kempii,Lepidochelys kempii,13,
Rafetus euphraticus,Rafetus euphraticus,13,
Trionyx triunguis,Trionyx triunguis,13,
Cyrtodactylus kotschyi,Cyrtodactylus kotschyi,13,
Tarentola angustimentalis,Tarentola angustimentalis,13,
Tarentola boettgeri,Tarentola boettgeri,13,
Tarentola delalandii,Tarentola delalandii,13,
Tarentola gomerensis,Tarentola gomerensis,13,
Phyllodactylus europaeus,Phyllodactylus europaeus,13,
Stellio stellio (Agama stellio),Stellio stellio,14,since 8 March 2018 | Agama stellio
Chamaeleo chamaeleon,Chamaeleo chamaeleon,14,
Algyroides fitzingeri,Algyroides fitzingeri,14,
Algyroides marchi,Algyroides marchi,14,
Algyroides moreoticus,Algyroides moreoticus,14,
Algyroides nigropunctatus,Algyroides nigropunctatus,14,
Archaeolacerta bedriagae (Lacerta bedriagae),Archaeolacerta bedriagae,14,since 8 March 2018 | removed (Lacerta bedriagae)
Archaeolacerta monticola (Lacerta monticola),Archaeolacerta monticola,14,since 8 March 2018 | Lacerta monticola
Gallotia galloti,Gallotia galloti,14,
Gallotia simonyi (Lacerta simonyi),Gallotia simonyi,14,since 8 March 2018 | removed (Lacerta simonyi)
Gallotia stehlini,Gallotia stehlini,14,
Lacerta agilis,Lacerta agilis,14,
Lacerta clarkorum,Lacerta clarkorum,14,
Lacerta dugesii,Lacerta dugesii,14,
Lacerta graeca,Lacerta graeca,14,
Lacerta horvathi,Lacerta horvathi,14,
Lacerta lepida,Lacerta lepida,14,
Lacerta parva,Lacerta parva,14,
Lacerta princeps,Lacerta princeps,14,
Lacerta schreiberi,Lacerta schreiberi,14,
Lacerta trilineata,Lacerta trilineata,14,
Lacerta viridis,Lacerta viridis,14,
Ophisops elegans,Ophisops elegans,14,
Podarcis erhardii,Podarcis erhardii,14,
Podarcis filfolensis,Podarcis filfolensis,14,
Podarcis lilfordi,Podarcis lilfordi,14,
Podarcis melisellensis,Podarcis melisellensis,14,
Podarcis milensis,Podarcis milensis,14,
Podarcis muralis,Podarcis muralis,14,
Podarcis peloponnesiaca,Podarcis peloponnesiaca,14,
Podarcis pityusensis,Podarcis pityusensis,14,
Podarcis sicula,Podarcis sicula,14,
Podarcis taurica,Podarcis taurica,14,
Podarcis tiliguerta,Podarcis tiliguerta,14,
Podarcis wagleriana,Podarcis wagleriana,14,
Ophisaurus apodus,Ophisaurus apodus,14,
Scincidae,Scincidae,15,
Ablepharus kitaibelii,Ablepharus kitaibelii,15,
Chalcides bedriagai,Chalcides bedriagai,15,
Chalcides ocellatus,Chalcides ocellatus,15,
Chalcides sexlineatus,Chalcides sexlineatus,15,
Chalcides simonyi (Chalcides occidentalis),Chalcides simonyi,15,since 8 March 2018 | Chalcides occidentalis
Chalcides viridianus,Chalcides viridanus,15,"error, corrected"
Ophiomorus punctatissimus,Ophiomorus punctatissimus,15,
Colubridae,Colubridae,15,
Coluber cypriensis,Coluber cypriensis,15,
Coluber gemonensis,Coluber gemonensis,15,
Coluber hippocrepis,Coluber hippocrepis,15,
Coluber jugularis,Coluber jugularis,15,since 8 March 2018
Coluber caspius (Coluber jugularis caspius),Coluber jugularis caspius,15,since 8 March 2018 | Coluber caspius
Coluber najadum,Coluber najadum,15,since 8 March 2018
Coluber rubriceps (Coluber najadum rubriceps),Coluber rubriceps,15,since 8 March 2018 | Coluber najadum rubriceps
Coluber viridiflavus,Coluber viridiflavus,15,
Coronella austriaca,Coronella austriaca,15,
Elaphe longissima,Elaphe longissima,15,
Elaphe quatuorlineata,Elaphe quatuorlineata,15,
Elaphe situla,Elaphe situla,15,
Natrix megalocephala,Natrix megalocephala,15,
Natrix tessellata,Natrix tessellata,15,
Telescopus fallax,Telescopus fallax,15,
Vipera albizona,Vipera albizona,15,
Vipera ammodytes,Vipera ammodytes,15,
Vipera barani,Vipera barani,15,
Vipera kaznakovi,Vipera kaznakovi,15,
Vipera latasti,Vipera latasti,15,
Vipera lebetina,Vipera lebetina,,since 8 March 2017
Vipera schweizeri (Vipera lebetina schweizeri),Vipera schweizeri,15,since 8 March 2018 | Vipera lebetina schweizeri
Vipera pontica,Vipera pontica,15,
Vipera ursinii,Vipera ursinii,15,
Vipera wagneri,Vipera wagneri,15,
Vipera xanthina,Vipera xanthina,15,
Chioglossa lusitanica,Chioglossa lusitanica,16,
Euproctus asper,Euproctus asper,16,
Euproctus montanus,Euproctus montanus,16,
Euproctus platycephalus,Euproctus platycephalus,16,
Mertensiella luschani (Salamandra luschani),Mertensiella luschani,16,since 8 March 2018 | removed (Salamandra luschani)
Neurergus crocatus,Neurergus crocatus,16,
Neurergus strauchii,Neurergus strauchii,16,
Salamandra lanzai (Salamandra atra lanzai),Salamandra lanzai,,since 8 March 2018 | Salamandra atra lanzai
Salamandra atra,Salamandra atra,16,since 8 March 2018
Salamandrina terdigitata,Salamandrina terdigitata,16,
Triturus carnifex,Triturus carnifex,16,
Triturus cristatus,Triturus cristatus,16,
Triturus dobrogicus,Triturus dobrogicus,16,
Triturus italicus,Triturus italicus,16,
Triturus karelinii,Triturus karelinii,16,
Triturus montandoni,Triturus montandoni,16,
Speleomantes flavus (Hydromantes flavus),Speleomantes flavus,16,since 8 March 2018 | Hydromantes flavus
Speleomantes genei (Hydromantes genei),Speleomantes genei,16,since 8 March 2018 | removed (Hydromantes genei)
Speleomantes imperialis (Hydromantes imperialis),Speleomantes imperialis,16,since 8 March 2018 | Hydromantes imperialis
Speleomantes italicus (Hydromantes italicus),Speleomantes italicus,16,since 8 March 2018 | Hydromantes italicus
Speleomantes supramontis (Hydromantes supramontis),Speleomantes supramontis,16,since 8 March 2018 | Hydromantes supramontis
Proteus anguinus,Proteus anguinus,16,
Alytes cisternasii,Alytes cisternasii,16,
Alytes muletensis,Alytes muletensis,16,
Alytes obstetricans,Alytes obstetricans,16,
Bombina bombina,Bombina bombina,16,
Bombina variegata,Bombina variegata,16,
Discoglossus galganoi,Discoglossus galganoi,16,
Discoglossus jeanneae,Discoglossus jeanneae,16,
Discoglossus montalentii,Discoglossus montalentii,16,
Discoglossus pictus,Discoglossus pictus,16,
Discoglossus sardus,Discoglossus sardus,16,
Pelobates cultripes,Pelobates cultripes,17,
Pelobates fuscus,Pelobates fuscus,17,
Pelobates syriacus,Pelobates syriacus,17,
Pelodytes caucasicus,Pelodytes caucasicus,17,
Bufo calamita,Bufo calamita,17,
Bufo viridis,Bufo viridis,17,
Hyla arborea,Hyla arborea,17,
Hyla meridionalis,Hyla meridionalis,17,
Hyla sarda,Hyla sarda,17,
Rana arvalis,Rana arvalis,17,
Rana dalmatina,Rana dalmatina,17,
Rana holtzi,Rana holtzi,17,
Rana iberica,Rana iberica,17,
Rana italica,Rana italica,17,
Rana latastei,Rana latastei,17,
Lethenteron zanandrai,Lethenteron zanandreai,17,
Cetorhinus maximus,Cetorhinus maximus,17,
Carcharodon carcharias,Carcharodon carcharias,17,
Mobula mobular,Mobula mobular,17,
Acipenser naccarii,Acipenser naccarii,18,
Acipenser sturio,Acipenser sturio,18,
Huso huso,Huso huso,18,
Umbra krameri,Umbra krameri,18,
Aphanius fasciatus,Aphanius fasciatus,18,
Aphanius iberus,Aphanius iberus,18,
Valencia hispanica,Valencia hispanica,18,
Valencia leutourneuxi,Valencia lutourneuxi,18,"error, corrected"
Hippocampus hippocampus,Hippocampus hippocampus,18,
Hippocampus ramulosus,Hippocampus ramulosus,18,
Romanichthys valsanicola,Romanichthys valsanicola,18,
Zingel asper,Zingel asper,18,
Pomatoschistus canestrinii,Pomatoschistus canestrinii,18,
Pomatoschistus tortonesei,Pomatoschistus tortonesei,18,
Apteromantis aptera,Apteromantis aptera,18,
Palingenia longicauda,Palingenia longicauda,19,
Aeshna viridis,Aeshna viridis,19,
Brachythemis fuscopalliata,Brachythemis fuscopalliata,19,
Calopteryx syriaca,Calopteryx syriaca,19,
Coenagrion freyi,Coenagrion freyi,19,
Coenagrion mercuriale,Coenagrion mercuriale,19,
Cordulegaster trinacriae,Cordulegaster trinacriae,19,
Gomphus graslinii,Gomphus graslinii,19,
Leucorrhinia albifrons,Leucorrhinia albifrons,19,
Leucorrhinia caudalis,Leucorrhinia caudalis,19,
Leucorrhinia pectoralis,Leucorrhinia pectoralis,19,
Lindenia tetraphylla,Lindenia tetraphylla,19,
Macromia splendens,Macromia splendens,19,
Ophiogomphus cecilia,Ophiogomphus cecilia,19,
Oxygastra curtisii,Oxygastra curtisii,19,
Stylurus (= Gomphus) flavipes,Stylurus flavipes,19,removed (= Gomphus)
Sympecma braueri,Sympecma braueri,19,
Orthoptera,Orthoptera,19,
Baetica ustulata,Baetica ustulata,19,
Saga pedo,Saga pedo,19,
Coleoptera,Coleoptera,19,
Buprestis splendens,Buprestis splendens,19,
Carabus bessarabicus,Carabus bessarabicus,19,
Carabus hungaricus,Carabus hungaricus,19,
Carabus olympiae,Carabus olympiae,19,
Cerambyx cerdo,Cerambyx cerdo,19,
Cucujus cinnaberinus,Cucujus cinnaberinus,19,
Dytiscus latissimus,Dytiscus latissimus,19,
Graphoderus bilineatus,Graphoderus bilineatus,19,
Osmoderma eremita,Osmoderma eremita,19,
Rosalia alpina,Rosalia alpina,19,
Lepidoptera,Lepidoptera,19,
Apatura metis,Apatura metis,19,
Coenonympha hero,Coenonympha hero,20,
Coenonympha oedippus,Coenonympha oedippus,20,
Erebia calcaria,Erebia calcaria,20,
Erebia christi,Erebia christi,20,
Erebia sudetica,Erebia sudetica,20,
Eriogaster catax,Eriogaster catax,20,
Euphydryas (Eurodryas) aurinia,Euphydryas (Eurodryas) aurinia,20,
Fabriciana elisa,Fabriciana elisa,20,
Hyles hippophaes,Hyles hippophaes,20,
Hypodryas maturna,Hypodryas maturna,20,
Lopinga achine,Lopinga achine,20,
Lycaena dispar,Lycaena dispar,20,
Maculinea arion,Maculinea arion,20,
Maculinea nausithous,Maculinea nausithous,20,
Maculinea teleius,Maculinea teleius,20,
Melanargia arge,Melanargia arge,20,
Papilio alexanor,Papilio alexanor,20,
Papilio hospiton,Papilio hospiton,20,
Parnassius apollo,Parnassius apollo,20,
Parnassius mnemosyne,Parnassius mnemosyne,20,
Plebicula golgus,Plebicula golgus,20,
Polyommatus galloi,Polyommatus galloi,20,
Polyommatus humedasae,Polyommatus humedasae,20,
Proserpinus prosperpina,Proserpinus proserpina,20,"error, corrected"
Zerynthia polyxena,Zerynthia polyxena,20,
Macrothele calpeiana,Macrothele calpeiana,20,
Ocypode cursor,Ocypode cursor,20,
Pachyplasma giganteum,Pachyplasma giganteum,20,
Gibbula nivosa,Gibbula nivosa,20,
Patella ferruginea,Patella ferruginea,20,
Patella nigra,Patella nigra,20,
Charonia rubicunda,Charonia rubicunda,20,removed (= C. lampas = C. nodiferum)
Charonia tritonis,Charonia tritonis,21,removed (= C. seguenziae)
Dendropoma petræum,Dendropoma petraeum,21,altered æ to ae
Erosaria spurca,Erosaria spurca,21,
Luria lurida (= Cypræa lurida),Luria lurida,21,removed (= Gomphus)
Mitra zonata,Mitra zonata,21,
Ranella olearia,Ranella olearia,21,
Schilderia achatidea,Schilderia achatidea,21,
Tonna galea,Tonna galea,21,
Zonaria pyrum,Zonaria pyrum,21,
Stylommatophora,Stylommatophora,21,
Caseolus calculus,Caseolus calculus,21,
Caseolus commixta,Caseolus commixta,21,
Caseolus sphaerula,Caseolus sphaerula,21,
Discus defloratus 6,Discus defloratus,21,since 8 March 2018
Discus guerinianus,Discus guerinianus,21,
Discula leacockiana,Discula leacockiana,21,
Discula tabellata,Discula tabellata,21,
Discula testudinalis,Discula testudinalis,21,
Discula turricula,Discula turricula,21,
Elona quimperiana,Elona quimperiana,21,
Geomalacus maculosus,Geomalacus maculosus,21,
Geomitra moniziana,Geomitra moniziana,21,
Helix subplicata,Helix subplicata,21,
Leiostyla abbreviata,Leiostyla abbreviata,21,
Leiostyla cassida,Leiostyla cassida,21,
Leiostyla corneocostata,Leiostyla corneocostata,21,
Leiostyla gibba,Leiostyla gibba,21,
Leiostyla lamellosa,Leiostyla lamellosa,21,
Margaritifera auricularia,Margaritifera auricularia,21,
Lithophaga lithophaga,Lithophaga lithophaga,21,
Pinna pernula,Pinna pernula,21,
Pholas dactylus,Pholas dactylus,21,
Asterina pancerii,Asterina pancerii,22,
Ophidiaster ophidianus,Ophidiaster ophidianus,22,
Centrostephanus longispinus,Centrostephanus longispinus,22,
Errina aspera,Errina aspera,22,
Astroides calycularis,Astroides calycularis,22,
Gerardia savaglia,Gerardia savaglia,22,
Aplysina cavernicola,Aplysina cavernicola,22,
Asbestopluma hypogea,Asbestopluma hypogea,22,
Axinelle polyploïdes,Axinella polypoides,22,"error, corrected"
Petrobiona massiliana,Petrobiona massiliana,22,
Petrobiona massiliana,,,
