scientific_name_original,scientific_name_corrected,page_number,remarks
Atelerix algirus (Erinaceus algirus),Atelerix algirus,2,since 8 March 2018 |removed (Erinaceus algirus)
Crocidura suaveolens ariadne (Crodidura ariadne),Crocidura suaveolens ariadne,2,since 8 March 2018 | removed (Crodidura ariadne)
Crocidura russula cypria (Crocidura cypria),Crocidura russula cypria,2,since 8 March 2018 | removed (Crocidura cypria)
Crocidura canariensis,Crocidura canariensis,2,
Desmana moschata,Desmana moschata,2,
Galemys pyrenaicus (Desmana pyrenaica),Galemys pyrenaicus,2,removed (Desmana pyrenaica)
all species of microchiroptera except Pipistrellus pipistrellus,all species of microchiroptera except Pipistrellus pipistrellus,2,
Pteromys volans (Sciuropterus russicus),Pteromys volans,2,Sciuropterus russicus
Sciurus anomalus,Sciurus anomalus,2,
Spermophilus citellus (Citellus citellus),Spermophilus citellus,2,since 8 March 2018 | removed (Citellus citellus)
Spermophilus suslicus (Citellus suslicus),Spermophilus suslicus,2,removed (Desmana pyrenaica)
Cricetus cricetus,Cricetus cricetus,2,
Mesocricetus newtoni,Mesocricetus newtoni,2,
Microtus bavaricus (Pitymys bavaricus),Microtus bavaricus,2,since 8 March 2018 |Pitymys bavaricus
Microtus cabrerae,Microtus cabrerae,2,
Microtus tatricus,Microtus tatricus,2,
Spalax graecus,Spalax graecus,2,
Dryomis laniger,Dryomys laniger,2,changed y to i
Myomimus roachi (Myomimus bulgaricus),Myomimus roachi,2,Myomimus bulgaricus
Sicista betulina,Sicista betulina,3,
Sicista subtilis,Sicista subtilis,3,
Hystrix cristata,Hystrix cristata,3,
Alopex lagopus,Alopex lagopus,3,
Canis lupus,Canis lupus,3,
Cuon alpinus,Cuon alpinus,3,
all species of Ursidae,all species of Ursidae,3,
Gulo gulo,Gulo gulo,3,
Mustela eversmannii,Mustela eversmannii,3,
Mustela lutreola (Lutreola lutreola),Mustela lutreola,3,removed (Citellus suslicus) | error corrected
Lutra lutra,Lutra lutra,3,
Vormela peregusna,Vormela peregusna,3,
Caracal caracal,Caracal caracal,3,
Felis silvestris,Felis silvestris,3,
Lynx lynx balcanicus,Lynx lynx balcanicus,3,
Lynx pardinus (Lynx pardina),Lynx pardinus,3,since 8 March 2018 |Lynx pardina
Panthera pardus,Panthera pardus,3,
Panthera tigris,Panthera tigris,3,
Odobenus rosmarus,Odobenus rosmarus,3,
Phocidae,Phocidae,3,
Monachus monachus,Monachus monachus,3,
Phoca hispida saimensis,Phoca hispida saimensis,3,
Phoca hispida ladogensis,Phoca hispida ladogensis,3,
Cervus elaphus corsicanus,Cervus elaphus corsicanus,4,
Capra aegagrus,Capra aegagrus,4,
