scientific_name_original,scientific_name_corrected,page_number,remarks
Erinaceus europaeus,Erinaceus europaeus,2,
all species of Soricidae,all species of Soricidae,2,
Pipistrellus pipistrellus,Pipistrellus pipistrellus,2,
Lepus capensis (europaeus),Lepus capensis (europaeus),2,
Lepus timidus,Lepus timidus,2,
Mamota mamota,Mamota mamota,2,
Sciurus vulgaris,Sciurus vulgaris,2,
Castor fiber,Castor fiber,2,
Microtus nivalis (lebrunii),Microtus nivalis,2,removed (lebrunii)
Microtus ratticeps (oeconomus),Microtus ratticeps,2,removed (oeconomus)
all species of Gliridae,all species of Gliridae,2,
All species of Cetacea not mentioned in Appendix II,All species of Cetacea not mentioned in Appendix II,3,
Martes foina,Martes foina,3,
Martes martes,Martes martes,3,
Meles meles,Meles meles,3,
Mustela erminea,Mustela erminea,3,
Mustela nivalis,Mustela nivalis,3,
Putorius (Mustela) putorius,Putorius (Mustela) putorius,3,
all species of Viverridae,all species of Viverridae,3,
Lynx lynx,Lynx lynx,3,
Cystophora cristata,Cystophora cristata,3,
Erignathus barbatus,Erignathus barbatus,3,
Pagophilus groenlandicus (Phoca groenlandica),Pagophilus groenlandicus (Phoca groenlandica),3,
Phoca vitulina,Phoca vitulina,3,
Phoca hispida (Pusa hispida),Phoca hispida (Pusa hispida),3,
Halichoerus grypus,Halichoerus grypus,3,
Sus scrofa meridionalis,Sus scrofa meridionalis,3,
all species of Cervidae,all species of Cervidae,3,
Bison bonasus,Bison bonasus,3,
Capra ibex,Capra ibex,3,
Capra pyrenaica,Capra pyrenaica,3,
"Ovis aries (musimon, ammon)",Ovis aries,3,"removed (musimon, ammon)"
Rupicapra rupicapra,Rupicapra rupicapra,3,
"All species of Birds not included in Appendix II with the exception of Columba palumbus, Corvus corone (corone and/et cornix), Corvus frugilegus, Corvus monedula, Garrulus glandarius, Larus argentatus, Larus fuscus, Larus marinus, Passer domesticus, Sturnus vulgaris, Pica pica","All species of Birds not included in Appendix II with the exception of Columba palumbus, Corvus corone (corone and/et cornix), Corvus frugilegus, Corvus monedula, Garrulus glandarius, Larus argentatus, Larus fuscus, Larus marinus, Passer domesticus, Sturnus vulgaris, Pica pica",4,
All species of reptiles not included in Appendix II,All species of reptiles not included in Appendix II,4,
All species of Amphibians not included in Appendix II,All species of Amphibians not included in Appendix II,4,
Isurus oxyrinchus (Med.),Isurus oxyrinchus,4,removed (Med.)
