scientific_name_original,scientific_name_corrected,page_number,remarks
Lamna nasus (Med.),Lamna nasus,4,removed (Med.)
Prionace glauca (Med.),Prionace glauca,4,removed (Med.)
Squatina squatina (Med.),Squatina squatina,4,removed (Med.)
Raja alba (Med.),Raja alba,4,removed (Med.)
Eudontomyzon hellenicum,Eudontomyzon hellenicum,5,
Eudontomyzon mariae,Eudontomyzon mariae,5,
Eudontomyzon vladykovi,Eudontomyzon vladykovi,5,
Lampetra fluviatilis,Lampetra fluviatilis,5,
Lampetra planeri,Lampetra planeri,5,
Lampetra zanandreai,Lampetra zanandreai,5,
Petromyzon marinus,Petromyzon marinus,5,
Acipenser ruthenus,Acipenser ruthenus,5,
Acipenser stellatus,Acipenser stellatus,5,
Huso huso,Huso huso,5,
Alosa alosa,Alosa alosa,5,
Alosa fallox,Alosa fallax,5,
Alosa pontica,Alosa pontica,5,
all species of Coregonus,all species of Coregonus,5,
Thymallus thymallus,Thymallus thymallus,5,
Hucho hucho,Hucho hucho,5,
Salmo salar,Salmo salar,5,
Abramis ballerus,Abramis ballerus,6,
Abramis sapa,Abramis sapa,6,
Abramis vimba,Abramis vimba,6,
Alburnoides bipunctatus,Alburnoides bipunctatus,6,
Alburnus albidus,Alburnus albidus,6,
Aspius aspius,Aspius aspius,6,
Barbus bocagei,Barbus bocagei,6,
Barbus comiza,Barbus comiza,6,
Barbus meridionalis,Barbus meridionalis,6,
Barbus microcephalus,Barbus microcephalus,6,
Barbus peloponesis,Barbus peloponnesius,6,
Barbus plebejus,Barbus plebejus,6,
Barbus sclateri,Barbus sclateri,6,
Barbus steindachneri,Barbus steindachneri,6,
Chalcalburnus chalcoides,Chalcalburnus chalcoides,6,
Chondrostoma genei,Chondrostoma genei,6,
Chondrostoma kneri,Chondrostoma kneri,6,
Chondrostoma lemingi,Chondrostoma lemingi,6,
Chondrostoma lusitanicum,Chondrostoma lusitanicum,6,
Chondrostoma nasus,Chondrostoma nasus,6,
Chondrostoma phoxinus,Chondrostoma phoxinus,6,
Chondrostoma polylepis,Chondrostoma polylepis,6,
Chondrostoma soetta,Chondrostoma soetta,6,
Chondrostoma toxostoma,Chondrostoma toxostoma,6,
Chondrostoma willkommi,Chondrostoma willkommi,6,
Gobio albipinnatus,Gobio albipinnatus,6,
Gobio kessleri,Gobio kessleri,6,
Gobio uranoscopus,Gobio uranoscopus,6,
Leucaspius delineatus,Leucaspius delineatus,6,
Leucaspius stymphalicus,Leucaspius stymphalicus,6,
Leuciscus illyricus,Leuciscus illyricus,6,
Leuciscus lucumotis,Leuciscus lucumonis,6,
Leuciscus microlepis,Leuciscus microlepis,6,
Leuciscus polylepis,Leuciscus polylepis,6,
Leuciscus pyrenaicus,Leuciscus pyrenaicus,6,
Leuciscus soufia,Leuciscus soufia,6,
Leuciscus svallize,Leuciscus svallize,6,
Leuciscus turskyi,Leuciscus turskyi,6,
Leuciscus ukliva,Leuciscus ukliva,6,
Pachychilon pictum,Pachychilon pictum,6,
Pelecus cultratus,Pelecus cultratus,6,
Phoxinellus adspersus,Phoxinellus adspersus,6,
Phoxinellus hispanicus,Phoxinellus hispanicus,6,
Pseudophoxinus marathonicus,Pseudophoxinus marathonicus,6,
Pseudophoxinus stymphalicus,Pseudophoxinus stymphalicus,6,
Rhodeus sericeus,Rhodeus sericeus,6,
Rutilus alburnoides,Rutilus alburnoides,6,
Rutilus arcasii,Rutilus arcasii,6,
Rutilus frisii,Rutilus frisii,6,
Rutilus graecus,Rutilus graecus,6,
Rutilus lemmingii,Rutilus lemmingii,6,
Rutilus macedonicus,Rutilus macedonicus,7,
Rutilus macrolepidotus,Rutilus macrolepidotus,7,
Rutilus pigus,Rutilus pigus,7,
Rutilus racovitzai,Rutilus racovitzai,7,
Rutilus rubilio,Rutilus rubilio,7,
Cobitidae,Cobitidae,7,
Cobitis elongata,Cobitis elongata,7,
Cobitis hassi,Cobitis hassi,7,
Cobitis larvata,Cobitis larvata,7,
Cobitis paludicola,Cobitis paludica,7,
Cobitis taenia,Cobitis taenia,7,
Cobitis trichonica,Cobitis trichonica,7,
Misgurnis fossilis,Misgurnus fossilis,7,
Sabanejewia aurata,Sabanejewia aurata,7,
Sabanejewia calderoni,Sabanejewia calderoni,7,
Siluris aristotelis,Siluris aristotelis,7,
Siluris glanis,Siluris glanis,7,
Aphanius fasciatus,Aphanius fasciatus,7,
Aphanius iberus,Aphanius iberus,7,
Syngnathus abaster,Syngnathus abaster,7,
Syngnathus nigrolineatus,Syngnathus nigrolineatus,7,
Gasterosteidae,Gasterosteidae,7,
Pungitius hellenicus,Pungitius hellenicus,7,
Tuntitius platygaster,Puntitius platygaster,7,
Cottus poecilopus,Cottus poecilopus,7,
Myoxocephalus quadricornis,Myoxocephalus quadricornis,7,
Epinephelus marginatus (Med.),Epinephelus marginatus,8,
Sciæna umbra (Med.),SciÃ¦na umbra,8,
Umbrina cirrosa (Med.),Umbrina cirrosa,8,
Gymnocephalus baloni,Gymnocephalus baloni,8,
Gymnocephalus schraetzer,Gymnocephalus schraetzer,8,
Stizostedion volgense,Stizostedion volgense,8,
Zingel streber,Zingel streber,8,
Zingel zingel,Zingel zingel,8,
Blennius fluviatilis,Blennius fluviatilis,8,
Gobius fluviatilis,Gobius fluviatilis,8,
Gobius kessleri,Gobius kessleri,8,
Gobius nigricans,Gobius nigricans,8,
Gobius ophiocephalus,Gobius ophiocephalus,8,
Gobius syrman,Gobius syrman,8,
Gobius thressalus,Gobius thressalus,8,
Padogobius martensi,Padogobius martensi,8,
Padogobius panizzai,Padogobius panizzai,8,
Pomatoschistus canestrini,Pomatoschistus canestrini,8,
Pomatoschistus microps,Pomatoschistus microps,8,
Pomatoschistus minutus,Pomatoschistus minutus,8,
Proterorhinus marmoratus,Proterorhinus marmoratus,8,
Lucanus cervus,Lucanus cervus,9,
Graellsia isabellae,Graellsia isabellae,9,
Astacus astacus,Astacus astacus,9,
Austropotamobius pallipes,Austropotamobius pallipes,9,
Austropotamobius torrentium,Austropotamobius torrentium,9,
Homarus gammarus (Med.),Homarus gammarus,9,removed (Med.)
Maja squinado (Med.),Maja squinado,9,removed (Med.)
Palinurus elephas (Med.),Palinurus elephas,9,removed (Med.)
Scyllarides latus (Med.),Scyllarides latus,9,removed (Med.)
Scyllarides pigmaeus (Med.),Scyllarides pigmaeus,9,removed (Med.)
Scyllarides arctus (Med.),Scyllarides arctus,9,removed (Med.)
Helix pomatia,Helix pomatia,9,
Margaritifera margaritifera,Margaritifera margaritifera,9,
Microcondymaea compressa,Microcondylaea compressa,9,
Unio elongatulus,Unio elongatulus,9,
Hirudo medicinalis,Hirudo medicinalis,9,
Paracentrotus lividus (Med.),Paracentrotus lividus,10,removed (Med.)
Antipathes sp. plur. (Med.),Antipathes sp. plur.,10,removed (Med.)
Corallium rubrun (Med.),Corallium rubrun,10,"error, corrected"
Hippospongia communis (Med.),Hippospongia communis,10,removed (Med.)
Spongia agaricina (Med.),Spongia agaricina,10,removed (Med.)
Spongia officinalis (Med.),Spongia officinalis,10,removed (Med.)
Spongia zimocca (Med),Spongia zimocca,10,removed (Med.)
