annex_code,scientific_name_original,scientific_name_corrected,page_number,corrected
bxl_2.1,Barbastella barbastellus,Barbastella barbastellus,48,""
bxl_2.1,Myotis bechsteini,Myotis bechsteini,48,""
bxl_2.1,Myotis dasycneme,Myotis dasycneme,48,""
bxl_2.1,Myotis emarginatus,Myotis emarginatus,48,""
bxl_2.1,Myotis Myotis,Myotis myotis,48,decapitalize myotis
bxl_2.1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,48,""
bxl_2.1,Rhodeus sericeus amarus,Rhodeus sericeus amarus,48,""
bxl_2.1,Lucanus cervus,Lucanus cervus,48,""
bxl_2.1,Vertigo angustior,Vertigo angustior,48,""
bxl_2.1,Vertigo moulinsiana,Vertigo moulinsiana,48,""
bxl_2.1,Mergus albellus,Mergus albellus,48,""
bxl_2.1,Pernis apivorus,Pernis apivorus,48,""
bxl_2.1,Falco peregrinus,Falco peregrinus,48,""
bxl_2.1,Caprimulgus europacus,Caprimulgus europaeus,48,Change c to e
bxl_2.1,Alcedo atthis,Alcedo atthis,48,""
bxl_2.1,Dendrocopos martius,Dryocopus martius,48,""
bxl_2.1,Dendrocopos medius,Dendrocopos medius,48,""
bxl_2.2,Alle europese soorten Mammalia,Alle europese soorten Mammalia,50,""
bxl_2.2,Barbastella barbastellus,Barbastella barbastellus,50,""
bxl_2.2,Eptesicus serotinus,Eptesicus serotinus,50,""
bxl_2.2,Myotis bechsteinii,Myotis bechsteinii,50,""
bxl_2.2,Myotis brandtii,Myotis brandtii,50,""
bxl_2.2,Myotis dasycneme,Myotis dasycneme,50,""
bxl_2.2,Myotis daubentoni,Myotis daubentoni,50,""
bxl_2.2,Myotis emarginatus,Myotis emarginatus,50,""
bxl_2.2,Myotis myotis,Myotis myotis,50,""
bxl_2.2,Myotis mystacinus,Myotis mystacinus,50,""
bxl_2.2,Myotis nattereri,Myotis nattereri,50,""
bxl_2.2,Nyctalus leisleri,Nyctalus leisleri,50,""
bxl_2.2,Nyctalus noctula,Nyctalus noctula,50,""
bxl_2.2,Pipistrellus nathusii,Pipistrellus nathusii,50,""
bxl_2.2,Pipistrellus pipistrellus,Pipistrellus pipistrellus,50,""
bxl_2.2,Pipistrellus pygmacus,Pipistrellus pygmacus,50,""
bxl_2.2,Plecotus auritus,Plecotus auritus,50,""
bxl_2.2,Plecotus austriacus,Plecotus austriacus,50,""
bxl_2.2,Alle Europese soorten Aves,Alle Europese soorten Aves,50,""
bxl_2.2,Alle Europese soorten Reptilia,Alle Europese soorten Reptilia,51,""
bxl_2.2,Alle Europese soorten Amphibia,Alle Europese soorten Amphibia,51,""
bxl_2.2,Acipenser naccarii,Acipenser naccarii,51,""
bxl_2.2,Acipenser sturio,Acipenser sturio,51,""
bxl_2.2,Huso huso,Huso huso,51,""
bxl_2.2,Aphanius faciatus,Aphianus fasciatus,51,added s
bxl_2.2,Aphanius iberus,Aphanius iberus,51,""
bxl_2.2,Valencia hispanica,Valencia hispanica,51,""
bxl_2.2,Valencia leutoruneuxi,Valencia letourneuxi,51,removed u
bxl_2.2,Anaecypris hispanica,Anaecypris hispanica,51,""
bxl_2.2,Phoxinus percnurus,Phoxinus percnurus,51,""
bxl_2.2,Rhodeus sericeus amarus,Rhodeus sericeus amarus,51,""
bxl_2.2,Umbra krameri,Umbra krameri,51,""
bxl_2.2,Hippocampus hippocampus,Hippocampus hippocampus,51,""
bxl_2.2,Hippocampus ramulosus,Hippocampus ramulosus,51,""
bxl_2.2,Cetorhinus maximus,Cetorhinus maximus,51,""
bxl_2.2,Carcharodon carcharias,Carcharodon carcharias,51,""
bxl_2.2,Gymnocephalus baloni,Gymnocephalus baloni,51,""
bxl_2.2,Romanichtys valsanicola,Romanichthys valsanicola,51,added h
bxl_2.2,Zingel asper,Zingel asper,51,""
bxl_2.2,Pomatoschistus canestrini,Pomatoschistus canestrini,52,""
bxl_2.2,Pomatoschistus tortonesi (Med. ),Pomatoschistus tortonesi,52,removed (Med.)
bxl_2.2,Lethenteron zanandrai,Lethenteron zanandreai,52,added e
bxl_2.2,Mobula mobular,Mobula mobular,52,""
