annex_code,scientific_name_original,scientific_name_corrected
bxl_2.2,Pipistrellus pygmacus,Pipistrellus pygmacus
bxl_2.2,Aphanius faciatus,Aphianus fasciatus
bxl_2.2,Catopta thrips,Catopta thrips
bxl_2.2,Lyeaena dispar,Lyeaena dispar
bxl_2.2,Polyommatus gallo,Polyommatus gallo
bxl_2.2,Myrmecophilus baron,Myrmecophilus baron
bxl_2.2,Pachyplasma giganteum,Pachyplasma giganteum
bxl_2.2,Armadilliditum ghardalamensis,Armadilliditum ghardalamensis
bxl_2.2,Axinelle polyploides,Axinelle polyploides
bxl_2.2,Chilostoma banaticum,Chilostoma banaticum
bxl_2.2,Discula turricula,Discula turricula
bxl_2.2,Discus defloratus,Discus defloratus
bxl_2.2,Paladilhia hungarica,Paladilhia hungarica
bxl_2.2,Vertigo angustio,Vertigo angustio
bxl_2.2,Asplenium adiantum nigrum,Asplenium adiantum nigrum
bxl_2.2,Asplenium cetrach,Asplenium cetrach
bxl_2.2,Dryopteris fragans (L.) Schott,Dryopteris fragans (L.) Schott
bxl_2.2,Leucojum nicaeense Ard.,Leucojum nicaeense Ard.
bxl_2.2,Echium russicum J.F.Gemlin,Echium russicum J.F.Gemlin
bxl_2.2,Myosotis rehsteinert Wartm.,Myosotis rehsteinert Wartm.
bxl_2.2,Omphalodes kuzinskyana Willk.,Omphalodes kuzinskyana Willk.
bxl_2.2,Onosma polyphylla Lebed.,Onosma polyphylla Lebed.
bxl_2.2,Armeria maritime (Mill.) Willd.,Armeria maritime (Mill.) Willd.
bxl_2.2,Cerastium alsinifoltum Tausch Cerasttum dinaricum G. Beck &,Cerastium alsinifoltum Tausch Cerasttum dinaricum G. Beck &
bxl_2.2,Dianthus deltoids L.,Dianthus deltoids L.
bxl_2.2,Dhanthus gratianopolitanus VIII,Dhanthus gratianopolitanus VIII
bxl_2.2,Dianthus lumnitzer Wiesb.,Dianthus lumnitzer Wiesb.
bxl_2.2,Dianthus plumarius subsp. Regis stephani (Rapcs.) Baksay,Dianthus plumarius subsp. Regis stephani (Rapcs.) Baksay
bxl_2.2,Herniaria lateriflora (L.) Fenzl.,Herniaria lateriflora (L.) Fenzl.
bxl_2.2,Silene holzmanu Heldr. ex Boiss.,Silene holzmanu Heldr. ex Boiss.
bxl_2.2,Helianthemum capu,Helianthemum capu
bxl_2.2,Centaurea balearica J.D. Rodriguez,Centaurea balearica J.D. Rodriguez
bxl_2.2,Centaurea gadorensis G Bianca,Centaurea gadorensis G Bianca
bxl_2.2,Centaurea hermanniu F.Hermann,Centaurea hermanniu F.Hermann
bxl_2.2,Centaurea immanueli,Centaurea immanueli
bxl_2.2,Centaurea pulvinata (G. Bianca) G. Bianca,Centaurea pulvinata (G. Bianca) G. Bianca
bxl_2.2,Senecio jacobea L. subsp. gotlandicus (Neuman) Sterner,Senecio jacobea L. subsp. gotlandicus (Neuman) Sterner
bxl_2.2,Convolvulus argyrothamnus Greuter,Convolvulus argyrothamnus Greuter
bxl_2.2,Convolvulus pulvinatus Saâ€™ad,Convolvulus pulvinatus Saâ€™ad
bxl_2.2,Alyssum borzaeanum E. I. Nayardy,Alyssum borzaeanum E. I. Nayardy
bxl_2.2,Braya purpurasceus (R.Br.) Bunge,Braya purpurasceus (R.Br.) Bunge
bxl_2.2,Crambe litwinonowii K. Gross.,Crambe litwinonowii K. Gross.
bxl_2.2,Diplotaxis ibicensis (Pau) Gome,Diplotaxis ibicensis (Pau) Gome
bxl_2.2,Dziplotaxis siettiana Maire,Dziplotaxis siettiana Maire
bxl_2.2,FErucastrum palustre (Pirona) Vis.,FErucastrum palustre (Pirona) Vis.
bxl_2.2,Jonopsiditum savianum (Caruel) Ball ex Arcang.,Jonopsiditum savianum (Caruel) Ball ex Arcang.
bxl_2.2,Lepidium turezaninowii Lipsky.,Lepidium turezaninowii Lipsky.
bxl_2.2,Rhynchosinapis erucastrum (L.) Dandy ex Clapham subsp. cintrana (Coutinho),Rhynchosinapis erucastrum (L.) Dandy ex Clapham subsp. cintrana (Coutinho)
bxl_2.2,Gentianella angelica (Pugsley) E. F. Warburg,Gentianella angelica (Pugsley) E. F. Warburg
bxl_2.2,Erodium chrysanthum Lâ€™Herit. ex DC.,Erodium chrysanthum Lâ€™Herit. ex DC.
bxl_2.2,Festuca summilusitanica Franco & R. Afonso,Festuca summilusitanica Franco & R. Afonso
bxl_2.2,Poariphaea (Ascher et Graebner) Fritsch,Poariphaea (Ascher et Graebner) Fritsch
bxl_2.2,Stipa syreistschikown P. Smirn.,Stipa syreistschikown P. Smirn.
bxl_2.2,Ribes sardum Martelli,Ribes sardum Martelli
bxl_2.2,Iris humilis Georgi subsp. arenaria (Waldst. et Kit.) A. et D.LÃ©ve,Iris humilis Georgi subsp. arenaria (Waldst. et Kit.) A. et D.LÃ©ve
bxl_2.2,Iris marisca Ricci & Colasante,Iris marisca Ricci & Colasante
bxl_2.2,Origanum cordifolium (Auch. & Montbr.) Vogel (Amaracus cordifolium Montr. & Auch.),Origanum cordifolium (Auch. & Montbr.) Vogel (Amaracus cordifolium Montr. & Auch.)
bxl_2.2,Rosmarinus tomentosus Hube,Rosmarinus tomentosus Hube
bxl_2.2,Teucrium lamiufolium Dâ€™Urv.,Teucrium lamiufolium Dâ€™Urv.
bxl_2.2,Thymus lotocephalus G. Lopez & R. Morales (Thymus cephalotos L.),Thymus lotocephalus G. Lopez & R. Morales (Thymus cephalotos L.)
bxl_2.2,Astragalus centrealpinus Brau,Astragalus centrealpinus Brau
bxl_2.2,Astragalus psedopurpureus Gusul.,Astragalus psedopurpureus Gusul.
bxl_2.2,Astragalus tanaiticus C. Koch.,Astragalus tanaiticus C. Koch.
bxl_2.2,Glycyrrhiza iconica Hub,Glycyrrhiza iconica Hub
bxl_2.2,Hedysarum razoumovianum Fisch. et Helm.,Hedysarum razoumovianum Fisch. et Helm.
bxl_2.2,Trigonella arenicola Hub,Trigonella arenicola Hub
bxl_2.2,Asphodelus bent,Asphodelus bent
bxl_2.2,Colchicum fominiu Bordz.,Colchicum fominiu Bordz.
bxl_2.2,Fritillaria conica Rix,Fritillaria conica Rix
bxl_2.2,Fritillaria obliqua Ke,Fritillaria obliqua Ke
bxl_2.2,Hyacinthoides vicentina (Hoffmanns. & Link) Rothm.,Hyacinthoides vicentina (Hoffmanns. & Link) Rothm.
bxl_2.2,Ormithogalum reverchoni Degen & Herv,Ormithogalum reverchoni Degen & Herv
bxl_2.2,Scilla betrana Samp.,Scilla betrana Samp.
bxl_2.2,Seilla litardierei Breist.,Seilla litardierei Breist.
bxl_2.2,Seilla morrisi Meikle,Seilla morrisi Meikle
bxl_2.2,Seilla odorata Link,Seilla odorata Link
bxl_2.2,Linum muelleri Moris (Linum maritimum muelleri),Linum muelleri Moris (Linum maritimum muelleri)
