id,annex_code,scientific_name_original,gbif_scientificName,relation_to_annexspecies
25112,BXL-ORD-2012_Annex II.2,Myotis brandtii,"Myotis brandtii (Eversmann, 1845)",match with annexspecies
3645,BXL-ORD-2012_Annex II.2,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",match with annexspecies
3646,BXL-ORD-2012_Annex II.2,Myotis daubentoni,"Myotis daubentonii (Kuhl, 1817)",match with annexspecies
3647,BXL-ORD-2012_Annex II.2,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",match with annexspecies
3648,BXL-ORD-2012_Annex II.2,Myotis myotis,"Myotis myotis (Borkhausen, 1797)",match with annexspecies
3649,BXL-ORD-2012_Annex II.2,Myotis mystacinus,"Myotis mystacinus (Kuhl, 1817)",match with annexspecies
3650,BXL-ORD-2012_Annex II.2,Myotis nattereri,"Myotis nattereri (Kuhl, 1817)",match with annexspecies
3653,BXL-ORD-2012_Annex II.2,Nyctalus leisleri,"Nyctalus leisleri (Kuhl, 1817)",match with annexspecies
3654,BXL-ORD-2012_Annex II.2,Nyctalus noctula,"Nyctalus noctula (Schreber, 1774)",match with annexspecies
3659,BXL-ORD-2012_Annex II.2,Pipistrellus nathusii,"Pipistrellus nathusii (Keyserling & Blasius, 1839)",match with annexspecies
3672,BXL-ORD-2012_Annex II.2,Pipistrellus pipistrellus,"Pipistrellus pipistrellus (Schreber, 1774)",match with annexspecies
3660,BXL-ORD-2012_Annex II.2,Plecotus auritus,"Plecotus auritus (Linnaeus, 1758)",match with annexspecies
3661,BXL-ORD-2012_Annex II.2,Plecotus austriacus,"Plecotus austriacus (J.Fischer, 1829)",match with annexspecies
49450,BXL-ORD-2012_Annex II.2,Acipenser sturio,"Acipenser sturio Linnaeus, 1758",match with annexspecies
,BXL-ORD-2012_Annex II.2,Rhodeus sericeus amarus,"Rhodeus sericeus amarus (Bloch, 1782)",match with annexspecies
47685,BXL-ORD-2012_Annex II.2,Hippocampus hippocampus,"Hippocampus hippocampus (Linnaeus, 1758)",match with annexspecies
1377,BXL-ORD-2012_Annex II.2,Hippocampus ramulosus,"Hippocampus ramulosus Leach, 1814",match with annexspecies
3245,BXL-ORD-2012_Annex II.2,Cetorhinus maximus,"Cetorhinus maximus (Gunnerus, 1765)",match with annexspecies
48171,BXL-ORD-2012_Annex II.2,Coregonus oxyrhynchus (anadrome populaties in bepaalde sectoren van de Noordzee),"Coregonus oxyrinchus (Linnaeus, 1758)",match with annexspecies
5615,BXL-ORD-2012_Annex II.2,Cerambyx cerdo,"Cerambyx cerdo Linnaeus, 1758",match with annexspecies
5595,BXL-ORD-2012_Annex II.2,Dytiscus latissimus,"Dytiscus latissimus Linnaeus, 1758",match with annexspecies
5594,BXL-ORD-2012_Annex II.2,Graphoderus bilineatus,"Graphoderus bilineatus (De Geer, 1774)",match with annexspecies
5612,BXL-ORD-2012_Annex II.2,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",match with annexspecies
5611,BXL-ORD-2012_Annex II.2,Osmoderma eremita,"Osmoderma eremita (Scopoli, 1763)",match with annexspecies
3342,BXL-ORD-2012_Annex II.2,Palingenia longicauda,"Palingenia longicauda (Olivier, 1791)",match with annexspecies
26531,BXL-ORD-2012_Annex II.2,Coenonympha hero,"Coenonympha hero (Linnaeus, 1761)",match with annexspecies
22562,BXL-ORD-2012_Annex II.2,Eriogaster catax,"Eriogaster catax (Linnaeus, 1758)",match with annexspecies
3400,BXL-ORD-2012_Annex II.2,Euphydryas (Eurodryas) aurinia,"Euphydryas aurinia (Rottemburg, 1775)",match with annexspecies
2015,BXL-ORD-2012_Annex II.2,Lopinga achine,"Lopinga achine (Scopoli, 1763)",match with annexspecies
3409,BXL-ORD-2012_Annex II.2,Maculinea arion,"Maculinea arion (Linnaeus, 1758)",match with annexspecies
1999,BXL-ORD-2012_Annex II.2,Maculinea nausithous,"Maculinea nausithous (Bergsträsser, 1779)",match with annexspecies
3402,BXL-ORD-2012_Annex II.2,Maculinea teleius,"Maculinea teleius (Bergsträsser, 1779)",match with annexspecies
2010,BXL-ORD-2012_Annex II.2,Parnassius apollo,"Parnassius apollo (Linnaeus, 1758)",match with annexspecies
5622,BXL-ORD-2012_Annex II.2,Proserpinus proserpina,"Proserpinus proserpina (Pallas, 1772)",match with annexspecies
1832,BXL-ORD-2012_Annex II.2,Aeshna viridis,"Aeshna viridis Eversmann, 1836",match with annexspecies
1839,BXL-ORD-2012_Annex II.2,Coenagrion mercuriale,"Coenagrion mercuriale Charpentier, 1840",match with annexspecies
1846,BXL-ORD-2012_Annex II.2,Leucorrhinia albifrons,"Leucorrhinia albifrons Burmeister, 1839",match with annexspecies
1847,BXL-ORD-2012_Annex II.2,Leucorrhinia caudalis,"Leucorrhinia caudalis Charpentier, 1840",match with annexspecies
1849,BXL-ORD-2012_Annex II.2,Leucorrhinia pectoralis,"Leucorrhinia pectoralis Charpentier, 1825",match with annexspecies
1855,BXL-ORD-2012_Annex II.2,Ophiogomphus cecilia,"Ophiogomphus cecilia Fourcroy, 1785",match with annexspecies
1859,BXL-ORD-2012_Annex II.2,Oxygastra curtisii,"Oxygastra curtisii Dale, 1834",match with annexspecies
,BXL-ORD-2012_Annex II.2,Sympecma braueri,"Sympecma braueri Yakobson & Bianki, 1904",match with annexspecies
4126,BXL-ORD-2012_Annex II.2,Anisus vorticulus,"Anisus vorticulus (Troschel, 1834)",match with annexspecies
4097,BXL-ORD-2012_Annex II.2,Unio crassus,"Unio crassus Philipsson, 1788",match with annexspecies
21202,BXL-ORD-2012_Annex II.2,Botrychium matricarifolium A. Braun ex Koch,Botrychium matricariifolium (Döll) A.Br. ex Koch,match with annexspecies
1657,BXL-ORD-2012_Annex II.2,Osmunda regalis L.,Osmunda regalis L.,match with annexspecies
2385,BXL-ORD-2012_Annex II.2,Polystichum aculeatum,Polystichum aculeatum (L.) Roth,match with annexspecies
2690,BXL-ORD-2012_Annex II.2,Salvinia natans (L.) All.,Salvinia natans (L.) All.,match with annexspecies
1616,BXL-ORD-2012_Annex II.2,Luronium natans (L.) Raf.,Luronium natans Raf.,match with annexspecies
2668,BXL-ORD-2012_Annex II.2,Leucojum aestivum L.,Leucojum aestivum L.,match with annexspecies
21161,BXL-ORD-2012_Annex II.2,Leucojum vernum L.,Leucojum vernum L.,match with annexspecies
2628,BXL-ORD-2012_Annex II.2,Eryngium maritimum L.,Eryngium maritimum L.,match with annexspecies
20661,BXL-ORD-2012_Annex II.2,Calla palustris L.,Calla palustris L.,match with annexspecies
1719,BXL-ORD-2012_Annex II.2,Stratiotes aloides L.,Stratiotes aloides L.,match with annexspecies
20663,BXL-ORD-2012_Annex II.2,Aristolochia clematitis,Aristolochia clematitis L.,match with annexspecies
1434,BXL-ORD-2012_Annex II.2,Artemisia campestris L.,Artemisia campestris L.,match with annexspecies
1612,BXL-ORD-2012_Annex II.2,Lobelia dortmanna (L.),Lobelia dortmanna L.,match with annexspecies
1434,BXL-ORD-2012_Annex II.2,Artemisia campestris L. subsp. bottnica A.N. LundstrÃ©m ex Kindb,Artemisia campestris L.,match with annexspecies
20699,BXL-ORD-2012_Annex II.2,Crepis tectorum L. subsp. Nigrescens,Crepis tectorum L.,match with annexspecies
1707,BXL-ORD-2012_Annex II.2,Sisymbrium supinum L.,Sisymbrium supinum L.,match with annexspecies
1586,BXL-ORD-2012_Annex II.2,Juniperus communis L.,Juniperus communis L.,match with annexspecies
,BXL-ORD-2012_Annex II.2,Tamus communis L.,Tamus communis L.,match with annexspecies
1537,BXL-ORD-2012_Annex II.2,Drosera intermedia Hayne,Drosera intermedia Hayne,match with annexspecies
1540,BXL-ORD-2012_Annex II.2,Drosera rotundifolia L.,Drosera rotundifolia L.,match with annexspecies
2621,BXL-ORD-2012_Annex II.2,Erica cinerea L.,Erica cinerea L.,match with annexspecies
2622,BXL-ORD-2012_Annex II.2,Erica tetralix L.,Erica tetralix L.,match with annexspecies
1562,BXL-ORD-2012_Annex II.2,Gentiana cruciata L.,Gentiana cruciata L.,match with annexspecies
1563,BXL-ORD-2012_Annex II.2,Gentiana pneumonanthe L.,Gentiana pneumonanthe L.,match with annexspecies
1418,BXL-ORD-2012_Annex II.2,Anthericum liliago L.,Anthericum liliago L.,match with annexspecies
21167,BXL-ORD-2012_Annex II.2,Scilla bifolia L.,Scilla bifolia L.,match with annexspecies
2588,BXL-ORD-2012_Annex II.2,Althaea officinalis L.,Althaea officinalis L.,match with annexspecies
1607,BXL-ORD-2012_Annex II.2,Liparis loeseli (L.) Rich.,Liparis loeselii (L.) Rich.,match with annexspecies
,BXL-ORD-2012_Annex II.2,Ophrys oestrifera Bieb.,Ophrys oestrifera M.Bieb.,match with annexspecies
1713,BXL-ORD-2012_Annex II.2,Spiranthes aestivalis (Poiret) L. C. M. Richard,Spiranthes aestivalis Rich.,match with annexspecies
1602,BXL-ORD-2012_Annex II.2,Limonium vulgare Mill.,Limonium vulgare Mill.,match with annexspecies
1666,BXL-ORD-2012_Annex II.2,Primula vulgaris Huds,Primula vulgaris Hudson,match with annexspecies
21376,BXL-ORD-2012_Annex II.2,Trientalis europaea L.,Trientalis europaea L.,match with annexspecies
50111,BXL-ORD-2012_Annex II.2,Aconitum napellus L.,Aconitum napellus L.,match with annexspecies
2569,BXL-ORD-2012_Annex II.2,Actaea spicata L.,Actaea spicata L.,match with annexspecies
,BXL-ORD-2012_Annex II.2,Anemone pulsatilla L.,Anemone pulsatilla L.,match with annexspecies
1663,BXL-ORD-2012_Annex II.2,Parnassia palustris L.,Parnassia palustris L.,match with annexspecies
21477,BXL-ORD-2012_Annex II.2,Saxifraga hirculus L.,Saxifraga hirculus L.,match with annexspecies
1709,BXL-ORD-2012_Annex II.2,Sparganium angustifolium Michaux,Sparganium angustifolium Michx.,match with annexspecies
1529,BXL-ORD-2012_Annex II.2,Daphne mezereum L.,Daphne mezereum L.,match with annexspecies
1425,BXL-ORD-2012_Annex II.2,Apium repens (Jacq.) Lag.,Apium repens (Jacq.) Lag.,match with annexspecies
1745,BXL-ORD-2012_Annex II.2,Zostera marina L.,Zostera marina L.,match with annexspecies
18909,BXL-ORD-2012_Annex II.3,Melolontha Melolontha,"Melolontha melolontha (Linnaeus, 1758)",match with annexspecies
2156,BXL-ORD-2012_Annex II.3,Formica polyctena,"Formica polyctena Foerster, 1850",match with annexspecies
3395,BXL-ORD-2012_Annex II.3,Aglais urticae,"Aglais urticae (Linnaeus, 1758)",match with annexspecies
3401,BXL-ORD-2012_Annex II.3,Anthocharis cardamines,"Anthocharis cardamines (Linnaeus, 1758)",match with annexspecies
26528,BXL-ORD-2012_Annex II.3,Aphantopus hyperantus,"Aphantopus hyperantus (Linnaeus, 1758)",match with annexspecies
2022,BXL-ORD-2012_Annex II.3,Apatura iris,"Apatura iris (Linnaeus, 1758)",match with annexspecies
3399,BXL-ORD-2012_Annex II.3,Araschnia levana,"Araschnia levana (Linnaeus, 1758)",match with annexspecies
2013,BXL-ORD-2012_Annex II.3,Celastrina argiolus,"Celastrina argiolus (Linnaeus, 1758)",match with annexspecies
26532,BXL-ORD-2012_Annex II.3,Coenonympha pamphilus,"Coenonympha pamphilus (Linnaeus, 1758)",match with annexspecies
26522,BXL-ORD-2012_Annex II.3,Colias croceus,"Colias croceus (Fourcroy, 1785)",match with annexspecies
26523,BXL-ORD-2012_Annex II.3,Colias hyale,"Colias hyale (Linnaeus, 1758)",match with annexspecies
1997,BXL-ORD-2012_Annex II.3,Gonepteryx rhamni,"Gonepteryx rhamni (Linnaeus, 1758)",match with annexspecies
1998,BXL-ORD-2012_Annex II.3,Inachis io,"Inachis io (Linnaeus, 1758)",match with annexspecies
26541,BXL-ORD-2012_Annex II.3,Lasiommata megera,"Lasiommata megera (Linnaeus, 1767)",match with annexspecies
3396,BXL-ORD-2012_Annex II.3,Lycaena phlaeas,"Lycaena phlaeas (Linnaeus, 1761)",match with annexspecies
26542,BXL-ORD-2012_Annex II.3,Maniola jurtina,"Maniola jurtina (Linnaeus, 1758)",match with annexspecies
2005,BXL-ORD-2012_Annex II.3,Neozephyrus quercus,"Neozephyrus quercus (Linnaeus, 1758)",match with annexspecies
3406,BXL-ORD-2012_Annex II.3,Nymphalis antiopa,"Nymphalis antiopa (Linnaeus, 1758)",match with annexspecies
2021,BXL-ORD-2012_Annex II.3,Nymphalis polychloros,"Nymphalis polychloros (Linnaeus, 1758)",match with annexspecies
3398,BXL-ORD-2012_Annex II.3,Papilio machaon,"Papilio machaon Linnaeus, 1758",match with annexspecies
26544,BXL-ORD-2012_Annex II.3,Pararge aegeria,"Pararge aegeria (Linnaeus, 1758)",match with annexspecies
2018,BXL-ORD-2012_Annex II.3,Pieris brassicae,"Pieris brassicae (Linnaeus, 1758)",match with annexspecies
3391,BXL-ORD-2012_Annex II.3,Pieris napi,"Pieris napi (Linnaeus, 1758)",match with annexspecies
3392,BXL-ORD-2012_Annex II.3,Pieris rapae,"Pieris rapae (Linnaeus, 1758)",match with annexspecies
2024,BXL-ORD-2012_Annex II.3,Polyommatus icarus,"Polyommatus icarus (Rottemburg, 1775)",match with annexspecies
26545,BXL-ORD-2012_Annex II.3,Pyronia tithonus,"Pyronia tithonus (Linnaeus, 1767)",match with annexspecies
2026,BXL-ORD-2012_Annex II.3,Satyrium w-album,"Satyrium w-album (Knoch, 1782)",match with annexspecies
3407,BXL-ORD-2012_Annex II.3,Thecla betulae,"Thecla betulae (Linnaeus, 1758)",match with annexspecies
3417,BXL-ORD-2012_Annex II.3,Thymelicus lineola,"Thymelicus lineola (Ochsenheimer, 1808)",match with annexspecies
2006,BXL-ORD-2012_Annex II.3,Thymelicus sylvestris,"Thymelicus sylvestris (Poda, 1761)",match with annexspecies
2011,BXL-ORD-2012_Annex II.3,Vanessa atalanta,"Vanessa atalanta (Linnaeus, 1758)",match with annexspecies
26519,BXL-ORD-2012_Annex II.3,Vanessa cardui,"Vanessa cardui (Linnaeus, 1758)",match with annexspecies
20207,BXL-ORD-2012_Annex II.3,Aeshna affinis,"Aeshna affinis Vander Linden, 1820",match with annexspecies
20208,BXL-ORD-2012_Annex II.3,Aeshna cyanea,"Aeshna cyanea Müller, 1764",match with annexspecies
1829,BXL-ORD-2012_Annex II.3,Aeshna grandis,"Aeshna grandis Linnaeus, 1758",match with annexspecies
1831,BXL-ORD-2012_Annex II.3,Aeshna mixta,"Aeshna mixta Latreille, 1805",match with annexspecies
20211,BXL-ORD-2012_Annex II.3,Aeshna subarctica,"Aeshna subarctica Walker, 1908",match with annexspecies
1833,BXL-ORD-2012_Annex II.3,Anax imperator,"Anax imperator Leach, 1815",match with annexspecies
20214,BXL-ORD-2012_Annex II.3,Calopteryx splendens,"Calopteryx splendens Harris, 1780",match with annexspecies
1836,BXL-ORD-2012_Annex II.3,Ceriagrion tenellum,"Ceriagrion tenellum De Villers, 1789",match with annexspecies
20216,BXL-ORD-2012_Annex II.3,Coenagrion lunulatum,"Coenagrion lunulatum Charpentier, 1840",match with annexspecies
1839,BXL-ORD-2012_Annex II.3,Coenagrion mercuriale,"Coenagrion mercuriale Charpentier, 1840",match with annexspecies
1840,BXL-ORD-2012_Annex II.3,Coenagrion puella,"Coenagrion puella Linnaeus, 1758",match with annexspecies
46100,BXL-ORD-2012_Annex II.3,Cordulegaster bidentata,"Cordulegaster bidentata Selys, 1843",match with annexspecies
1841,BXL-ORD-2012_Annex II.3,Cordulegaster boltoni,"Cordulegaster boltonii Donovan, 1807",match with annexspecies
20224,BXL-ORD-2012_Annex II.3,Cordulia aenea,"Cordulia aenea Linnaeus, 1758",match with annexspecies
20220,BXL-ORD-2012_Annex II.3,Enallagma cyathigerum,"Enallagma cyathigerum Charpentier, 1840",match with annexspecies
20225,BXL-ORD-2012_Annex II.3,Epitheca bimaculata,"Epitheca bimaculata Charpentier, 1825",match with annexspecies
20221,BXL-ORD-2012_Annex II.3,Erythromma najas,"Erythromma najas Hansemann, 1823",match with annexspecies
1842,BXL-ORD-2012_Annex II.3,Erythromma viridulum,"Erythromma viridulum Charpentier, 1840",match with annexspecies
1844,BXL-ORD-2012_Annex II.3,Gomphus pulchellus,"Gomphus pulchellus Selys, 1840",match with annexspecies
20222,BXL-ORD-2012_Annex II.3,Ischnura elegans,"Ischnura elegans Vander Linden, 1820",match with annexspecies
20223,BXL-ORD-2012_Annex II.3,Ischnura pumilio,"Ischnura pumilio Charpentier, 1825",match with annexspecies
20230,BXL-ORD-2012_Annex II.3,Lestes sponsa,"Lestes sponsa Hansemann, 1823",match with annexspecies
20232,BXL-ORD-2012_Annex II.3,Lestes viridis,"Lestes viridis Vander Linden, 1825",match with annexspecies
1847,BXL-ORD-2012_Annex II.3,Leucorrhinia caudalis,"Leucorrhinia caudalis Charpentier, 1840",match with annexspecies
20235,BXL-ORD-2012_Annex II.3,Libellula depressa,"Libellula depressa Linnaeus, 1758",match with annexspecies
1852,BXL-ORD-2012_Annex II.3,Libellula quadrimaculata,"Libellula quadrimaculata Linnaeus, 1758",match with annexspecies
1854,BXL-ORD-2012_Annex II.3,Nehalennia speciosa,"Nehalennia speciosa Charpentier, 1840",match with annexspecies
20227,BXL-ORD-2012_Annex II.3,Onychogomphus forcipatus,"Onychogomphus forcipatus Linnaeus, 1758",match with annexspecies
46099,BXL-ORD-2012_Annex II.3,Onychogomphus uncatus,"Onychogomphus uncatus Charpentier, 1840",match with annexspecies
1857,BXL-ORD-2012_Annex II.3,Orthetrum cancellatum,"Orthetrum cancellatum Linnaeus, 1758",match with annexspecies
1859,BXL-ORD-2012_Annex II.3,Oxygastra curtisii,"Oxygastra curtisii Dale, 1834",match with annexspecies
20242,BXL-ORD-2012_Annex II.3,Platycnemis pennipes,"Platycnemis pennipes Pallas, 1771",match with annexspecies
1860,BXL-ORD-2012_Annex II.3,Pyrrhosoma nymphula,"Pyrrhosoma nymphula Sulzer, 1776",match with annexspecies
1861,BXL-ORD-2012_Annex II.3,Somatochlora arctica,"Somatochlora arctica Zetterstedt, 1840",match with annexspecies
20236,BXL-ORD-2012_Annex II.3,Sympetrum danae,"Sympetrum danae Sulzer, 1776",match with annexspecies
1865,BXL-ORD-2012_Annex II.3,Sympetrum pedemontanum,"Sympetrum pedemontanum O.F.Müller, 1766",match with annexspecies
1866,BXL-ORD-2012_Annex II.3,Sympetrum sanguineum,"Sympetrum sanguineum Müller, 1764",match with annexspecies
20240,BXL-ORD-2012_Annex II.3,Sympetrum striolatum,"Sympetrum striolatum Charpentier, 1840",match with annexspecies
20241,BXL-ORD-2012_Annex II.3,Sympetrum vulgatum,"Sympetrum vulgatum Linnaeus, 1758",match with annexspecies
20583,BXL-ORD-2012_Annex II.3,Barbitistes serricauda,"Barbitistes serricauda (Fabricius, 1794)",match with annexspecies
2781,BXL-ORD-2012_Annex II.3,Chorthippus brunneus,"Chorthippus brunneus (Thunberg, 1815)",match with annexspecies
2785,BXL-ORD-2012_Annex II.3,Chorthippus parallelus,"Chorthippus parallelus (Zetterstedt, 1821)",match with annexspecies
2778,BXL-ORD-2012_Annex II.3,Chorthippus albomarginatus,"Chorthippus albomarginatus (De Geer, 1773)",match with annexspecies
20584,BXL-ORD-2012_Annex II.3,Conocephalus discolor,"Conocephalus discolor Thunberg, 1815",match with annexspecies
1791,BXL-ORD-2012_Annex II.3,Conocephalus dorsalis,"Conocephalus dorsalis (Latreille, 1804)",match with annexspecies
1798,BXL-ORD-2012_Annex II.3,Gryllotalpa gryllotalpa,"Gryllotalpa gryllotalpa (Linnaeus, 1758)",match with annexspecies
1799,BXL-ORD-2012_Annex II.3,Leptophyes punctatissima,"Leptophyes punctatissima (Bosc, 1792)",match with annexspecies
1802,BXL-ORD-2012_Annex II.3,Meconema thalassinum,"Meconema thalassinum (De Geer, 1773)",match with annexspecies
1821,BXL-ORD-2012_Annex II.3,Meconema meridionale,"Meconema meridionale Costa & A., 1860",match with annexspecies
1811,BXL-ORD-2012_Annex II.3,Pholidoptera griseoaptera,"Pholidoptera griseoaptera (De Geer, 1773)",match with annexspecies
1801,BXL-ORD-2012_Annex II.3,Stethophyma grossum,"Stethophyma grossum (Linnaeus, 1758)",match with annexspecies
20582,BXL-ORD-2012_Annex II.3,Tetrix subulata,"Tetrix subulata (Linnaeus, 1758)",match with annexspecies
1818,BXL-ORD-2012_Annex II.3,Tetrix tenuicornis,"Tetrix tenuicornis (Sahlberg, 1891)",match with annexspecies
1820,BXL-ORD-2012_Annex II.3,Tettigonia viridissima,"Tettigonia viridissima (Linnaeus, 1758)",match with annexspecies
5618,BXL-ORD-2012_Annex II.3,Atypus affinis,"Atypus affinis Eichwald, 1830",match with annexspecies
21227,BXL-ORD-2012_Annex II.3,Aira caryophyllea,Aira caryophyllea L.,match with annexspecies
21228,BXL-ORD-2012_Annex II.3,Aira praecox,Aira praecox L.,match with annexspecies
2579,BXL-ORD-2012_Annex II.3,Alchemilla glabra,Alchemilla glabra Neygenf.,match with annexspecies
2584,BXL-ORD-2012_Annex II.3,Alchemilla xanthochlora,Alchemilla xanthochlora Rothm.,match with annexspecies
21378,BXL-ORD-2012_Annex II.3,Anemone ranunculoides,Anemone ranunculoides L.,match with annexspecies
2598,BXL-ORD-2012_Annex II.3,Anthemis arvensis,Anthemis arvensis L.,match with annexspecies
1420,BXL-ORD-2012_Annex II.3,Anthyllis vulneraria,Anthyllis vulneraria L.,match with annexspecies
50190,BXL-ORD-2012_Annex II.3,Arctium nemorosum,Arctium nemorosum Lejeune,match with annexspecies
1465,BXL-ORD-2012_Annex II.3,Carex caryophyllea,Carex caryophyllea Latour.,match with annexspecies
1468,BXL-ORD-2012_Annex II.3,Carex digitata,Carex digitata L.,match with annexspecies
1470,BXL-ORD-2012_Annex II.3,Carex divulsa,Carex divulsa Stokes,match with annexspecies
1487,BXL-ORD-2012_Annex II.3,Carex strigosa,Carex strigosa Huds.,match with annexspecies
21248,BXL-ORD-2012_Annex II.3,Catabrosa aquatica,Catabrosa aquatica P.Beauv.,match with annexspecies
1495,BXL-ORD-2012_Annex II.3,Catapodium rigidum,Catapodium rigidum (L.) C.E.Hubb.,match with annexspecies
50278,BXL-ORD-2012_Annex II.3,Centranthus ruber,Centranthus ruber (All.) Lam. & DC.,match with annexspecies
21059,BXL-ORD-2012_Annex II.3,Corydalis solida,Corydalis solida (L.) Clairv.,match with annexspecies
21250,BXL-ORD-2012_Annex II.3,Corynephorus canescens,Corynephorus canescens P.Beauv.,match with annexspecies
20973,BXL-ORD-2012_Annex II.3,Cyperus fuscus,Cyperus fuscus L.,match with annexspecies
1531,BXL-ORD-2012_Annex II.3,Dianthus armeria,Dianthus armeria L.,match with annexspecies
1553,BXL-ORD-2012_Annex II.3,Epilobium lanceolatum,Epilobium lanceolatum Sebast. & Mauri,match with annexspecies
20998,BXL-ORD-2012_Annex II.3,Equisetum sylvaticum,Equisetum sylvaticum L.,match with annexspecies
2616,BXL-ORD-2012_Annex II.3,Epipactis helleborine,Epipactis helleborine (L.) Crantz,match with annexspecies
20704,BXL-ORD-2012_Annex II.3,Erigeron acer,Erigeron acer L.,match with annexspecies
2633,BXL-ORD-2012_Annex II.3,Euphorbia exigua,Euphorbia exigua L.,match with annexspecies
2654,BXL-ORD-2012_Annex II.3,Gagea spathacea,Gagea spathacea Salisb.,match with annexspecies
21546,BXL-ORD-2012_Annex II.3,Gymnocarpium dryopteris,Gymnocarpium dryopteris Newm.,match with annexspecies
21384,BXL-ORD-2012_Annex II.3,Helleborus viridis,Helleborus viridis L.,match with annexspecies
3272,BXL-ORD-2012_Annex II.3,Hieracium lactucella,Hieracium lactucella Wallr.,match with annexspecies
50486,BXL-ORD-2012_Annex II.3,Hieracium maculatum,Hieracium maculatum Schrank,match with annexspecies
3279,BXL-ORD-2012_Annex II.3,Holosteum umbellatum,Holosteum umbellatum L.,match with annexspecies
3288,BXL-ORD-2012_Annex II.3,Hypericum hirsutum,Hypericum hirsutum L.,match with annexspecies
3290,BXL-ORD-2012_Annex II.3,Hypericum montanum,Hypericum montanum L.,match with annexspecies
21093,BXL-ORD-2012_Annex II.3,Juncus acutiflorus,Juncus acutiflorus Ehrh. ex Hoffm.,match with annexspecies
21108,BXL-ORD-2012_Annex II.3,Juncus subnodulosus,Juncus subnodulosus Schrank,match with annexspecies
1589,BXL-ORD-2012_Annex II.3,Knautia arvensis,Knautia arvensis Coult.,match with annexspecies
1594,BXL-ORD-2012_Annex II.3,Lathyrus aphaca,Lathyrus aphaca L.,match with annexspecies
1601,BXL-ORD-2012_Annex II.3,Leersia oryzoides,Leersia oryzoides (L.) Sw.,match with annexspecies
2664,BXL-ORD-2012_Annex II.3,Leontodon hispidus,Leontodon hispidus L.,match with annexspecies
21129,BXL-ORD-2012_Annex II.3,Leonurus cardiaca,Leonurus cardiaca L.,match with annexspecies
20776,BXL-ORD-2012_Annex II.3,Lithospermum officinale,Lithospermum officinale L.,match with annexspecies
21175,BXL-ORD-2012_Annex II.3,Malva alcea,Malva alcea L.,match with annexspecies
21483,BXL-ORD-2012_Annex II.3,Melampyrum pratense,Melampyrum pratense L.,match with annexspecies
