id,annex_code,scientific_name_original,gbif_scientificName,relation_to_annexspecies
2968,BXL-ORD-2012_Annex II.1,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",match with annexspecies
25111,BXL-ORD-2012_Annex II.1,Myotis bechsteini,"Myotis bechsteinii (Kuhl, 1817)",match with annexspecies
3645,BXL-ORD-2012_Annex II.1,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",match with annexspecies
3647,BXL-ORD-2012_Annex II.1,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",match with annexspecies
3648,BXL-ORD-2012_Annex II.1,Myotis Myotis,"Myotis myotis (Borkhausen, 1797)",match with annexspecies
3666,BXL-ORD-2012_Annex II.1,Rhinolophus ferrumequinum,"Rhinolophus ferrumequinum (Schreber, 1774)",match with annexspecies
,BXL-ORD-2012_Annex II.1,Rhodeus sericeus amarus,"Rhodeus sericeus amarus (Bloch, 1782)",match with annexspecies
5612,BXL-ORD-2012_Annex II.1,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",match with annexspecies
4134,BXL-ORD-2012_Annex II.1,Vertigo angustior,"Vertigo angustior Jeffreys, 1830",match with annexspecies
4136,BXL-ORD-2012_Annex II.1,Vertigo moulinsiana,"Vertigo moulinsiana (Dupuy, 1849)",match with annexspecies
,BXL-ORD-2012_Annex II.1,Mergus albellus,"Mergus albellus Linnaeus, 1758",match with annexspecies
3575,BXL-ORD-2012_Annex II.1,Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)",match with annexspecies
2859,BXL-ORD-2012_Annex II.1,Falco peregrinus,"Falco peregrinus, 1771",match with annexspecies
3482,BXL-ORD-2012_Annex II.1,Caprimulgus europacus,"Caprimulgus europaeus Linnaeus, 1758",match with annexspecies
3501,BXL-ORD-2012_Annex II.1,Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)",match with annexspecies
2031,BXL-ORD-2012_Annex II.1,Dendrocopos martius,"Dryocopus martius (Linnaeus, 1758)",match with annexspecies
3435,BXL-ORD-2012_Annex II.1,Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)",match with annexspecies
51684,BXL-ORD-2012_Annex II.1,Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)",match with annexspecies
2968,BXL-ORD-2012_Annex II.2,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",match with annexspecies
2971,BXL-ORD-2012_Annex II.2,Eptesicus serotinus,"Eptesicus serotinus (Schreber, 1774)",match with annexspecies
25111,BXL-ORD-2012_Annex II.2,Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",match with annexspecies
