annexcode,acceptedname
BXL-ORD-2012_Annex II.5,Conocybe lactea form. lactea
BXL-ORD-2012_Annex II.5,Simocybe rubi form. tetraspora
BXL-ORD-2012_Annex II.5,Simocybe rubi form. bispora
BXL-ORD-2012_Annex II.5,Boletus radicans var. eupachypus
BXL-ORD-2012_Annex II.5,Mycena pelliculosa var. pelliculosa
BXL-ORD-2012_Annex II.5,Pleospora vulgaris var. disticha
BXL-ORD-2012_Annex II.5,Pleospora vulgaris var. monosticha
BXL-ORD-2012_Annex II.5,Valsa sorbicola decorticans
BXL-ORD-2012_Annex II.2,Rana esculenta
EUR-CON-BER_Annex II,Rana esculenta
BXL-ORD-2012_Annex II.5,Corticium calceum
BXL-ORD-2012_Annex II.5,Corticium centrifugum
BXL-ORD-2012_Annex II.5,Coriolopsis cervina
BXL-ORD-2012_Annex II.5,Debaryomyces membranifaciens
BXL-ORD-2012_Annex II.5,Schwanniomyces yamadae
BXL-ORD-2012_Annex II.5,Entelexis magnoliae
BXL-ORD-2012_Annex II.5,Leptoporus destructor
BXL-ORD-2012_Annex II.5,Lentinus dentatus
BXL-ORD-2012_Annex II.5,Trametes lutescens
BXL-ORD-2012_Annex II.5,Pyrenocollema chlorococcum
BXL-ORD-2012_Annex II.3,Lachenalii lachenalii subsp. cruentifolium
