scientific_name,page_number,remarks
Asplenium hemionitis L.,56,
Asplenium jahandiezii (Litard.) Rouy,56,
Woodwardia radicans (L.) Sm.,56,
Culcita macrocarpa C. Presl,56,
Diplazium sibiricum (Turez. ex Kunze) Kurata,56,
Dryopteris corleyi Frase,56,
Dryopteris fragans (L.) Schott,56,
Trichomanes speciosum Willd.,56,
Isoetes boryana Durieu,56,
Isoetes malinverniana Ces. & De Not.,56,
Marsilea batardae Launert,56,
Marsilea quadrifolia L.,56,
Marsilea strigosa Willd.,56,
Pilularia minuta Durieu ex. Braun,56,
Botrychium matricarifolium A. Braun ex Koch,56,
Botrychium multifidum (S. G. Gmelin) Rupr.,56,
Botrychium simplex Hitche.,56,
Ophioglossum polyphyllum A. Braun,56,
Osmunda regalis L.,56,
Polystichum aculeatum,56,
Cryptogramma crispa (L.),57,
Salvinia natans (L.) All.,57,
Tetraclinis articulata (vahl) Masters,57,
Abies nebrodensis (Lojac.) Mattei,57,
Dracaena draco (L.) L.,57,
Alisma wahlenbergii (Holmberg) Juz.,57,
Caldesia parnassifolia (L.) Parl.,57,
Luronium natans (L.) Raf.,57,
Leucojum aestivum L.,57,
Leucojum nicaeense Ard.,57,
Leucojum vernum L.,57,
Narcissus angustifolius Curt.,57,
Narcissus asturiensis (Jordan) Pugsley,57,
Narcissus calcicola Mendonga,57,
Narcissus cyclamineus DC.,57,
Narcissus fernandesi G.Pedro,57,
Narcissus humilis (Cav.) Traub,57,
Narcissus longispathus Pugsley,57,
Narcissus nevadensis Pugsley,57,
Narcissus pseudonarcissus L. subsp. nobilis (Haw.) A. Fernandez,57,
Narcissus scaberulus Henriq.,57,
Narcissus triandrus L.,57,
Narcissus triandrus L. subsp. capax (Salisb.) D. A. Webb.,57,
Narcissus viridiflorus Schousboe,57,
Sternbergia candida B.Mathew & Baytop,57,
Eryngium maritimum L.,57,
Rhazya orientalis (decaisne) a.de.,57,
Arum purpureospathum Boyce,57,
Calla palustris L.,57,
Stratiotes aloides L.,57,
Aristolochia clematitis,57,
Aristolochia samsunensis Davis,57,
Vincetoxicum pannonicum (borhidi) holub,58,
Arnica Montana L.,58,
Artemisia alba Turra,58,
Artemisia campestris L.,58,
Centaurea Montana L.,58,
Helichrysum arenarium (L.),58,
Berberis maderensis Lowe,58,
Alkanna pinardii Boiss.,58,
Anchusa crispa Viv.,58,
Echium russicum J.F.Gemlin,58,
Lithodora nitida (H. Ern) R. Fernandes,58,
Myosotis lusitanica Schuster,58,
Myosotis praecox Hulphers,58,
Myosotis rehsteinert Wartm.,58,
Myosotis retusifolia R. Afons,58,
Omphalodes kuzinskyana Willk.,58,
Omphalodes littoralis Lehm.,58,
Onosma halophilum Boiss. & Heldr.,58,
Onosma polyphylla Lebed.,58,
Onosma proponticum Aznav.,58,
Onosma tornensis Javorka,58,
Onosma troodi Kotschy,58,
Solenanthus albanicus (Degen & al.) Degen & Baldacci,58,
Symphytum cycladense Pawl.,58,
Adenophora lilifolia (L.) Ledeb.,58,
Asyneuma giganteum (Boiss.) Bornm.,58,
Campanula abietina Griseb. et Schenk.,58,
Campanula bohemica Hruby,58,
Campanula damboldtiana Davis,58,
Campanula gelida Kovanda,58,
Campanula lanata Friv.,58,
Campanula lycica Sorger & Kit Tan,58,
Campanula morettiana Reichenb.,58,
Campanula romanica Savul.,58,
Campanula sabatia De Not.,58,
Campanula serrata (Kit.) Hendrych,58,
Campanula zoysi Wulfen,58,
Lobelia dortmanna (L.),58,
Jasione crispa (Pourret) Samp. subsp. serpentinica Pinto da Silva,58,
Jasione lusitanica A. DC.,58,
Physoplexis comosa (L.) Schur.,58,
Trachelium asperuloides Boiss. & Orph.,58,
Arenaria ciliata L. ssp. pseudofrigida Ostenf. & O.C. Dahl,58,
Arenaria humifusa Wahlenberg,58,
Arenaria nevadensis Boiss. & Reuter,58,
Arenaria provincialis Chater & Halliday,58,
Armeria maritime (Mill.) Willd.,58,
Cerastium alsinifoltum Tausch Cerasttum dinaricum G. Beck &,58,
Dianthus arenarius L. subsp. Arenarius,58,
Dianthus arenarius subsp. bohemicus (Novak) O.Schwarz,58,
Dianthus cintranus Boiss & Reuter subsp. cintranus Boiss. & Reuter,58,
Dianthus deltoids L.,58,
Dianthus diutinus Kit.,58,
Dhanthus gratianopolitanus VIII,59,
Dianthus hypanicus Andrz.,59,
Dianthus lumnitzer Wiesb.,59,
Dianthus marizii (Samp.) Samp.,59,
Dianthus moravicus Kovanda,59,
Dianthus nitidus Waldst. et Kit.,59,
Dianthus plumarius subsp. Regis stephani (Rapcs.) Baksay,59,
Dianthus rupicola Biv.,59,
Dianthus serotinus Waldst. et Kit.,59,
Dianthus urumoffii Stoj. et Acht.,59,
Gypsophila papillosa P. Porta,59,
Herniaria algarvica Chaudri,59,
Herniaria latifolia Lapeyr. subsp. litardierei gamis,59,
Herniaria lusitanica (Chaudhri) subsp. berlengiana Chaudhri,59,
Herniaria maritima Link,59,
Herniaria lateriflora (L.) Fenzl.,59,
Lychnis viscaria L.,59,
Minuartia smejkalii Dvorakova,59,
Moehringia fontqueri Pau,59,
Moehringia hypanica Grynj. et Klok.,59,
Moehringia jankae Griseb. ex Janka,59,
Moehringia lateriflora (L.) Fenzl.,59,
Moehringia tommasini Marches.,59,
Moehringia villosa (Wulfen) Fenzl,59,
Petrocoptis grandiflora Rothm.,59,
Petrocoptis montsicciana O. Bolos & Rivas Mart.,59,
Petrocoptis pseudoviscosa Fernandez Casas,59,
Saponaria halophila Hedge & Hub,59,
Silene cretacea Fisch. ex Spreng.,59,
Silene furcata Rafin. spp. angustiflora (Rupr.) Walters,59,
Silene haussknechtii Heldr. ex Hausskn.,59,
Silene hicesiae Brullo & Signorello,59,
Silene hifacensis Rouy ex Willk.,59,
Silene holzmanu Heldr. ex Boiss.,59,
Silene longicilia (Brot.) Otth,59,
Silene mariana Pau,59,
Silene orphanidis Boiss.,59,
Silene pompeiopolitana Gay ex Boiss.,59,
Silene rothmaleri Pinto da Silva,59,
Silene salsuginea Hub. Mor.,59,
Silene sangaria Coode & Cullen,59,
Silene velutina Pourret ex Loisel.,59,
Bassia (Kochia) saxicola (Guss.) A. J. Scott,59,
Beta adanensis Pamuk. apud Aellen,59,
Beta trojana Pamuk. apud Aellen,59,
Cremnophyton lanfrancoi Brullo et Pavone,59,
Halimione pedunculata (L.) Aell.,59,
Kalidiopsis wagenitzii Aellen,59,
Kochia saxicola Guss.,59,
Microcnemum coralloides (Loscos & Pardo) Font Quer subsp.anatolicum Wagenitz,59,
Salicornia veneta Pignatti & Lausi,59,
Salsola anatolica Aellen,59,
Suaeda cucullata Aellen,59,
Cistus palhinhae Ingram,59,
Halimium verticillatum (Brot.) Sennen,59,
Helianthemum alypoides Losa & Rivas Goday,59,
Helianthemum arcticum (Grosser) Janch.,59,
Helianthemum capu,59,
Tuberaria major (Willk.) Pinto da Silva & Roseira,59,
Achillea glaberrima Klok.,59,
Achillea thracica Velen.,59,
Anacyclus latealatus Hub. Mor,,
Andryala levitomentosa (E. I. Nayardy) P. D. Sell,60,
Anthemis glaberrima (Rech. f.) Greuter,60,
Anthemis halophila Boiss. & Bal.,60,
Anthemis trotzkiana Claus ex Bunge.,60,
Argyranthemum pinnatifidum (L.f.) Lowe subsp. succulentum (Lowe) C. J. Humphries,60,
Artemisia campestris L. subsp. bottnica A.N. Lundstrém ex Kindb,60,
Artemisia granatensis Boiss.,60,
Artemisia insipida Vill.,60,
Artemisia laciniata Willd.,60,
Artemisia oelandica (Besser) Komaror,60,
Artemisia pancici (Janka) Ronn.,60,
Aster pyrenaeus Desf. ex DC.,60,
Aster sibiricus L.,60,
Aster sorrentini (Tod) Lojac.,60,
Carduus myriacanthus Salzm ex DC.,60,
Carlina diae (Rech.f.) Meusel & Kastener,60,
Carlina onopordifolia Besser,60,
Centaurea alba L. subsp. heldreichii (Halacsy) Dostal,60,
Centaurea alba L. subsp. princeps (Boiss. & Heldr.) Gugler,60,
Centaurea akamantis T. Georgiadis & G. Chatzikyriakou,60,
Centaurea attica Nyman subsp. megarensis (Halacsy & Hayek) Dostal,60,
Centaurea balearica J.D. Rodriguez,60,
Centaurea borjae Valde,60,
Centaurea citricolor Font Quer,60,
Centaurea corymbosa Pourret,60,
Centaurea dubjanskyi Iljin.,60,
Centaurea gadorensis G Bianca,60,
Centaurea hermanniu F.Hermann,60,
Centaurea horrida Badaro,60,
Centaurea immanueli,60,
Centaurea jankae Brandza,60,
Centaurea kalambakensis Freyn & Sint.,60,
Centaurea kartschiana Scop.,60,
Centaurea lactiflora Halacsy,60,
Centaurea micrantha Hoffmanns. & Link subsp. hermini (Rouy) Dostal,60,
Centaurea niederi Heldr.,60,
Centaurea peucedanifolia Boiss. & Orph.,60,
Centaurea pineticola Iljin.,60,
Centaurea pinnata Pau,60,
Centaurea pontica Prodan & E. I. Nyarady,60,
Centaurea pseudoleucolepis Kleop,60,
Centaurea pulvinata (G. Bianca) G. Bianca,60,
Centaurea rothmalerana (Arénes) Dostal,60,
Centaurea tchihatcheffii Fich. & Mey.,60,
Centaurea vicentina Mariz,60,
Cirsium brachycephalum Juratzka,60,
Crepis crocifolia Boiss. & Heldr.,60,
Crepis granatensis (Willk.) B. Bianca & M. Cueto,60,
Crepis purpurea Willd. Bieb.,60,
Crepis pusilla (Sommier) Merxmiiller,60,
Crepis tectorum L. subsp. Nigrescens,60,
Dendranthema zawadskyi (Herb.) Tzvel.,60,
Erigeron frigidus Boiss. ex DC.,60,
Helichrysum melitense (Pignatti) Brullo et al,60,
Helichrysum sibthorpii Rouy,60,
Hymenostemma pseudanthemis (Kunze) Willd.,60,
Hyoseris frutescens Brullo et Pavone,60,
Jurinea cyanoides (L.) Reichenb.,60,
Jurinea fontqueri Cuatrec.,60,
Lagoseris purpurea (Willd.) Boiss.,60,
Lamyropsis microcephala (Moris) Dittrich & Greuter,60,
Leontodon boryi Boiss.,60,
Leontodon microcephalus (Boiss. ex DC.) Boiss.,60,
Leontodon siculus (Guss.) Finch & Sell,60,
Leuzea longifolia Hoffmanns. & Link,60,
Ligularia sibirica (L.) Cass.,60,
Palaeocyanus crassifolius (Bertoloni) Dostal,60,
Picris willkommii (Schultz Bip.) Nyman,60,
Santolina elegans Boiss. ex DC.,61,
Santolina impressa Hoffmanns & Link,61,
Santolina semidentata Hoffmanns. & Link,61,
Saussurea alpina subsp. esthonica (Baer ex Rupr) Kupffer,61,
Senecio caespitosus Brot.,61,
Senecio elodes Boiss. ex DC.,61,
Senecio jacobea L. subsp. gotlandicus (Neuman) Sterner,61,
Senecio lagascanus DC. subsp. lusitanicus (P. Cout.) Pinto da Silva,61,
Senecio nevadensis Boiss. & Reuter,61,
Serratula lycopifolia (Vill.) A.Kern,61,
Serratula tanaitica P. Smirn.,61,
Sonchus erzincanicus Matthews,61,
Tephroseris longifolia (Jacq.) Griseb et Schenk subsp. moravica,61,
Wagenitzia lancifolia (Sieber ex Sprengel) Dostal,61,
Calystegia soldanella L.,61,
Convolvulus argyrothamnus Greuter,61,
Convolvulus fernandesii Pinto da Silva & Teles,61,
Convolvulus pulvinatus Sa’ad,61,
Sempervivum funckii var. aqualiense,61,
Alyssum akamasicum B.L.Burtt,61,
Alyssum borzaeanum E. I. Nayardy,61,
Alyssum pyrenaicum Lapeyr.,61,
Arabis kennedyae Meikle,61,
Arabis sadina (Samp.) P.Cout.,61,
Arabis scopoliana Boiss,61,
Armoracia macrocarpa (Waldst. & Kit.) Kit. ex Baumg.,61,
Aurinia uechtritziana (Bornm.) Cullen et T. R. Dudley,61,
Biscutella neustriaca Bonnet,61,
Biscutella vincentina (Samp.) Rothm.,61,
Boleum asperum (Pers.) Desvaux,61,
Brassica glabrescens Poldini,61,
Brassica hilarionis Post,61,
Brassica insularis Moris,61,
Brassica macrocarpa Guss.,61,
Brassica sylvestris (.) Mill. subsp. taurica Tzvel.,61,
Braya linearis Rouy,61,
Braya purpurasceus (R.Br.) Bunge,61,
Cochlearia polonica E. Frohlich,61,
Cochlearia tatrae Borbas,61,
Coincya rupestris Rouy,61,
Coronopus navasii Pau,61,
Crambe koktebelica (Junge) N. Busch.,61,
Crambe litwinonowii K. Gross.,61,
Crambe tataria Sebeok,61,
Diplotaxis ibicensis (Pau) Gome,61,
Dziplotaxis siettiana Maire,61,
Diplotaxis vicentina (P. Cout.) Rothm.,61,
Draba aizoides L.,61,
Draba cacuminum Elis Ekman,61,
Draba cinerea Adams,61,
Draba dorneri Heuffel.,61,
FErucastrum palustre (Pirona) Vis.,61,
Erysimum pieninicum (Zapal.) Pawl.,61,
Iberis arbuscula Runemark,61,
Iberis procumbens Lange subsp. microcarpa Franco & Pinto da Silva,61,
Jonopsidium acaule (Desf.) Reichenb.,61,
Jonopsiditum savianum (Caruel) Ball ex Arcang.,61,
Lepidium turezaninowii Lipsky.,61,
Lunaria rediviva L.,61,
Murbeckiella sousae Rothm.,61,
Rhynchosinapis erucastrum (L.) Dandy ex Clapham subsp. cintrana (Coutinho),61,
Schivereckia podolica (Besser) Andrz.,62,
Sisymbrium cavanillesianum Valdes & Castroviejo,62,
Sisymbrium confertum Stev.,62,
Sisymbrium supinum L.,62,
Thlaspi cariense A.Carlstrém,62,
Thlaspi jankae A. Kern.,62,
Juniperus communis L.,62,
Carex holostoma Drejer,62,
Carex panormitana Guss.,62,
Carex secalina Willd. ex Wahlenb.,62,
Eleocharis carniolica Koch,62,
Borderea chouardii (Gaussen) Heslot,62,
Tamus communis L. / °Spekwortel,62,
Dipsacus cephalarioides Mathews & Kupicha,62,
Aldrovanda vesiculosa L.,62,
Drosera intermedia Hayne,62,
Drosera rotundifolia L.,62,
Elatine gussonei (Sommier) Brullo et al,62,
Erica cinerea L.,62,
Erica tetralix L.,62,
Rhododendron luteum Sweet,62,
Vaccinium arctostaphylos L.,62,
Euphorbia margalidiana Kuhbier & Lewejohann,62,
Euphorbia nevadensis Boiss. & Reuter,62,
Euphorbia transtagana Boiss.,62,
Centaurium rigualii Esteve Chueca,62,
Centaurium somedanum Lainz,62,
Gentiana cruciata L.,62,
Gentiana pneumonanthe L.,62,
Gentiana ligustica R. de Vilm & Chopinet,62,
Gentianella angelica (Pugsley) E. F. Warburg,62,
Gentianella bohemica Skalicky,62,
Erodium astragaloides Boiss. & Reuter,62,
Erodium chrysanthum L’Herit. ex DC.,62,
Erodium paularense Fernandez Gonzalez & Izco,62,
Erodium rupicola Boiss.,62,
Haberlea rhodopensis Friv.,62,
Jankaea heldreichii (Boiss.) Boiss.,63,
Ramonda serbica Pancic,63,
Globularia stygia Orph. ex Boiss.,63,
Arctagrostis latifolia (R.Br.) Griseb.,63,
Arctophila fulva (Trin.) N.J. Anderson,63,
Avenula hackeli (Henrig.) Holub,63,
Bromus bromoideus (Lej.) Crepin,63,
Bromus grossus Desf. ex DC.,63,
Bromus interruptus (Hackel) Druce,63,
Bromus moesiacus Velen.,63,
Bromus psammophilus P.M.Smith,63,
Calamagrostis chalybaea (Maest.) Fries,63,
Cinna latifolia (Trev.) Griseb.,63,
Coleanthus subtilis (Tratt.) Seidl,63,
Eremopoa mardinensis R.Mill,63,
Festuca brigantina (Marker,63,
Festuca duriotagana Franco & R. Afonso,63,
Festuca elegans Boiss.,63,
Festuca henriquesii Hack.,63,
Festuca summilusitanica Franco & R. Afonso,63,
Gaudinia hispanica Stace & Tutin,63,
Holcus setiglumis Boiss. & Reuter subsp. duriensis Pinto da Silva,63,
Micropyropsis tuberosa Romero Zarco & Cabezudo,63,
Poa granitica Br. Bl. subsp. disparilis (E. I. Nyarady) E. I. Nyarady,63,
Poariphaea (Ascher et Graebner) Fritsch,63,
Pseudarrhenatherum pallens (Link) J.Holub,63,
Puccinellia phryganodes (Trin.) Scribner Merr.,63,
Puccinellia pungens (Pau) Paunero,63,
Stipa austroitalica Martinovsky,63,
Stipa bavarica Martinovsky & H.Schloz,63,
Stipa danubialis Dihoru & Roman,63,
Stipa styriaca Martinovsky,63,
Stipa syreistschikown P. Smirn.,63,
Stipa veneta Moraldo,63,
Stipa zalesskii Wilensky,63,
Trisetum subalpestre (Hartman) Neuman,63,
Ribes sardum Martelli,63,
Hippuris tetraphylla L. Fil.,63,
Hypericum aciferum (Greuter) N.K.B.Robson,63,
Hypericum salsugineum Robson & Hub,63,
Crocus abantensis T.Baytop & Mathew,63,
Crocus cyprius Boiss. et Kotschy,63,
Crocus etruscus Parl.,63,
Crocus hartmannianus Holmboe,63,
Crocus robertianus C.D. Brickel,63,
Gladiolus felicis Mirek,63,
Gladiolus palustris Gaud.,63,
Iris aphylla L. subsp. hungarica Hegi,63,
Iris boissieri Henriq.,63,
Iris humilis Georgi subsp. arenaria (Waldst. et Kit.) A. et D.Léve,63,
Iris marisca Ricci & Colasante,63,
Juncus valvatus Link,64,
Luzula arctica Blytt,64,
Dracocephalum austriacum L.,64,
Dracocephalum ruyschiana L.,64,
Micromeria taygetea P.H.Davis,64,
Nepeta dirphya (Boiss.) Heldr. ex Halacsy,64,
Nepeta sphaciotica P.H.Davis,64,
Origanum cordifolium (Auch. & Montbr.) Vogel (Amaracus cordifolium Montr. & Auch.),64,
Origanum dictamnus L.,64,
Origanum scabrum Boiss. & Heldr,64,
Phlomis brevibracteata Turril,64,
Phlomis cypria Post,64,
Rosmarinus tomentosus Hube,64,
Salvia crassifolia Sibth. & Smith,64,
Salvia veneris Hedge,64,
Sideritis cypria Post,64,
Sideritis incana subsp. glauca (Cav.) Malagarriga,64,
Sideritis javalambrensis Pau,64,
Sideritis serrata Cav. ex Lag.,64,
Teucrium charidemi Sandwith,64,
Teucrium lamiufolium D’Urv.,64,
Teucrium lepicephalum Pau,64,
Teucrium turredanum Losa & Rivas Goday,64,
Thymus aznavourii Velen.,64,
Thymus camphoratus Hoffmanns. & Link,64,
Thymus capitellatus Hoffmanns. & Link,64,
Thymus carnosus Boiss.,64,
Thymus cephalotos L.,64,
Thymus lotocephalus G. Lopez & R. Morales (Thymus cephalotos L.),64,
Thymus villosus L. subsp. villosus L.,64,
"Anthyllis hystrix Cardona, Contandr. & E.Sierra",64,
Astragalus aitosensis Ivanisch.,64,
Astragalus algarbiensis Coss. ex Bunge,64,
Astragalus aquilanusAnzalone,64,
Astragalus centrealpinus Brau,64,
Astragalus kungurensis Boriss.,64,
Astragalus macrocarpus DC. subsp. lefkarensis Agerer Meikl,64,
Astragalus maritimus Moris,64,
Astragalus peterfii Jav.,64,
Astragalus physocalyx Fischer,64,
Astragalus psedopurpureus Gusul.,64,
Astragalus setosulus Gontsch.,64,
Astragalus tanaiticus C. Koch.,64,
Astragalus tremolsianus Pau,64,
Astragalus verrucosus Moris,64,
Cytisus aeolicus Guss. ex Lindl.,64,
Genista dorycnifolia Font Quer,64,
Genista holopetala (Fleischm. ex Koch) Baldacci,64,
Genista tetragona Bess.,64,
Glycyrrhiza iconica Hub,64,
Hedysarum razoumovianum Fisch. et Helm.,64,
Melilotus segetalis (Brot.) Ser. subsp. fallax Franco,64,
Ononis hackeli Lange,64,
Oxytropis deflexa (Pallas) DC. subsp. norvegica Nordh.,64,
Sphaerophysa kotschyana Boiss.,64,
"Thermopsis turcica Kit Tan, Vural & Kiigikédti",64,
Trifolium banaticum (Heuffel) Majovsky,64,
Trifolium pachycalyx Zoh.,64,
Trifolium saxatile All.,64,
Trigonella arenicola Hub,65,
Trigonella halophila Boiss.,65,
Trigonella polycarpa Boiss. & Heldr.,65,
Vicia bifoliolata J D.Rodriguez,65,
Vicia orobus DC.,65,
Pinguicula crystallina Sibth. & Sm.,65,
Pinguicula nevadensis (Lindb.) Casper,65,
Allium grosii Font Quer,65,
Allium regelianum A. Beck.,65,
Allium vuralii Kit Tan,65,
Androcymbium europaeum (Lange) K. Richter,65,
Androcymbium rechingeri Greuter,65,
Anthericum liliago L.,65,
Asparagus lycaonicus Davis,65,
Asphodelus bent,65,
Bellevalia hackelli Freyn,65,
Chionodoxa lochiae Meikle in Kew Bull.,65,
Chionodoxa luciliae Boiss.,65,
Colchicum arenarium Waldst. et Kit.,65,
Colchicum corsicum Baker,65,
Colchicum cousturieri Greuter,65,
Colchicum davidovii Stef.,65,
Colchicum fominiu Bordz.,65,
Colchicum micranthum Boiss.,65,
Fritillaria conica Rix,65,
Fritillaria drenovskii Degen & Stoy.,65,
Fritillaria epirotica Turrill ex Rix,65,
Fritillaria euboeica Rix,65,
Fritillaria graeca Boiss.,65,
Fritillaria gussichiae (Degen & Doerfler) Rix,65,
Fritillaria montana Hoppe.,65,
Fritillaria obliqua Ke,65,
Fritillaria rhodocanakis Orph. ex Baker,65,
Fritillaria tuntasia Heldr. ex Halacsy,65,
Hyacinthoides vicentina (Hoffmanns. & Link) Rothm.,65,
Lilium jankae A. Kerner,65,
Lilium rhodopaeum Delip.,65,
Muscari gussonei (Parl.) Tod.,65,
Ormithogalum reverchoni Degen & Herv,65,
Scilla betrana Samp.,65,
Scilla bifolia L.,65,
Seilla litardierei Breist.,65,
Seilla morrisi Meikle,65,
Seilla odorata Link,65,
Tulipa cypria Stapf,65,
Tulipa goulimyi Sealy & Turrill,65,
Tulipa hungarica Borbas,65,
Tulipa praecox Ten.,65,
Tulipa sprengeri Baker,65,
Linum dolomiticum Borbas,65,
Linum muelleri Moris (Linum maritimum muelleri),65,
Lythrum flexuosum Lag.,65,
Lythrum thesioides M.Bieb.,65,
Althaea officinalis L.,65,
Kostelerzkya pentacarpos (L.) Ledeb.,66,
Caulinia tenuissima (A. br. ex Magnus) Tzvel.,66,
Nayas flexilis (Willd.) Rostk. & W.L. Schmid,66,
Nayas tenuissima (A. Braun) Magnus,66,
Alle Nymphaeaceae soorten waarvan het natuurlijk verspreidingsgebied geheel of gedeeltelijk het nationaal grondgebied omvat,66,
Syringa josikaea Jacq. Fil. ex Reichenb.,66,
"Alle Orchidaceae soorten waarvan het natuurlijk verspreidingsgebied geheel of gedeeltelijk het nationaal grondgebied omvatt, met uitsluiting van Epipactis helleborine",,
