scientific_name,page_number,remarks
Alle europese soorten Mammalia,50,
Barbastella barbastellus,50,
Eptesicus serotinus,50,
Myotis bechsteinii,50,
Myotis brandtii,50,
Myotis dasycneme,50,
Myotis daubentoni,50,
Myotis emarginatus,50,
Myotis myotis,50,
Myotis mystacinus,50,
Myotis nattereri,50,
Nyctalus leisleri,50,
Nyctalus noctula,50,
Pipistrellus nathusii,50,
Pipistrellus pipistrellus,50,
Pipistrellus pygmacus,50,
Plecotus auritus,50,
Plecotus austriacus,50,
Alle Europese soorten Aves,50,
Alle Europese soorten Reptilia,51,
Alle Europese soorten Amphibia,51,
Acipenser naccarii,51,
Acipenser sturio,51,
Huso huso,51,
Aphanius faciatus,51,added s
Aphanius iberus,51,
Valencia hispanica,51,
Valencia leutoruneuxi,51,removed u
Anaecypris hispanica,51,
Phoxinus percnurus,51,
Rhodeus sericeus amarus,51,
Umbra krameri,51,
Hippocampus hippocampus,51,
Hippocampus ramulosus,51,
Cetorhinus maximus,51,
Carcharodon carcharias,51,
Gymnocephalus baloni,51,
Romanichtys valsanicola,51,removed h
Zingel asper,51,
Pomatoschistus canestrini,52,
Pomatoschistus tortonesi (Med. ),52,removed (Med.)
Lethenteron zanandrai,52,added e
Mobula mobular,52,
Coregonus oxyrhynchus,52,removed (anadrome populaties in bepaalde sectoren van de Noordzee)
Bolbelasmus unicornis,52,
Buprestis splendens,52,
Carabus bessarabicus,52,
Carabus hampei,52,
Carabus hungaricus,52,
Carabus olympiae,52,
Carabus variolosus,52,
Carabus zawadszkii,52,removed s
Cerambyx cerdo,52,
Cucujus cinnaberinus,52,
Dorcadion fulvum cervae,52,
Duvalius gebhardti,52,
Duvalius hungaricus,52,
Dytiscus latissimus,52,
Graphoderus bilineatus,52,
Leptodirus hochenwarti,52,
Lucanus cervus,52,
Pilemia tigrina,52,
Osmoderma eremita,52,
Phryganophilus ruficollis,52,
Probaticus subrugosus,52,
Propomacrus cypriacus,52,
Pseudogaurotina excellens,52,
Pseudoseriscius cameroni,52,
Pytho kolwensis,52,
Rosalia alpina,52,
Palingenia longicauda,52,
Apatura metis,52,
Arytrura musculus,52,
Catopta thrips,52,
Chondrosoma fiduciarium,52,
Coenonympha hero,52,
Coenonympha oedippus,53,
Colias myrmidone,53,
Cucullia mixta,53,
Dioszeghyana schmidtii,53,
Erannis ankeraria,53,
Erebia calcaria,53,
Erebia christi,53,
Erebia sudetica,53,
Eriogaster catax,53,
Euphydryas (Eurodryas) aurinia,53,
Fabriciana elisa,53,
Glyphipterix loricatella,53,
Gortyna borelii lunata,53,
Hyles hippophaes,53,
Hypodryas maturna,53,
Leptidea morsei,53,
Lignyoptera fumidaria,53,
Lopinga achine,53,
Lyeaena dispar,53,
Lycaena helle,53,
Maculinea arion,53,
Maculinea nausithous,53,
Maculinea teleius,53,
Melanargia arge,53,
Nymphalis vaualbum,53,
Papilio alexanor,53,
Papilio hospiton,53,
Parnassius apollo,53,
Parnassius mnemosyne,53,
Phyllometra culminaria,53,
Plebicula golgus,53,
Polymixis rufocincta isolata,53,
Polyommatus eroides,53,
Polyommatus gallo,53,
Polyommatus humedasae,53,
Proserpinus proserpina,53,
Pseudophilotes bavius,53,
Xylomoia strix,53,
Zerynthia polyxena,53,
Apteromantis aptera,53,
Aeshna viridis,53,
Brachythemis fuscopalliata,53,
Calopteryx syriaca,53,
Coenagrion freyi,53,
Coenagrion mercuriale,53,
Cordulegaster heros,53,
Cordulegaster trinacriae,53,
Gomphus graslinii,53,
Leucorrhinia albifrons,53,
Leucorrhinia caudalis,53,
Leucorrhinia pectoralis,53,
Lindenia tetraphylla,53,
Macromia splendens,53,
Ophiogomphus cecilia,53,
Oxygastra curtisii,53,
Stylurus flavipes,53,
Sympecma braueri,53,
Baetica ustulata,53,
Brachytrupes megacephalus,53,
Isophya costata,53,
Isophya harzi,53,
Isophya stysi,53,
Myrmecophilus baron,54,
Odontopodisma rubripes,54,
Paracaloptenus caloptenoides,54,
Pholidoptera transsylvanica,54,
Saga pedo,54,
Stenobothrus (Stenobothrodes) eurasius,54,
Macrothele calpeiana,54,
Ocypode cursor,54,
Pachyplasma giganteum,54,
Armadilliditum ghardalamensis,54,
Astroides calycularis,54,
Gerardia savaglia,54,
Errina aspera,54,
Asterina pancerii,54,
Ophidiaster ophidianus,54,
Centrostephanus longispinus,54,
Aplysina cavernicola,54,
Asbestophluma hypogea,54,removed h
Axinelle polyploides,54,
Petrobiona massiliana (Med. ),54,removed (Med.)
Gibbula nivosa,54,
Patella ferruginea,54,
Patella nigra,54,
Anisus vorticulus,55,
Charonia rubicunda,55,
Charonia tritonis,55,
Dendropoma petraeum,55,
Erosaria spurca,55,
Luria lurida,55,
Mitra zonata,55,
Ranella olearia,55,
Schilderia achatidea,55,
Tonna galea,55,
Zonaria pyrum,55,
Caseolus calculus,55,
Caseolus commixta,55,
Caseolus sphaerula,55,
Chilostoma banaticum,55,
Discula leacockiana,55,
Discula tabellata,55,
Discula testudinalis,55,
Discula turricula,55,
Discus defloratus,55,
Discus guerinianus,55,
Elona quimperiana,55,
Geomalacus maculosus,55,
Geomitra moniziana,55,
Helix subplicata,55,
Hygromia kovacsi,55,
Idiomela (Helix) subplicata,55,
Lampedusa imitatrix,55,
Lampedusa melitensis,55,
Leiostyla abbreviata,55,
Leiostyla cassida,55,
Leiostyla corneocostata,55,
Leiostyla gibba,55,
Leiostyla lamellosa,55,
Paladilhia hungarica,55,
Sadleriana pannonica,55,
Theodoxus prevostianus,55,
Theodoxus transversalis,55,
Vertigo angustio,55,
Lithophaga lithophaga,55,
Pinna nobilis,55,
Pholas dactylus,55,
Margaritifera auricularia,55,
Unio crassus,55,
Congeria kusceri,55,
Asplenium adiantum nigrum,56,
Asplenium adulterinum Milde,56,
Asplenium cetrach,56,
