scientific_name_original,scientific_name_corrected,page_number,remarks
Alle inheemse soorten van vissen niet vermeld in bijlage II.2 of II.3,Alle inheemse soorten van vissen niet vermeld in bijlage II.2 of II.3,81,
Alle europese soorten Acipenseridae niet vermeld in bijlage II.2 of II.3,Alle europese soorten Acipenseridae niet vermeld in bijlage II.2 of II.3,81,
Aphanius fasciatus,Aphanius fasciatus,81,
Aphanius iberus,Aphanius iberus,81,
Alle europese soorten van Alosa,Alle europese soorten van Alosa,81,
Abramis ballerus,Abramis ballerus,81,
Abramis sapa,Abramis sapa,81,
Abramis vimba,Abramis vimba,81,
Alburnoides bipunctatus,Alburnoides bipunctatus,81,
Alburnus albidus,Alburnus albidus,81,
Aspius aspius,Aspius aspius,81,
Alle europese soorten van Barbus,Alle europese soorten van Barbus,81,
Chalcalburnus chalcoides,Chalcalburnus chalcoides,81,
Chondrostoma genet,Chondrostoma genei,81,
Chondrostoma kneri,Chondrostoma kneri,81,
Chondrostoma lemingi,Chondrostoma lemingi,81,
Chondrostoma lusitanicum,Chondrostoma lusitanicum,81,
Chondrostoma nasus,Chondrostoma nasus,81,
Chondrostoma phoxinus,Chondrostoma phoxinus,81,
Chondrostoma polylepis,Chondrostoma polylepis,81,
Chondrostoma soetta,Chondrostoma soetta,81,
Chondrostoma toxostoma,Chondrostoma toxostoma,81,
Chondrostoma willkommi,Chondrostoma willkommi,81,
Gobio albipinnatus,Gobio albipinnatus,81,
Gobio kessleri,Gobio kessleri,82,
Gobio uranoscopus,Gobio uranoscopus,82,
Leucaspius delineatus,Leucaspius delineatus,82,
Leucaspius stymphalicus,Leucaspius stymphalicus,82,
Leuciscus illyricus,Leuciscus illyricus,82,
Leuciscus lucumotis,Leuciscus lucumonis,82,changed t to m
Leuciscus microlepis,Leuciscus microlepis,82,classified in two different genera on GBIF
Leuciscus polylepis,Leuciscus polylepis,82,
Leuciscus pyrenaicus,Leuciscus pyrenaicus,82,
Leuciscus soufia,Leuciscus soufia,82,
Leuciscus svallize,Leuciscus svallize,82,
Leuciscus turskyi,Leuciscus turskyi,82,
Leuciscus ukliva,Leuciscus ukliva,82,
Pachychilon pictum,Pachychilon pictum,82,
Pelecus cultratus,Pelecus cultratus,82,
Phoxinellus adspersus,Phoxinellus adspersus,82,
Phoxinellus hispanicus,Phoxinellus hispanicus,82,
Pseudophoxinus marathonicus,Pseudophoxinus marathonicus,82,
Pseudophoxinus stymphalicus,Pseudophoxinus stymphalicus,82,
Rutilus alburnoides,Rutilus alburnoides,82,
Rutilus arcasi,Rutilus arcasi,82,
Rutilus frisii,Rutilus frisii,82,
Rutilus friesii meidingeri,Rutilus frisii meidingeri,82,removed extra e
Rutilus graecus,Rutilus graecus,82,
Rutilus lemmingii,Rutilus lemmingii,82,
Rutilus macedonicus,Rutilus macedonicus,82,
Rutilus macrolepidotus,Rutilus macrolepidotus,82,
Rutilus pigus,Rutilus pigus,82,
Rutilus racovitzai,Rutilus racovitzai,82,
Rutilus rubilio,Rutilus rubilio,82,
Cobitis elongata,Cobitis elongata,82,
Cobitis hassi,Cobitis hassi,82,
Cobitis larvata,Cobitis larvata,82,
Cobitis paludicola,Cobitis paludica,82,changed from subspecies to species
Cobitis taenia,Cobitis taenia,82,
Cobitis trichonica,Cobitis trichonica,82,
Misgurnis fossilis,Misgurnus fossilis,82,changed i to e
Sabanejewia aurata,Sabanejewia aurata,82,
Sabanejewia calderoni,Sabanejewia calderoni,82,
Syngnathus abaster,Syngnathus abaster,82,
Syngnathus nigrolineatus,Syngnathus nigrolineatus,82,
