scientific_name_original,scientific_name_corrected,page_number,remarks
Pungitius hellenicus,Pungitius hellenicus,82,
Tuntitius platygaster,Pungitius platygaster,82,changed p to t
Raja alba (Med.),Raja alba,82,removed (Med.)
Blennius fluviatilis,Blennius fluviatilis,82,
Gobius fluviatilis,Gobius fluviatilis,82,different authorships in GBIF
Gobius kessleri,Gobius kessleri,82,
Gobius nigricans,Gobius nigricans,83,
Gobius ophiocephalus,Gobius ophiocephalus,83,
Gobius syrman,Gobius syrman,83,
Gobius thressalus,Gobius thessalus,83,added r
Padogobius martensi,Padogobius martensi,83,
Padogobius panizzai,Padogobius panizzai,83,
Pomatoschistus canestrini,Pomatoschistus canestrini,83,
Pomatoschistus microps,Pomatoschistus microps,83,
Pomatoschistus minutus,Pomatoschistus minutus,83,
Proterorhinus marmoratus,Proterorhinus marmoratus,83,
Gymnocephalus schraetzer,Gymnocephalus schraetzer,83,
Stizostedion volgense,Stizostedion volgense,83,
Zingel streber,Zingel streber,83,
Zingel zingel,Zingel zingel,83,
Epinephelus marginatus (Med. ),Epinephelus marginatus,83,removed (Med.)
Scizna umbra (Med.),Scizna umbra,83,removed (Med.)
Umbrina cirrosa (Med.),Umbrina cirrosa,83,removed (Med.)
Eudontomyzon hellenicum,Eudontomyzon hellenicum,83,
Eudontomyzon mariae,Eudontomyzon mariae,83,
Eudontomyzon vladykovi,Eudontomyzon vladykovi,83,
Lampetra fluviatilis,Lampetra fluviatilis,83,
Lampetra planeri,Lampetra planeri,83,
Lampetra zanandreai,Lampetra zanandreai,83,
Lethenteron zanandrai,Lethenteron zanandreai,83,added e
Petromyzon marinus,Petromyzon marinus,83,
Isurus oxyrinchus (Med.),Isurus oxyrinchus,83,removed (Med.)
Lamna nasus (Med.),Lamna nasus,83,removed (Med.)
Prionace glauca (Med.),Prionace glauca,83,removed (Med.)
Squatina squatina (Med.),Squatina squatina,83,removed (Med.)
Alle europese soorten van Coregonus,Alle europese soorten van Coregonus,83,
Thymallus thymallus,Thymallus thymallus,83,
"Alle europese soorten van Coregonus, behalve Coregonus oxyrhyn","Alle europese soorten van Coregonus, behalve Coregonus oxyrhyn",83,
Hucho hucho,Hucho hucho,83,
Salmo salar (alleen in zoet water),Salmo salar,83,"removed ""alleen in zoetwater"""
Thymallus thymallus,Thymallus thymallus,84,
Cottus poecilopus,Cottus poecilopus,84,
Myoxocephalus quadricornis,Myoxocephalus quadricornis,84,
Silurus aristotelis,Silurus aristotelis,84,
Siluris glanis,Siluris glanis,84,
Hirudo medicinalis,Hirudo medicinalis,84,
Astacus astacus,Astacus astacus,84,
Austropotamobius pallipes,Austropotamobius pallipes,84,
Austropotamobius torrentium,Austropotamobius torrentium,84,
Maja squinado (Med.),Maja squinado,84,removed (Med.)
Homarus gammarus (Med.),Homarus gammarus,84,removed (Med.)
Palinurus elephas (Med.),Palinurus elephas,84,removed (Med.)
§Scyllarides latus,Scyllarides latus,84,
Scyllarides pigmaeus (Med.),Scyllarides pigmaeus,84,removed (Med.)
Scyllarides arctus (Med.),Scyllarides arctus,84,removed (Med.)
Graellsia isabellae,Graellsia isabellae,84,
Corallium rubrum,Corallium rubrum,84,
Antipathes sp. plur. (Med.),Antipathes sp. plur.,85,removed (Med.)
Paracentrotus lividus (Med.),Paracentrotus lividus,85,removed (Med.)
Hippospongia communis (Med. ),Hippospongia communis,85,removed (Med.)
Spongia agaricina (Med.),Spongia agaricina,85,removed (Med.)
Spongia officinalis (Med.),Spongia officinalis,85,removed (Med.)
Spongia zimocca (Med),Spongia zimocca,85,removed (Med.)
Helix pomatia,Helix pomatia,85,
Margaritifera margaritifera,Margaritifera margaritifera,85,
Microcondylaea compressa,Microcondylaea compressa,85,
Unio elongatulus,Unio elongatulus,85,
Lithothamnium coralloides Crouan frat.,Lithothamnium corallioides,85,"removed authorship, removed h"
Phymatholithon calcareum (Poll.) Adey & McKibbin,Phymatolithon calcareum (Pallas) Adey & D.L.McKibbin,85,removed h
Alle inheemse lichenen,Alle inheemse lichenen,85,
Cladonia L. subgenus Cladina (Nyl.) Vain.,Cladonia L. subgenus Cladina (Nyl.) Vain.,85,
Leucobryum glaucum (Hedw.) Angstr.,Leucobryum glaucum (Hedw.) Angstr.,85,
Alle europese Sphagnum-soorten,Alle europese Sphagnum-soorten,86,
Alle inheemse macrofunghi soorten,Alle inheemse macrofunghi soorten,86,
Alle europese Lycopodium soorten,Alle europese Lycopodium soorten,86,
Galanthus nivalis L.,Galanthus nivalis L.,86,
Narcissus bulbocodium L.,Narcissus bulbocodium L.,86,
Narcissus juncifolius Lagasca,Narcissus juncifolius,86,removed authorship for better match
Alle Salicornia soorten waarvan het natuurliyk verspreidingsgebied geheel of gedeeltelijk het nationaal grondgebied omvat,Alle Salicornia soorten waarvan het natuurliyk verspreidingsgebied geheel of gedeeltelijk het nationaal grondgebied omvat,86,
Arnica montana L.,Arnica montana L.,86,
Artemisia eriantha Ten,Artemisia eriantha Ten,86,
Artemisia genipi Weber,Artemisia genipi Weber,86,
Doronicum plantagineum L. subsp. tournefortii (Rouy) P. Cout.,Doronicum plantagineum L. subsp. tournefortii (Rouy) P. Cout.,86,
Leuzea rhaponticoides Graells,Leuzea rhaponticoides Graells,86,
Alyssum pintodasilvae Dudley.,Alyssum pintodasilvae Dudley.,86,
Malcolmia lacera (L.) DC. subsp. graccilima (Samp.) Franco,Malcolmia lacera (L.) DC. subsp. graccilima (Samp.) Franco,86,
Murbeckiella pinnatifida (Lam.) Rothm. subsp. hermini (Rivas-Martinez) Greuter & Burdet,Murbeckiella pinnatifida (Lam.) Rothm. subsp. hermini (Rivas-Martinez) Greuter & Burdet,86,
Tamus communis L.,Tamus communis L.,86,
Centaurium erythaea RAFN.,Centaurium erythraea,86,removed authorship; changed aea to eae
Centaurium littorale (D. Turn) Gilm.,Centaurium littorale (D. Turn) Gilm.,86,
Centaurium pulchellum (Sw.) Druce,Centaurium pulchellum (Sw.) Druce,86,
Gentiana lutea L.,Gentiana lutea L.,86,
Iris lusitanica Ker-Gawler,Iris lusitanica Ker-Gawler,86,
Teucrium salviastrum Schreber subsp. salviastrum Schreber,Teucrium salviastrum Schreber subsp. salviastrum Schreber,86,
Anthyllis lusitanica Cullen & Pinto da Silva,Anthyllis lusitanica Cullen & Pinto da Silva,86,
Doryenium pentaphyllum Scop. subsp. transmontana Franco,Dorycnium pentaphyllum subsp. transmontanum Franco.,86,changed a to um
Ulex densus Welw. ex Webb.,Ulex densus Welw. ex Webb.,86,
Lilium rubrum Lmk,Lilium rubrum,87,removed authorship
Ruscus aculeatus L.,Ruscus aculeatus L.,87,
Menyanthes trifoliata L.,Menyanthes trifoliata L.,87,
Armeria sampaioi (Bernis) Nieto Feliner,Armeria sampaioi (Bernis) Nieto Feliner,87,
Rubus genevieri Boreau subsp. herminii (Samp.) P. Cout.,Rubus genevieri Boreau subsp. herminii (Samp.) P. Cout.,87,
Anarrhinum longipedicelatum R. Fernandes,Anarrhinum longipedicelatum R. Fernandes,87,
Euphrasia mendongae Samp.,Euphrasia mendoncae Samp.,87,changed g to c
Serophularia grandiflora DC. subsp. grandiflora DC.,Serophularia grandiflora DC. subsp. grandiflora DC.,87,
Scrophularia berminii Hoffmanns & Link,Scrophularia berminii Hoffmanns & Link,87,
Scrophularia sublyrata Brot.,Scrophularia sublyrata Brot.,87,
