id	speciesbeid	colid	acceptedname	vernacularnamefr	vernacularnamenl	scientificnameauthorship	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author
3638	63699		Narcine				48959		genus		accepted	62741	2015-04-29		
8962	_63727		Bison priscus						species		accepted		2015-04-29		
13482	55210		Conostroma				45965		genus		to determine	59172	2015-04-29		
13597	55211		Coprotrichum				45965		genus		to determine	59172	2015-04-29		
15812	55367		Dermatium						genus		to determine	59179	2015-04-29		
17594	55417		Discosia				45965		genus		to determine	59172	2015-04-29		
19467	55496		Embellisia				45965		genus		to determine	59172	2015-04-29		
19771	55603		Fusarium				45965		genus		to determine	59172	2015-04-29		
20578	55607		Mastigomyces				45965		genus		to determine	59172	2015-04-29		
23707	55766		Heterosporium				45965		genus		to determine	59172	2015-04-29		
23815	55801		Hormoconis				45965		genus		to determine	59172	2015-04-29		
27550	55959		Leptotrimitus						genus		to determine	59179	2015-04-29		
32604	56686		Sarcopodium				45965		genus		to determine	59172	2015-04-29		
35023	47995		Ibalia				44283		genus		to determine	57461	2015-04-29		
45820	59011		Sepioidea				45939		order		to determine	59144	2015-04-29		
48283	62146		Holothuroidea						class		accepted	62121	2015-04-29		
71	201		Macrophoma mirbelii form. ramicola			Oudem.	30182	1a	forma		accepted	37819	2015-04-29		
80	211		Mucor circinelloides form. griseocyanus			(Hagem) Schipper, 1970	30479	1a	forma		accepted	38574	2015-04-29		
94	242		Phylloporia ribis form. evonymi		kardinaalsmutsvuurzwam	(Kalchbr.) Bourdot & Galzin	31569	1a	forma		accepted	40825	2015-04-29		
144	58841		Rajiformes				45927		order		to determine	59118	2015-04-29		
175	387		Microbryum davallianum var. conicum			(Schwägr.) R.H.Zander	3919	1a	variety		accepted	4946	2015-04-29		
176	388		Microbryum davallianum var. davallianum			(Sm.) R.H.Zander	3919	1a	variety		accepted	4946	2015-04-29		
282	542		Candida pintolopesii var. pintolopesii			, 1983	27264	1a	variety		anamorph	31330	2015-04-29		
376	741		Diderma effusum var. effusum		versmolten kalkschaaltje		28532	1a	variety		accepted	34196	2015-04-29		
712	1367		Polydesmus exitiosus var. solani			Schrank in Frank Krh.	31838	1a	variety		accepted	41410	2015-04-29		
746	1483		Rhizopus stolonifer var. reflexus			(Bainier) Schipper, 1882	32391	1a	variety		accepted	43252	2015-04-29		
811	1675		Trichia botrytis var. cerifera			G. Lister	33370	1a	variety		accepted	45846	2015-04-29		
840	1707		Uredo linearis var. frumenti			Lambert		1a	variety		anamorph	46166	2015-04-29		
917	1807		Ceratophyllus rossitensis rossitensis			Dampf, 1913	6388	1a	subspecies		accepted	7484	2015-04-29		
973	1868		Penicillidia dufourii dufourii			(Westwood, 1835)	14182	0a	subspecies		accepted	16249	2015-04-29		
51061			Tryblionella angustata			W.Smith, 1853			species		accepted		2016-07-06		
974	1869		Pedicia rivosa rivosa			(Linnaeus, 1758)	14222	0a	subspecies		accepted	16296	2015-04-29		
988	1887		Nephrotoma lamellata lamellata			(Riedel, 1910)	15998	0a	subspecies		accepted	18511	2015-04-29		
2548	63685		Myrianida				49054		genus		accepted	62578	2015-04-29		
1010	1915		Bembidion axillare occiduum			Marggi & Huber, 2001	16485	3a	subspecies		accepted	19077	2015-04-29		
1022	1929		Diabrotica virgifera virgifera		maiswortelkever	LeConte, 1858	17037	2c	subspecies		accepted	19658	2015-04-29		
1030	1938		Bledius dama jutlandensis			Herman, 1986	19286	0a	subspecies		accepted	22013	2015-04-29		
1039	1948		Aeshna juncea juncea		venglazenmaker	(Linnaeus, 1758)	20209	1a	subspecies		accepted	22940	2015-04-29		
1065	1974		Amaranthus hybridus hybridus		basterdamarant	L.	20628	2b	subspecies		accepted	23390	2015-04-29		
1083	1991		Spergularia media angustata		gerande schijnspurrie	(Clavaud) Kerguélen & Lambinon	20884	1a	subspecies		accepted	23639	2015-04-29		
1088	1995		Carex oederi oedocarpa		geelgroene zegge	(Andersson) Lange	20957	1a	subspecies		accepted	23709	2015-04-29		
1089	1996		Lotus corniculatus corniculatus		gewone rolklaver	L.	21017	1a	subspecies		accepted	23769	2015-04-29		
1098	2005		Ballota nigra foetida		stinkende ballote	(Vis.) Hayek	21117	1a	subspecies		accepted	23865	2015-04-29		
1102	2009		Plantago major intermedia		getande weegbree	(Gilib.) Lange	21220	1a	subspecies		accepted	23967	2015-04-29		
1118	2025		Salix cinerea oleifolia		rossige wilg	Macreight	21468	1a	subspecies		accepted	24208	2015-04-29		
1122	2029		Zannichellia palustris palustris		zittende zannichellia	L.	21548	1a	subspecies		accepted	24287	2015-04-29		
1130	2038		Caryocolum marmoreum marmoreum			(Haworth, 1828)	22047	0a	subspecies		accepted	24804	2015-04-29		
1139	2049		Gastropacha populifolia populifolia			(Denis & Schiffermüller, 1775)	22565	0a	subspecies		accepted	25319	2015-04-29		
1155	2065		Amphipyra berbera svenssoni			Fletcher, 1968	22731	0a	subspecies		accepted	25483	2015-04-29		
1180	2089		Deilephila elpenor elpenor			(Linnaeus, 1758)	23255	0a	subspecies		accepted	26001	2015-04-29		
1185	2094		Aturus scaber rotundus			Romijn, 1921	23855	1a	subspecies		accepted	26619	2015-04-29		
1196	2105		Piona conglobata coacta			(Koenike, 1895)	23974	1a	subspecies		accepted	26737	2015-04-29		
1233	2143		Viviparus viviparus viviparus			(Linnaeus, 1758)	25259	1a	subspecies		accepted	28165	2015-04-29		
1245	2155		Berytinus hirticornis hirticornis			(Brullé, 1836)	25957	0a	subspecies		accepted	28927	2015-04-29		
1252	2162		Paracorixa concinna concinna			(Fieber, 1848)	25999	0a	subspecies		accepted	28970	2015-04-29		
1272	2181		Capsodes gothicus gothicus			(Linnaeus, 1758)	26168	0a	subspecies		accepted	29143	2015-04-29		
1280	2191		Orthotylus ericetorum ericetorum			(Fallén, 1807)	26272	0a	subspecies		accepted	29252	2015-04-29		
1283	2194		Psallus betuleti betuleti			(Fallén, 1826)	26320	0a	subspecies		accepted	29306	2015-04-29		
1289	2201		Ilyocoris cimicoides cimicoides			(Linnaeus, 1758)	26367	0a	subspecies		accepted	29358	2015-04-29		
1296	2212		Corizus hyoscyami hyoscyami			(Linnaeus, 1758)	26425	0a	subspecies		accepted	29417	2015-04-29		
37165	50139		Agyrtes			Fröl., 1799	44434		genus		to determine	57613	2015-04-29		
1364	60473		Lepas anserifera			Linnaeus, 1767	48916		species		accepted	62828	2015-04-29		
