annex_code,scientific_name_original,gbif_scientificName,relation_to_annexspecies
bxl_2.2,Alle europese soorten Mammalia,Mammalia,not in annexspecies
bxl_2.2,Alle Europese soorten Aves,Aves,not in annexspecies
bxl_2.2,Alle Europese soorten Reptilia,Reptilia,not in annexspecies
bxl_2.2,Alle Europese soorten Amphibia,Amphibia,not in annexspecies
bxl_2.2,Acipenser naccarii,"Acipenser naccarii Bonaparte, 1836",not in annexspecies
bxl_2.2,Huso huso,"Huso huso (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Aphanius iberus,"Aphanius iberus (Valenciennes, 1846)",not in annexspecies
bxl_2.2,Valencia hispanica,"Valencia hispanica (Valenciennes, 1846)",not in annexspecies
bxl_2.2,Valencia leutoruneuxi,"Valencia letourneuxi (Sauvage, 1880)",not in annexspecies
bxl_2.2,Anaecypris hispanica,"Anaecypris hispanica (Steindachner, 1866)",not in annexspecies
bxl_2.2,Phoxinus percnurus,"Phoxinus percnurus (Pallas, 1814)",not in annexspecies
bxl_2.2,Umbra krameri,"Umbra krameri Walbaum, 1792",not in annexspecies
bxl_2.2,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Gymnocephalus baloni,"Gymnocephalus baloni Holcík & Hensel, 1974",not in annexspecies
bxl_2.2,Romanichtys valsanicola,"Romanichthys valsanicola Dumitrescu, Bănărescu & Stoica, 1957",not in annexspecies
bxl_2.2,Zingel asper,"Zingel asper (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Pomatoschistus canestrini,"Pomatoschistus canestrinii (Ninni, 1883)",not in annexspecies
bxl_2.2,Pomatoschistus tortonesi (Med. ),"Pomatoschistus tortonesei Miller, 1968",not in annexspecies
bxl_2.2,Lethenteron zanandrai,"Lethenteron zanandreai (Vladykov, 1955)",not in annexspecies
bxl_2.2,Mobula mobular,"Mobula mobular (Bonnaterre, 1788)",not in annexspecies
bxl_2.2,Bolbelasmus unicornis,"Bolbelasmus unicornis (Schrank, 1789)",not in annexspecies
bxl_2.2,Buprestis splendens,"Buprestis splendens Fabricius, 1775",not in annexspecies
bxl_2.2,Carabus bessarabicus,"Carabus bessarabicus Fischer Von Waldheim, 1823",not in annexspecies
bxl_2.2,Carabus hampei,"Carabus hampei Kuster, 1846",not in annexspecies
bxl_2.2,Carabus hungaricus,"Carabus hungaricus Fabricius, 1792",not in annexspecies
bxl_2.2,Carabus olympiae,"Carabus olympiae Sella, 1855",not in annexspecies
bxl_2.2,Carabus variolosus,"Carabus variolosus Fabricius, 1787",not in annexspecies
