annex_code,scientific_name_original,gbif_scientificName,relation_to_annexspecies
bxl_2.2,Carabus zawadszkii,"Carabus zawadzkii Kraatz, 1854",not in annexspecies
bxl_2.2,Cucujus cinnaberinus,"Cucujus cinnaberinus (Scopoli, 1763)",not in annexspecies
bxl_2.2,Dorcadion fulvum cervae,"Dorcadion fulvum cervae Breuning, 1962",not in annexspecies
bxl_2.2,Duvalius gebhardti,"Duvalius gebhardti (Bokor, 1926)",not in annexspecies
bxl_2.2,Duvalius hungaricus,"Duvalius hungaricus (Csiki, 1903)",not in annexspecies
bxl_2.2,Leptodirus hochenwarti,"Leptodirus hochenwarti Schmidt, 1832",not in annexspecies
bxl_2.2,Pilemia tigrina,"Pilemia tigrina Sama, 2003",not in annexspecies
bxl_2.2,Phryganophilus ruficollis,"Phryganophilus ruficollis (Fabricius, 1798)",not in annexspecies
bxl_2.2,Probaticus subrugosus,"Probaticus subrugosus (Duftschmidt, 1812)",not in annexspecies
bxl_2.2,Propomacrus cypriacus,"Propomacrus cypriacus Alexis & Makris, 2002",not in annexspecies
bxl_2.2,Pseudogaurotina excellens,"Pseudogaurotina excellens (Brancsik, 1874)",not in annexspecies
bxl_2.2,Pseudoseriscius cameroni,"Pseudoseriscius cameroni (Reitter, 1902)",not in annexspecies
bxl_2.2,Pytho kolwensis,"Pytho kolwensis Sahlberg, 1833",not in annexspecies
bxl_2.2,Rosalia alpina,"Rosalia alpina (Linné, 1758)",not in annexspecies
bxl_2.2,Apatura metis,"Apatura metis Freyer, 1829",not in annexspecies
bxl_2.2,Arytrura musculus,"Arytrura musculus (Menetries, 1859)",not in annexspecies
bxl_2.2,Chondrosoma fiduciarium,"Chondrosoma fiduciaria Anker, 1854",not in annexspecies
bxl_2.2,Coenonympha oedippus,"Coenonympha oedippus (Fabricius, 1787)",not in annexspecies
bxl_2.2,Colias myrmidone,"Colias myrmidone (Esper, 1781)",not in annexspecies
bxl_2.2,Cucullia mixta,"Cucullia mixta Freyer, 1841",not in annexspecies
bxl_2.2,Dioszeghyana schmidtii,"Dioszeghyana schmidti (Dioszeghy, 1935)",not in annexspecies
bxl_2.2,Erannis ankeraria,"Erannis ankeraria (Staudinger, 1861)",not in annexspecies
bxl_2.2,Erebia calcaria,"Erebia calcaria Lorkovic, 1953",not in annexspecies
bxl_2.2,Erebia christi,"Erebia christi Ratzer, 1890",not in annexspecies
bxl_2.2,Erebia sudetica,"Erebia sudetica Staudinger, 1861",not in annexspecies
bxl_2.2,Fabriciana elisa,"Fabriciana elisa (Godart, 1824)",not in annexspecies
bxl_2.2,Glyphipterix loricatella,"Glyphipterix loricatella (Treitschke, 1833)",not in annexspecies
bxl_2.2,Gortyna borelii lunata,"Gortyna borelii lunata Freyer, 1839",not in annexspecies
bxl_2.2,Hyles hippophaes,"Hyles hippophaes (Esper, 1789)",not in annexspecies
bxl_2.2,Hypodryas maturna,"Hypodryas maturna Linnaeus, 1761",not in annexspecies
bxl_2.2,Leptidea morsei,"Leptidea morsei (Fenton, 1882)",not in annexspecies
bxl_2.2,Lignyoptera fumidaria,"Lignyoptera fumidaria (Hubner, 1825)",not in annexspecies
bxl_2.2,Lycaena helle,"Lycaena helle (Denis & Schiffermuller, 1775)",not in annexspecies
bxl_2.2,Melanargia arge,"Melanargia arge (Sulzer, 1776)",not in annexspecies
bxl_2.2,Nymphalis vaualbum,"Nymphalis vaualbum (Denis & Schiffermuller, 1775)",not in annexspecies
bxl_2.2,Papilio alexanor,"Papilio alexanor Esper, 1800",not in annexspecies
bxl_2.2,Papilio hospiton,"Papilio hospiton Guenee, 1839",not in annexspecies
bxl_2.2,Parnassius mnemosyne,"Parnassius mnemosyne (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Phyllometra culminaria,"Phyllometra culminaria (Eversmann, 1843)",not in annexspecies
bxl_2.2,Plebicula golgus,"Plebicula golgus (Hübner, 1803/18)",not in annexspecies
bxl_2.2,Polymixis rufocincta isolata,"Polymixis rufocincta isolata L.Ronkay & Uherkovich, 1983",not in annexspecies
bxl_2.2,Polyommatus eroides,"Polyommatus eroides (Frivaldszky & I., 1835)",not in annexspecies
bxl_2.2,Polyommatus humedasae,"Polyommatus humedasae Toso & Balletto, 1976",not in annexspecies
bxl_2.2,Pseudophilotes bavius,"Pseudophilotes bavius (Eversmann, 1832)",not in annexspecies
bxl_2.2,Xylomoia strix,"Xylomoia strix Mikkola, 1980",not in annexspecies
bxl_2.2,Zerynthia polyxena,"Zerynthia polyxena (Denis & Schiffermuller, 1775)",not in annexspecies
bxl_2.2,Apteromantis aptera,"Apteromantis aptera Fuente, 1894",not in annexspecies
bxl_2.2,Brachythemis fuscopalliata,"Brachythemis fuscopalliata Selys, 1887",not in annexspecies
bxl_2.2,Calopteryx syriaca,"Calopteryx syriaca Rambur, 1842",not in annexspecies
bxl_2.2,Coenagrion freyi,"Coenagrion freyi Bilek, 1954",not in annexspecies
bxl_2.2,Cordulegaster heros,"Cordulegaster heros Theischinger, 1979",not in annexspecies
bxl_2.2,Cordulegaster trinacriae,"Cordulegaster trinacriae Waterston, 1976",not in annexspecies
bxl_2.2,Gomphus graslinii,"Gomphus graslinii Rambur, 1842",not in annexspecies
bxl_2.2,Lindenia tetraphylla,"Lindenia tetraphylla Vander Linden, 1825",not in annexspecies
bxl_2.2,Macromia splendens,"Macromia splendens Pictet, 1843",not in annexspecies
bxl_2.2,Stylurus flavipes,"Stylurus flavipes Charpentier, 1825",not in annexspecies
bxl_2.2,Baetica ustulata,"Baetica ustulata (Rambur, 1838)",not in annexspecies
bxl_2.2,Brachytrupes megacephalus,"Brachytrupes megacephalus (Lefebvre, 1827)",not in annexspecies
bxl_2.2,Isophya costata,"Isophya costata Brunner von Wattenwyl, 1878",not in annexspecies
bxl_2.2,Isophya harzi,"Isophya harzi Kis, 1960",not in annexspecies
bxl_2.2,Isophya stysi,"Isophya stysi Cejchan, 1957",not in annexspecies
bxl_2.2,Odontopodisma rubripes,"Odontopodisma rubripes (Ramme, 1931)",not in annexspecies
bxl_2.2,Paracaloptenus caloptenoides,"Paracaloptenus caloptenoides (Brunner von Wattenwyl, 1861)",not in annexspecies
bxl_2.2,Pholidoptera transsylvanica,"Pholidoptera transsylvanica (Fischer, 1853)",not in annexspecies
bxl_2.2,Saga pedo,"Saga pedo (Pallas, 1771)",not in annexspecies
bxl_2.2,Stenobothrus (Stenobothrodes) eurasius,"Stenobothrus eurasius Zubovski, 1898",not in annexspecies
bxl_2.2,Macrothele calpeiana,"Macrothele calpeiana (Walckenaer, 1805)",not in annexspecies
bxl_2.2,Ocypode cursor,"Ocypode cursor Linnaeus, 1758",not in annexspecies
bxl_2.2,Astroides calycularis,"Astroides calycularis (Pallas, 1766)",not in annexspecies
bxl_2.2,Gerardia savaglia,"Gerardia savaglia (Bertoloni, 1819)",not in annexspecies
bxl_2.2,Errina aspera,"Errina aspera (Linnaeus, 1767)",not in annexspecies
bxl_2.2,Asterina pancerii,"Asterina pancerii (Gasco, 1876)",not in annexspecies
bxl_2.2,Ophidiaster ophidianus,"Ophidiaster ophidianus (Lamarck, 1816)",not in annexspecies
bxl_2.2,Centrostephanus longispinus,"Centrostephanus longispinus (Philippi, 1845)",not in annexspecies
bxl_2.2,Aplysina cavernicola,"Aplysina cavernicola (Vacelet, 1959)",not in annexspecies
bxl_2.2,Asbestophluma hypogea,"Asbestopluma hypogea Vacelet & Boury-Esnault, 1996",not in annexspecies
bxl_2.2,Petrobiona massiliana (Med. ),"Petrobiona massiliana Vacelet & Lévi, 1958",not in annexspecies
bxl_2.2,Gibbula nivosa,"Gibbula nivosa A.Adams, 1853",not in annexspecies
bxl_2.2,Patella ferruginea,"Patella ferruginea Gmelin, 1791",not in annexspecies
bxl_2.2,Patella nigra,"Patella nigra da Costa, 1771",not in annexspecies
bxl_2.2,Charonia rubicunda,"Charonia rubicunda (Perry, 1811)",not in annexspecies
bxl_2.2,Charonia tritonis,"Charonia tritonis (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Dendropoma petraeum,"Dendropoma petraeum (Monterosato, 1884)",not in annexspecies
bxl_2.2,Erosaria spurca,"Erosaria spurca (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Luria lurida,"Luria lurida (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Mitra zonata,"Mitra zonata Marryat, 1819",not in annexspecies
bxl_2.2,Ranella olearia,"Ranella olearium (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Schilderia achatidea,"Schilderia achatidea (Gray, 1837)",not in annexspecies
bxl_2.2,Tonna galea,"Tonna galea (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Zonaria pyrum,"Zonaria pyrum (Gmelin, 1791)",not in annexspecies
bxl_2.2,Caseolus calculus,"Caseolus calculus (R.T.Lowe, 1855)",not in annexspecies
bxl_2.2,Caseolus commixta,"Caseolus commixtus (R.T.Lowe, 1855)",not in annexspecies
bxl_2.2,Caseolus sphaerula,"Caseolus sphaerulus (Lowe, 1852)",not in annexspecies
bxl_2.2,Discula leacockiana,"Discula leacockiana (Wollaston, 1878)",not in annexspecies
bxl_2.2,Discula tabellata,"Discula tabellata (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Discula testudinalis,"Discula testudinalis (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Discus guerinianus,"Discus guerinianus (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Elona quimperiana,"Elona quimperiana (Blainville, 1821)",not in annexspecies
bxl_2.2,Geomalacus maculosus,"Geomalacus maculosus Allman, 1843",not in annexspecies
bxl_2.2,Geomitra moniziana,"Geomitra moniziana (Paiva, 1867)",not in annexspecies
bxl_2.2,Helix subplicata,"Helix subplicata G.B.Sowerby I, 1824",not in annexspecies
bxl_2.2,Hygromia kovacsi,"Hygromia kovacsi Varga & L.Pinter, 1972",not in annexspecies
bxl_2.2,Idiomela (Helix) subplicata,"Idiomela subplicata (G.B.Sowerby I, 1824)",not in annexspecies
bxl_2.2,Lampedusa imitatrix,"Lampedusa imitatrix (O.Boettger, 1879)",not in annexspecies
bxl_2.2,Lampedusa melitensis,"Lampedusa melitensis (Caruana Gatto, 1892)",not in annexspecies
bxl_2.2,Leiostyla abbreviata,"Leiostyla abbreviata (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Leiostyla cassida,"Leiostyla cassida (R.T.Lowe, 1831)",not in annexspecies
bxl_2.2,Leiostyla corneocostata,"Leiostyla corneocostata (Wollaston, 1878)",not in annexspecies
bxl_2.2,Leiostyla gibba,"Leiostyla gibba (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Leiostyla lamellosa,"Leiostyla lamellosa (R.T.Lowe, 1852)",not in annexspecies
bxl_2.2,Sadleriana pannonica,Sadleriana pannonica,not in annexspecies
bxl_2.2,Theodoxus prevostianus,"Theodoxus prevostianus (C.Pfeiffer, 1828)",not in annexspecies
bxl_2.2,Theodoxus transversalis,"Theodoxus transversalis (Pfeiffer, 1828)",not in annexspecies
bxl_2.2,Lithophaga lithophaga,"Lithophaga lithophaga (Linnaeus, 1758)",not in annexspecies
bxl_2.2,Pinna nobilis,"Pinna nobilis Linnaeus, 1758",not in annexspecies
bxl_2.2,Pholas dactylus,"Pholas dactylus Linnaeus, 1758",not in annexspecies
bxl_2.2,Margaritifera auricularia,"Margaritifera auricularia (Spengler, 1793)",not in annexspecies
bxl_2.2,Congeria kusceri,"Congeria kusceri Bole, 1962",not in annexspecies
bxl_2.2,Asplenium adulterinum Milde,Asplenium adulterinum Milde,not in annexspecies
bxl_2.2,Asplenium hemionitis L.,Asplenium hemionitis L.,not in annexspecies
bxl_2.2,Asplenium jahandiezii (Litard.) Rouy,Asplenium jahandiezii Rouy,not in annexspecies
bxl_2.2,Woodwardia radicans (L.) Sm.,Woodwardia radicans (L.) Sm.,not in annexspecies
bxl_2.2,Culcita macrocarpa C. Presl,Culcita macrocarpa C.Presl,not in annexspecies
bxl_2.2,Diplazium sibiricum (Turez. ex Kunze) Kurata,Diplazium sibiricum (Turcz. ex Kunze) Sa.Kurata,not in annexspecies
bxl_2.2,Dryopteris corleyi Frase,Dryopteris corleyi Fraser-Jenk.,not in annexspecies
bxl_2.2,Trichomanes speciosum Willd.,Trichomanes speciosum Willd.,not in annexspecies
bxl_2.2,Isoetes boryana Durieu,Isoetes boryana Durieu,not in annexspecies
bxl_2.2,Isoetes malinverniana Ces. & De Not.,Isoetes malinverniana Cesati & De Not.,not in annexspecies
bxl_2.2,Marsilea batardae Launert,Marsilea batardae Launert,not in annexspecies
bxl_2.2,Marsilea quadrifolia L.,Marsilea quadrifolia L.,not in annexspecies
bxl_2.2,Marsilea strigosa Willd.,Marsilea strigosa Willd.,not in annexspecies
bxl_2.2,Pilularia minuta Durieu ex. Braun,Pilularia minuta Durieu & A.Br.,not in annexspecies
bxl_2.2,Botrychium multifidum (S. G. Gmelin) Rupr.,Botrychium multifidum (S.G.Gmel.) Rupr.,not in annexspecies
bxl_2.2,Botrychium simplex Hitche.,Botrychium simplex Hitchc.,not in annexspecies
bxl_2.2,Ophioglossum polyphyllum A. Braun,Ophioglossum polyphyllum A.Braun,not in annexspecies
bxl_2.2,Cryptogramma crispa (L.),Cryptogramma crispa (L.) R.Br. ex Hook.,not in annexspecies
bxl_2.2,Tetraclinis articulata (vahl) Masters,Tetraclinis articulata Mast.,not in annexspecies
bxl_2.2,Abies nebrodensis (Lojac.) Mattei,Abies nebrodensis Mattei,not in annexspecies
bxl_2.2,Dracaena draco (L.) L.,Dracaena draco L.,not in annexspecies
bxl_2.2,Alisma wahlenbergii (Holmberg) Juz.,Alisma wahlenbergii (Holmb.) Juz.,not in annexspecies
bxl_2.2,Caldesia parnassifolia (L.) Parl.,Caldesia parnassifolia (L.) Parl.,not in annexspecies
bxl_2.2,Narcissus angustifolius Curt.,Narcissus angustifolius Curtis,not in annexspecies
bxl_2.2,Narcissus asturiensis (Jordan) Pugsley,Narcissus asturiensis (Jord.) Pugsley,not in annexspecies
bxl_2.2,Narcissus calcicola Mendonga,Narcissus calcicola Mendonca,not in annexspecies
bxl_2.2,Narcissus cyclamineus DC.,Narcissus cyclamineus DC.,not in annexspecies
bxl_2.2,Narcissus fernandesi G.Pedro,Narcissus fernandesii Pedro,not in annexspecies
bxl_2.2,Narcissus humilis (Cav.) Traub,Narcissus humilis (Cav.) Traub,not in annexspecies
bxl_2.2,Narcissus longispathus Pugsley,Narcissus longispathus Degen & Hervier ex Pugsley,not in annexspecies
bxl_2.2,Narcissus nevadensis Pugsley,Narcissus nevadensis Pugsley,not in annexspecies
bxl_2.2,Narcissus pseudonarcissus L. subsp. nobilis (Haw.) A. Fernandez,Narcissus pseudonarcissus subsp. nobilis (Haw.) A.Fern.,not in annexspecies
bxl_2.2,Narcissus scaberulus Henriq.,Narcissus scaberulus Henriques,not in annexspecies
bxl_2.2,Narcissus triandrus L.,Narcissus triandrus L.,not in annexspecies
bxl_2.2,Narcissus triandrus L. subsp. capax (Salisb.) D. A. Webb.,Narcissus triandrus subsp. capax (Salisb.) D.A.Webb,not in annexspecies
bxl_2.2,Narcissus viridiflorus Schousboe,Narcissus viridiflorus Schousb.,not in annexspecies
bxl_2.2,Sternbergia candida B.Mathew & Baytop,Sternbergia candida B.Mathew & T.Baytop,not in annexspecies
bxl_2.2,Rhazya orientalis (decaisne) a.de.,Rhazya orientalis (Decne.) A.DC.,not in annexspecies
bxl_2.2,Arum purpureospathum Boyce,Arum purpureospathum P.C.Boyce,not in annexspecies
bxl_2.2,Aristolochia samsunensis Davis,Aristolochia samsunensis P.H.Davis,not in annexspecies
bxl_2.2,Vincetoxicum pannonicum (borhidi) holub,Vincetoxicum pannonicum (Borhidi) Holub,not in annexspecies
bxl_2.2,Arnica Montana L.,Arnica L.,not in annexspecies
bxl_2.2,Artemisia alba Turra,Artemisia alba Turra,not in annexspecies
bxl_2.2,Centaurea Montana L.,Centaurea L.,not in annexspecies
bxl_2.2,Helichrysum arenarium (L.),Helichrysum arenarium (L.) DC.,not in annexspecies
bxl_2.2,Berberis maderensis Lowe,Berberis maderensis Lowe,not in annexspecies
bxl_2.2,Alkanna pinardii Boiss.,Alkanna pinardii Boiss.,not in annexspecies
bxl_2.2,Anchusa crispa Viv.,Anchusa crispa Viviani,not in annexspecies
bxl_2.2,Lithodora nitida (H. Ern) R. Fernandes,Lithodora nitida (Ern) R.Fernandes,not in annexspecies
bxl_2.2,Myosotis lusitanica Schuster,Myosotis lusitanica Schuster,not in annexspecies
bxl_2.2,Myosotis praecox Hulphers,Myosotis praecox Hulphers,not in annexspecies
bxl_2.2,Myosotis retusifolia R. Afons,Myosotis retusifolia Rocha Afonso,not in annexspecies
bxl_2.2,Omphalodes littoralis Lehm.,Omphalodes littoralis Lehm.,not in annexspecies
bxl_2.2,Onosma halophilum Boiss. & Heldr.,Onosma halophilum Boiss. & Heldr.,not in annexspecies
bxl_2.2,Onosma proponticum Aznav.,Onosma proponticum Azn.,not in annexspecies
bxl_2.2,Onosma tornensis Javorka,Onosma tornensis Javorka,not in annexspecies
bxl_2.2,Onosma troodi Kotschy,Onosma troodi Kotschy,not in annexspecies
bxl_2.2,Solenanthus albanicus (Degen & al.) Degen & Baldacci,Solenanthus albanicus (Degen & Bald.) Degen & Bald.,not in annexspecies
bxl_2.2,Symphytum cycladense Pawl.,Symphytum cycladense Pawl.,not in annexspecies
bxl_2.2,Adenophora lilifolia (L.) Ledeb.,Adenophora lilifolia Ledeb.,not in annexspecies
bxl_2.2,Asyneuma giganteum (Boiss.) Bornm.,Asyneuma giganteum Bornm.,not in annexspecies
bxl_2.2,Campanula abietina Griseb. et Schenk.,Campanula abietina Griseb. & Schenk,not in annexspecies
bxl_2.2,Campanula bohemica Hruby,Campanula bohemica Hruby,not in annexspecies
bxl_2.2,Campanula damboldtiana Davis,Campanula damboldtiana P.H.Davis & Sorger,not in annexspecies
bxl_2.2,Campanula gelida Kovanda,Campanula gelida Kovanda,not in annexspecies
bxl_2.2,Campanula lanata Friv.,Campanula lanata Friv.,not in annexspecies
bxl_2.2,Campanula lycica Sorger & Kit Tan,Campanula lycica Kit Tan & Sorger,not in annexspecies
bxl_2.2,Campanula morettiana Reichenb.,Campanula morettiana Rchb.,not in annexspecies
bxl_2.2,Campanula romanica Savul.,Campanula romanica Savul.,not in annexspecies
bxl_2.2,Campanula sabatia De Not.,Campanula sabatia De Not.,not in annexspecies
bxl_2.2,Campanula serrata (Kit.) Hendrych,Campanula serrata (Kit. ex Schult.) Hendrych,not in annexspecies
bxl_2.2,Campanula zoysi Wulfen,Campanula zoysii Wulfen,not in annexspecies
bxl_2.2,Jasione crispa (Pourret) Samp. subsp. serpentinica Pinto da Silva,Jasione crispa subsp. serpentinica P.Silva,not in annexspecies
bxl_2.2,Jasione lusitanica A. DC.,Jasione lusitanica A.DC.,not in annexspecies
bxl_2.2,Physoplexis comosa (L.) Schur.,Physoplexis comosa Schur,not in annexspecies
bxl_2.2,Trachelium asperuloides Boiss. & Orph.,Trachelium asperuloides Boiss. & Orph.,not in annexspecies
bxl_2.2,Arenaria ciliata L. ssp. pseudofrigida Ostenf. & O.C. Dahl,Arenaria ciliata subsp. pseudofrigida Ostenfeld & Dahl,not in annexspecies
bxl_2.2,Arenaria humifusa Wahlenberg,Arenaria humifusa Wahlenb.,not in annexspecies
bxl_2.2,Arenaria nevadensis Boiss. & Reuter,Arenaria nevadensis Boiss.,not in annexspecies
bxl_2.2,Arenaria provincialis Chater & Halliday,Arenaria provincialis Chater & Hallid.,not in annexspecies
bxl_2.2,Dianthus arenarius L. subsp. Arenarius,Dianthus arenarius L.,not in annexspecies
bxl_2.2,Dianthus arenarius subsp. bohemicus (Novak) O.Schwarz,Dianthus arenarius subsp. bohemicus (Novák) O.Schwarz,not in annexspecies
bxl_2.2,Dianthus cintranus Boiss & Reuter subsp. cintranus Boiss. & Reuter,Dianthus cintranus subsp. cintranus,not in annexspecies
bxl_2.2,Dianthus diutinus Kit.,Dianthus diutinus Kit.,not in annexspecies
bxl_2.2,Dianthus hypanicus Andrz.,Dianthus hypanicus Andrz.,not in annexspecies
bxl_2.2,Dianthus marizii (Samp.) Samp.,Dianthus marizii Sampaio,not in annexspecies
bxl_2.2,Dianthus moravicus Kovanda,Dianthus moravicus M.Kovanda,not in annexspecies
bxl_2.2,Dianthus nitidus Waldst. et Kit.,Dianthus nitidus Waldst. & Kit.,not in annexspecies
bxl_2.2,Dianthus rupicola Biv.,Dianthus rupicola Biv.,not in annexspecies
bxl_2.2,Dianthus serotinus Waldst. et Kit.,Dianthus serotinus Waldst.,not in annexspecies
bxl_2.2,Dianthus urumoffii Stoj. et Acht.,Dianthus urumoffii Stoj. & Acht.,not in annexspecies
bxl_2.2,Gypsophila papillosa P. Porta,Gypsophila papillosa Porta,not in annexspecies
bxl_2.2,Herniaria algarvica Chaudri,Herniaria algarvica Chaudhri,not in annexspecies
bxl_2.2,Herniaria latifolia Lapeyr. subsp. litardierei gamis,Herniaria latifolia subsp. litardierei Gamisans,not in annexspecies
bxl_2.2,Herniaria lusitanica (Chaudhri) subsp. berlengiana Chaudhri,Herniaria lusitanica subsp. berlengiana Chaudhri,not in annexspecies
bxl_2.2,Herniaria maritima Link,Herniaria maritima Link,not in annexspecies
bxl_2.2,Lychnis viscaria L.,Lychnis viscaria L.,not in annexspecies
bxl_2.2,Minuartia smejkalii Dvorakova,Minuartia smejkalii M.Dvoráková,not in annexspecies
bxl_2.2,Moehringia fontqueri Pau,Moehringia fontqueri Pau,not in annexspecies
bxl_2.2,Moehringia hypanica Grynj. et Klok.,Moehringia hypanica Grin & Klokov,not in annexspecies
bxl_2.2,Moehringia jankae Griseb. ex Janka,Moehringia jankae Griseb. ex Janka,not in annexspecies
bxl_2.2,Moehringia lateriflora (L.) Fenzl.,Moehringia lateriflora Fenzl,not in annexspecies
bxl_2.2,Moehringia tommasini Marches.,Moehringia tommasinii Marches,not in annexspecies
bxl_2.2,Moehringia villosa (Wulfen) Fenzl,Moehringia villosa Fenzl,not in annexspecies
bxl_2.2,Petrocoptis grandiflora Rothm.,Petrocoptis grandiflora Rothm.,not in annexspecies
bxl_2.2,Petrocoptis montsicciana O. Bolos & Rivas Mart.,Petrocoptis montsicciana O.Bolós & Rivas Martinez,not in annexspecies
bxl_2.2,Petrocoptis pseudoviscosa Fernandez Casas,Petrocoptis pseudoviscosa Fernandez Casas,not in annexspecies
bxl_2.2,Saponaria halophila Hedge & Hub,Saponaria halophila Hedge & Hub.-Mor.,not in annexspecies
bxl_2.2,Silene cretacea Fisch. ex Spreng.,Silene cretacea Fisch. ex Spreng.,not in annexspecies
bxl_2.2,Silene furcata Rafin. spp. angustiflora (Rupr.) Walters,Silene furcata Raf.,not in annexspecies
bxl_2.2,Silene haussknechtii Heldr. ex Hausskn.,Silene haussknechtii Hausskn.,not in annexspecies
bxl_2.2,Silene hicesiae Brullo & Signorello,Silene hicesiae Brullo & P.Signorello,not in annexspecies
bxl_2.2,Silene hifacensis Rouy ex Willk.,Silene hifacensis Rouy ex Willk.,not in annexspecies
bxl_2.2,Silene longicilia (Brot.) Otth,Silene longicilia Otth,not in annexspecies
bxl_2.2,Silene mariana Pau,Silene mariana Pau,not in annexspecies
bxl_2.2,Silene orphanidis Boiss.,Silene orphanidis Boiss.,not in annexspecies
bxl_2.2,Silene pompeiopolitana Gay ex Boiss.,Silene pompeiopolitana J.Gay ex Boiss.,not in annexspecies
bxl_2.2,Silene rothmaleri Pinto da Silva,Silene rothmaleri P.Silva,not in annexspecies
bxl_2.2,Silene salsuginea Hub. Mor.,Silene salsuginea Hub.-Mor.,not in annexspecies
bxl_2.2,Silene sangaria Coode & Cullen,Silene sangaria Coode & Cullen,not in annexspecies
bxl_2.2,Silene velutina Pourret ex Loisel.,Silene velutina Pourr. ex Loisel.,not in annexspecies
bxl_2.2,Bassia (Kochia) saxicola (Guss.) A. J. Scott,Bassia saxicola (Guss.) A.J.Scott,not in annexspecies
bxl_2.2,Beta adanensis Pamuk. apud Aellen,Beta adanensis Pamuk.,not in annexspecies
bxl_2.2,Beta trojana Pamuk. apud Aellen,Beta trojana Pamuk.,not in annexspecies
bxl_2.2,Cremnophyton lanfrancoi Brullo et Pavone,Cremnophyton lanfrancoi S.Brullo & P.Pavone,not in annexspecies
bxl_2.2,Halimione pedunculata (L.) Aell.,Halimione pedunculata (L.) Aell.,not in annexspecies
bxl_2.2,Kalidiopsis wagenitzii Aellen,Kalidiopsis wagenitzii Aellen,not in annexspecies
bxl_2.2,Kochia saxicola Guss.,Kochia saxicola Guss.,not in annexspecies
bxl_2.2,Microcnemum coralloides (Loscos & Pardo) Font Quer subsp.anatolicum Wagenitz,Microcnemum coralloides subsp. anatolicum Wagenitz,not in annexspecies
bxl_2.2,Salicornia veneta Pignatti & Lausi,Salicornia veneta Pignatti & Lausi,not in annexspecies
bxl_2.2,Salsola anatolica Aellen,Salsola anatolica Aellen,not in annexspecies
bxl_2.2,Suaeda cucullata Aellen,Suaeda cucullata Aellen,not in annexspecies
bxl_2.2,Cistus palhinhae Ingram,Cistus palhinhae Ingram,not in annexspecies
