annex_code,annex_scientificName,gbif_scientificName,gbif_canonicalName,gbif_accepted_name,kingdom,phylum,order,family,genus
bxl_2.1,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",Animalia,Chordata,Chiroptera,Vespertilionidae,Barbastella
bxl_2.1,Myotis bechsteini,"Myotis bechsteinii (Kuhl, 1817)",Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.1,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.1,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.1,Myotis myotis,"Myotis myotis (Borkhausen, 1797)",Myotis myotis,"Myotis myotis (Borkhausen, 1797)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.1,Rhinolophus ferrumequinum,"Rhinolophus ferrumequinum (Schreber, 1774)",Rhinolophus ferrumequinum,"Rhinolophus ferrumequinum (Schreber, 1774)",Animalia,Chordata,Chiroptera,Rhinolophidae,Rhinolophus
bxl_2.1,Rhodeus sericeus amarus,"Rhodeus sericeus amarus (Bloch, 1782)",Rhodeus sericeus amarus,"Rhodeus amarus (Bloch, 1782)",Animalia,Chordata,Cypriniformes,Cyprinidae,Rhodeus
bxl_2.1,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Lucanidae,Lucanus
bxl_2.1,Vertigo angustior,"Vertigo angustior Jeffreys, 1830",Vertigo angustior,"Vertigo angustior Jeffreys, 1830",Animalia,Mollusca,Stylommatophora,Vertiginidae,Vertigo
bxl_2.1,Vertigo moulinsiana,"Vertigo moulinsiana (Dupuy, 1849)",Vertigo moulinsiana,"Vertigo moulinsiana (Dupuy, 1849)",Animalia,Mollusca,Stylommatophora,Vertiginidae,Vertigo
bxl_2.1,Mergus albellus,"Mergus albellus Linnaeus, 1758",Mergus albellus,"Mergellus albellus (Linnaeus, 1758)",Animalia,Chordata,Anseriformes,Anatidae,Mergellus
bxl_2.1,Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)",Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)",Animalia,Chordata,Accipitriformes,Accipitridae,Pernis
