annex_code,annex_scientificName,gbif_scientificName,gbif_canonicalName,gbif_accepted_name,kingdom,phylum,order,family,genus
bxl_2.1,Falco peregrinus,"Falco peregrinus, 1771",Falco peregrinus,"Falco peregrinus, 1771",Animalia,Chordata,Falconiformes,Falconidae,Falco
bxl_2.1,Caprimulgus europaeus,"Caprimulgus europaeus Linnaeus, 1758",Caprimulgus europaeus,"Caprimulgus europaeus Linnaeus, 1758",Animalia,Chordata,Caprimulgiformes,Caprimulgidae,Caprimulgus
bxl_2.1,Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)",Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)",Animalia,Chordata,Coraciiformes,Alcedinidae,Alcedo
bxl_2.1,Dryocopus martius,"Dryocopus martius (Linnaeus, 1758)",Dryocopus martius,"Dryocopus martius (Linnaeus, 1758)",Animalia,Chordata,Piciformes,Picidae,Dryocopus
bxl_2.1,Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)",Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)",Animalia,Chordata,Piciformes,Picidae,Dendrocopos
bxl_2.2,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",Animalia,Chordata,Chiroptera,Vespertilionidae,Barbastella
bxl_2.2,Eptesicus serotinus,"Eptesicus serotinus (Schreber, 1774)",Eptesicus serotinus,"Eptesicus serotinus (Schreber, 1774)",Animalia,Chordata,Chiroptera,Vespertilionidae,Eptesicus
bxl_2.2,Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis brandtii,"Myotis brandtii (Eversmann, 1845)",Myotis brandtii,"Myotis brandtii (Eversmann, 1845)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis daubentoni,"Myotis daubentonii (Kuhl, 1817)",Myotis daubentonii,"Myotis daubentonii (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis myotis,"Myotis myotis (Borkhausen, 1797)",Myotis myotis,"Myotis myotis (Borkhausen, 1797)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis mystacinus,"Myotis mystacinus (Kuhl, 1817)",Myotis mystacinus,"Myotis mystacinus (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Myotis nattereri,"Myotis nattereri (Kuhl, 1817)",Myotis nattereri,"Myotis nattereri (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Myotis
bxl_2.2,Nyctalus leisleri,"Nyctalus leisleri (Kuhl, 1817)",Nyctalus leisleri,"Nyctalus leisleri (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Vespertilionidae,Nyctalus
bxl_2.2,Nyctalus noctula,"Nyctalus noctula (Schreber, 1774)",Nyctalus noctula,"Nyctalus noctula (Schreber, 1774)",Animalia,Chordata,Chiroptera,Vespertilionidae,Nyctalus
bxl_2.2,Pipistrellus nathusii,"Pipistrellus nathusii (Keyserling & Blasius, 1839)",Pipistrellus nathusii,"Pipistrellus nathusii (Keyserling & Blasius, 1839)",Animalia,Chordata,Chiroptera,Vespertilionidae,Pipistrellus
bxl_2.2,Pipistrellus pipistrellus,"Pipistrellus pipistrellus (Schreber, 1774)",Pipistrellus pipistrellus,"Pipistrellus pipistrellus (Schreber, 1774)",Animalia,Chordata,Chiroptera,Vespertilionidae,Pipistrellus
bxl_2.2,Pipistrellus pygmaeus,"Pipistrellus pygmaeus (Leach, 1825)",Pipistrellus pygmaeus,"Pipistrellus pygmaeus (Leach, 1825)",Animalia,Chordata,Chiroptera,Vespertilionidae,Pipistrellus
bxl_2.2,Plecotus auritus,"Plecotus auritus (Linnaeus, 1758)",Plecotus auritus,"Plecotus auritus (Linnaeus, 1758)",Animalia,Chordata,Chiroptera,Vespertilionidae,Plecotus
bxl_2.2,Plecotus austriacus,"Plecotus austriacus (J.Fischer, 1829)",Plecotus austriacus,"Plecotus austriacus (J.Fischer, 1829)",Animalia,Chordata,Chiroptera,Vespertilionidae,Plecotus
bxl_2.2,Acipenser naccarii,"Acipenser naccarii Bonaparte, 1836",Acipenser naccarii,"Acipenser naccarii Bonaparte, 1836",Animalia,Chordata,Acipenseriformes,Acipenseridae,Acipenser
bxl_2.2,Acipenser sturio,"Acipenser sturio Linnaeus, 1758",Acipenser sturio,"Acipenser sturio Linnaeus, 1758",Animalia,Chordata,Acipenseriformes,Acipenseridae,Acipenser
bxl_2.2,Huso huso,"Huso huso (Linnaeus, 1758)",Huso huso,"Huso huso (Linnaeus, 1758)",Animalia,Chordata,Acipenseriformes,Acipenseridae,Huso
bxl_2.2,Aphanius iberus,"Aphanius iberus (Valenciennes, 1846)",Aphanius iberus,"Aphanius iberus (Valenciennes, 1846)",Animalia,Chordata,Cyprinodontiformes,Cyprinodontidae,Aphanius
bxl_2.2,Valencia hispanica,"Valencia hispanica (Valenciennes, 1846)",Valencia hispanica,"Valencia hispanica (Valenciennes, 1846)",Animalia,Chordata,Cyprinodontiformes,Valenciidae,Valencia
bxl_2.2,Valencia letourneuxi,"Valencia letourneuxi (Sauvage, 1880)",Valencia letourneuxi,"Valencia letourneuxi (Sauvage, 1880)",Animalia,Chordata,Cyprinodontiformes,Valenciidae,Valencia
bxl_2.2,Anaecypris hispanica,"Anaecypris hispanica (Steindachner, 1866)",Anaecypris hispanica,"Anaecypris hispanica (Steindachner, 1866)",Animalia,Chordata,Cypriniformes,Cyprinidae,Anaecypris
bxl_2.2,Phoxinus percnurus,"Phoxinus percnurus (Pallas, 1814)",Phoxinus percnurus,"Rhynchocypris percnurus (Pallas, 1814)",Animalia,Chordata,Cypriniformes,Cyprinidae,Rhynchocypris
bxl_2.2,Rhodeus sericeus amarus,"Rhodeus sericeus amarus (Bloch, 1782)",Rhodeus sericeus amarus,"Rhodeus amarus (Bloch, 1782)",Animalia,Chordata,Cypriniformes,Cyprinidae,Rhodeus
bxl_2.2,Umbra krameri,"Umbra krameri Walbaum, 1792",Umbra krameri,"Umbra krameri Walbaum, 1792",Animalia,Chordata,Esociformes,Umbridae,Umbra
bxl_2.2,Hippocampus hippocampus,"Hippocampus hippocampus (Linnaeus, 1758)",Hippocampus hippocampus,"Hippocampus hippocampus (Linnaeus, 1758)",Animalia,Chordata,Syngnathiformes,Syngnathidae,Hippocampus
bxl_2.2,Hippocampus ramulosus,"Hippocampus ramulosus Leach, 1814",Hippocampus ramulosus,"Hippocampus guttulatus Cuvier, 1829",Animalia,Chordata,Syngnathiformes,Syngnathidae,Hippocampus
bxl_2.2,Cetorhinus maximus,"Cetorhinus maximus (Gunnerus, 1765)",Cetorhinus maximus,"Cetorhinus maximus (Gunnerus, 1765)",Animalia,Chordata,Lamniformes,Cetorhinidae,Cetorhinus
bxl_2.2,Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",Carcharodon carcharias,"Carcharodon carcharias (Linnaeus, 1758)",Animalia,Chordata,Lamniformes,Lamnidae,Carcharodon
bxl_2.2,Gymnocephalus baloni,"Gymnocephalus baloni Holcík & Hensel, 1974",Gymnocephalus baloni,"Gymnocephalus baloni Holcík & Hensel, 1974",Animalia,Chordata,Perciformes,Percidae,Gymnocephalus
bxl_2.2,Romanichthys valsanicola,"Romanichthys valsanicola Dumitrescu, Bănărescu & Stoica, 1957",Romanichthys valsanicola,"Romanichthys valsanicola Dumitrescu, Bănărescu & Stoica, 1957",Animalia,Chordata,Perciformes,Percidae,Romanichthys
bxl_2.2,Zingel asper,"Zingel asper (Linnaeus, 1758)",Zingel asper,"Zingel asper (Linnaeus, 1758)",Animalia,Chordata,Perciformes,Percidae,Zingel
bxl_2.2,Pomatoschistus canestrini,"Pomatoschistus canestrinii (Ninni, 1883)",Pomatoschistus canestrinii,"Pomatoschistus canestrinii (Ninni, 1883)",Animalia,Chordata,Perciformes,Gobiidae,Pomatoschistus
bxl_2.2,Pomatoschistus tortonesi,"Pomatoschistus tortonesei Miller, 1968",Pomatoschistus tortonesei,"Pomatoschistus tortonesei Miller, 1968",Animalia,Chordata,Perciformes,Gobiidae,Pomatoschistus
bxl_2.2,Lethenteron zanandreai,"Lethenteron zanandreai (Vladykov, 1955)",Lethenteron zanandreai,"Lethenteron zanandreai (Vladykov, 1955)",Animalia,Chordata,Petromyzontiformes,Petromyzontidae,Lethenteron
bxl_2.2,Mobula mobular,"Mobula mobular (Bonnaterre, 1788)",Mobula mobular,"Mobula mobular (Bonnaterre, 1788)",Animalia,Chordata,Myliobatiformes,Myliobatidae,Mobula
bxl_2.2,Coregonus oxyrhynchus,"Coregonus oxyrinchus (Linnaeus, 1758)",Coregonus oxyrinchus,"Coregonus oxyrinchus (Linnaeus, 1758)",Animalia,Chordata,Salmoniformes,Salmonidae,Coregonus
bxl_2.2,Bolbelasmus unicornis,"Bolbelasmus unicornis (Schrank, 1789)",Bolbelasmus unicornis,"Bolbelasmus unicornis (Schrank, 1789)",Animalia,Arthropoda,Coleoptera,Bolboceratidae,Bolbelasmus
bxl_2.2,Buprestis splendens,"Buprestis splendens Fabricius, 1775",Buprestis splendens,"Buprestis splendens Fabricius, 1775",Animalia,Arthropoda,Coleoptera,Buprestidae,Buprestis
bxl_2.2,Carabus bessarabicus,"Carabus bessarabicus Fischer Von Waldheim, 1823",Carabus bessarabicus,"Carabus bessarabicus Fischer Von Waldheim, 1823",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Carabus hampei,"Carabus hampei Kuster, 1846",Carabus hampei,"Carabus hampei Kuster, 1846",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Carabus hungaricus,"Carabus hungaricus Fabricius, 1792",Carabus hungaricus,"Carabus hungaricus Fabricius, 1792",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Carabus olympiae,"Carabus olympiae Sella, 1855",Carabus olympiae,"Carabus olympiae Sella, 1855",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Carabus variolosus,"Carabus variolosus Fabricius, 1787",Carabus variolosus,"Carabus variolosus Fabricius, 1787",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Carabus zawadzkii,"Carabus zawadzkii Kraatz, 1854",Carabus zawadzkii,"Carabus zawadzkii Kraatz, 1854",Animalia,Arthropoda,Coleoptera,Carabidae,Carabus
bxl_2.2,Cerambyx cerdo,"Cerambyx cerdo Linnaeus, 1758",Cerambyx cerdo,"Cerambyx cerdo Linnaeus, 1758",Animalia,Arthropoda,Coleoptera,Cerambycidae,Cerambyx
bxl_2.2,Cucujus cinnaberinus,"Cucujus cinnaberinus (Scopoli, 1763)",Cucujus cinnaberinus,"Cucujus cinnaberinus (Scopoli, 1763)",Animalia,Arthropoda,Coleoptera,Cucujidae,Cucujus
bxl_2.2,Dorcadion fulvum cervae,"Dorcadion fulvum cervae Breuning, 1962",Dorcadion fulvum cervae,"Dorcadion cervae Frivaldszky, 1892",Animalia,Arthropoda,Coleoptera,Cerambycidae,Dorcadion
bxl_2.2,Duvalius gebhardti,"Duvalius gebhardti (Bokor, 1926)",Duvalius gebhardti,"Duvalius gebhardti (Bokor, 1926)",Animalia,Arthropoda,Coleoptera,Carabidae,Duvalius
bxl_2.2,Duvalius hungaricus,"Duvalius hungaricus (Csiki, 1903)",Duvalius hungaricus,"Duvalius hungaricus (Csiki, 1903)",Animalia,Arthropoda,Coleoptera,Carabidae,Duvalius
bxl_2.2,Dytiscus latissimus,"Dytiscus latissimus Linnaeus, 1758",Dytiscus latissimus,"Dytiscus latissimus Linnaeus, 1758",Animalia,Arthropoda,Coleoptera,Dytiscidae,Dytiscus
bxl_2.2,Graphoderus bilineatus,"Graphoderus bilineatus (De Geer, 1774)",Graphoderus bilineatus,"Graphoderus bilineatus (De Geer, 1774)",Animalia,Arthropoda,Coleoptera,Dytiscidae,Graphoderus
bxl_2.2,Leptodirus hochenwarti,"Leptodirus hochenwarti Schmidt, 1832",Leptodirus hochenwarti,"Leptodirus hochenwarti Schmidt, 1832",Animalia,Arthropoda,Coleoptera,Leiodidae,Leptodirus
bxl_2.2,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Lucanidae,Lucanus
bxl_2.2,Pilemia tigrina,"Pilemia tigrina Sama, 2003",Pilemia tigrina,"Phytoecia tigrina Mulsant, 1851",Animalia,Arthropoda,Coleoptera,Cerambycidae,Phytoecia
bxl_2.2,Osmoderma eremita,"Osmoderma eremita (Scopoli, 1763)",Osmoderma eremita,"Osmoderma eremita (Scopoli, 1763)",Animalia,Arthropoda,Coleoptera,Cetoniidae,Osmoderma
bxl_2.2,Phryganophilus ruficollis,"Phryganophilus ruficollis (Fabricius, 1798)",Phryganophilus ruficollis,"Phryganophilus ruficollis (Fabricius, 1798)",Animalia,Arthropoda,Coleoptera,Melandryidae,Phryganophilus
bxl_2.2,Probaticus subrugosus,"Probaticus subrugosus (Duftschmidt, 1812)",Probaticus subrugosus,"Probaticus subrugosus (Duftschmidt, 1812)",Animalia,Arthropoda,Coleoptera,Tenebrionidae,Probaticus
bxl_2.2,Propomacrus cypriacus,"Propomacrus cypriacus Alexis & Makris, 2002",Propomacrus cypriacus,"Propomacrus cypriacus Alexis & Makris, 2002",Animalia,Arthropoda,Coleoptera,Euchiridae,Propomacrus
bxl_2.2,Pseudogaurotina excellens,"Pseudogaurotina excellens (Brancsik, 1874)",Pseudogaurotina excellens,"Pseudogaurotina excellens (Brancsik, 1874)",Animalia,Arthropoda,Coleoptera,Cerambycidae,Pseudogaurotina
bxl_2.2,Pseudoseriscius cameroni,"Pseudoseriscius cameroni (Reitter, 1902)",Pseudoseriscius cameroni,"Pseudoseriscius cameroni (Reitter, 1902)",Animalia,Arthropoda,Coleoptera,Tenebrionidae,Pseudoseriscius
bxl_2.2,Pytho kolwensis,"Pytho kolwensis Sahlberg, 1833",Pytho kolwensis,"Pytho kolwensis Sahlberg, 1833",Animalia,Arthropoda,Coleoptera,Pythidae,Pytho
bxl_2.2,Rosalia alpina,"Rosalia alpina (Linné, 1758)",Rosalia alpina,"Rosalia alpina (Linné, 1758)",Animalia,Arthropoda,Coleoptera,Cerambycidae,Rosalia
bxl_2.2,Palingenia longicauda,"Palingenia longicauda (Olivier, 1791)",Palingenia longicauda,"Palingenia longicauda (Olivier, 1791)",Animalia,Arthropoda,Ephemeroptera,Palingeniidae,Palingenia
bxl_2.2,Apatura metis,"Apatura metis Freyer, 1829",Apatura metis,"Apatura metis Freyer, 1829",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Apatura
bxl_2.2,Arytrura musculus,"Arytrura musculus (Menetries, 1859)",Arytrura musculus,"Arytrura musculus (Menetries, 1859)",Animalia,Arthropoda,Lepidoptera,Erebidae,Arytrura
bxl_2.2,Chondrosoma fiduciarium,"Chondrosoma fiduciaria Anker, 1854",Chondrosoma fiduciaria,"Chondrosoma fiduciaria Anker, 1854",Animalia,Arthropoda,Lepidoptera,Geometridae,Chondrosoma
bxl_2.2,Coenonympha hero,"Coenonympha hero (Linnaeus, 1761)",Coenonympha hero,"Coenonympha hero (Linnaeus, 1761)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Coenonympha
bxl_2.2,Coenonympha oedippus,"Coenonympha oedippus (Fabricius, 1787)",Coenonympha oedippus,"Coenonympha oedippus (Fabricius, 1787)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Coenonympha
bxl_2.2,Colias myrmidone,"Colias myrmidone (Esper, 1781)",Colias myrmidone,"Colias myrmidone (Esper, 1781)",Animalia,Arthropoda,Lepidoptera,Pieridae,Colias
bxl_2.2,Cucullia mixta,"Cucullia mixta Freyer, 1841",Cucullia mixta,"Cucullia mixta Freyer, 1841",Animalia,Arthropoda,Lepidoptera,Noctuidae,Cucullia
bxl_2.2,Dioszeghyana schmidtii,"Dioszeghyana schmidti (Dioszeghy, 1935)",Dioszeghyana schmidti,"Dioszeghyana schmidti (Dioszeghy, 1935)",Animalia,Arthropoda,Lepidoptera,Noctuidae,Dioszeghyana
bxl_2.2,Erannis ankeraria,"Erannis ankeraria (Staudinger, 1861)",Erannis ankeraria,"Erannis ankeraria (Staudinger, 1861)",Animalia,Arthropoda,Lepidoptera,Geometridae,Erannis
bxl_2.2,Erebia calcaria,"Erebia calcaria Lorkovic, 1953",Erebia calcaria,"Erebia calcaria Lorkovic, 1953",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Erebia
bxl_2.2,Erebia christi,"Erebia christi Ratzer, 1890",Erebia christi,"Erebia christi Ratzer, 1890",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Erebia
bxl_2.2,Erebia sudetica,"Erebia sudetica Staudinger, 1861",Erebia sudetica,"Erebia sudetica Staudinger, 1861",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Erebia
bxl_2.2,Eriogaster catax,"Eriogaster catax (Linnaeus, 1758)",Eriogaster catax,"Eriogaster catax (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Lasiocampidae,Eriogaster
bxl_2.2,Euphydryas (Eurodryas) aurinia,"Euphydryas aurinia (Rottemburg, 1775)",Euphydryas aurinia,"Euphydryas aurinia (Rottemburg, 1775)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Euphydryas
bxl_2.2,Fabriciana elisa,"Fabriciana elisa (Godart, 1824)",Fabriciana elisa,"Argynnis elisa Godart, 1823",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Argynnis
bxl_2.2,Glyphipterix loricatella,"Glyphipterix loricatella (Treitschke, 1833)",Glyphipterix loricatella,"Glyphipterix loricatella (Treitschke, 1833)",Animalia,Arthropoda,Lepidoptera,Glyphipterigidae,Glyphipterix
bxl_2.2,Gortyna borelii lunata,"Gortyna borelii lunata Freyer, 1839",Gortyna borelii lunata,"Gortyna borelii lunata Freyer, 1839",Animalia,Arthropoda,Lepidoptera,Noctuidae,Gortyna
bxl_2.2,Hyles hippophaes,"Hyles hippophaes (Esper, 1789)",Hyles hippophaes,"Hyles hippophaes (Esper, 1789)",Animalia,Arthropoda,Lepidoptera,Sphingidae,Hyles
bxl_2.2,Hypodryas maturna,"Hypodryas maturna Linnaeus, 1761",Hypodryas maturna,"Hypodryas maturna Linnaeus, 1761",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Euphydryas
bxl_2.2,Leptidea morsei,"Leptidea morsei (Fenton, 1882)",Leptidea morsei,"Leptidea morsei (Fenton, 1882)",Animalia,Arthropoda,Lepidoptera,Pieridae,Leptidea
bxl_2.2,Lignyoptera fumidaria,"Lignyoptera fumidaria (Hubner, 1825)",Lignyoptera fumidaria,"Lignyoptera fumidaria (Hubner, 1825)",Animalia,Arthropoda,Lepidoptera,Geometridae,Lignyoptera
bxl_2.2,Lopinga achine,"Lopinga achine (Scopoli, 1763)",Lopinga achine,"Lopinga achine (Scopoli, 1763)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Lopinga
bxl_2.2,Lycaena helle,"Lycaena helle (Denis & Schiffermuller, 1775)",Lycaena helle,"Lycaena helle (Denis & Schiffermuller, 1775)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Lycaena
bxl_2.2,Maculinea arion,"Maculinea arion (Linnaeus, 1758)",Maculinea arion,"Phengaris arion (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Phengaris
bxl_2.2,Maculinea nausithous,"Maculinea nausithous (Bergsträsser, 1779)",Maculinea nausithous,"Phengaris nausithous (Bergstrasser, 1779)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Phengaris
bxl_2.2,Maculinea teleius,"Maculinea teleius (Bergsträsser, 1779)",Maculinea teleius,"Phengaris teleius (Bergstrasser, 1779)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Phengaris
bxl_2.2,Melanargia arge,"Melanargia arge (Sulzer, 1776)",Melanargia arge,"Melanargia arge (Sulzer, 1776)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Melanargia
bxl_2.2,Nymphalis vaualbum,"Nymphalis vaualbum (Denis & Schiffermuller, 1775)",Nymphalis vaualbum,"Nymphalis vaualbum (Denis & Schiffermuller, 1775)",Animalia,Arthropoda,Lepidoptera,Nymphalidae,Nymphalis
bxl_2.2,Papilio alexanor,"Papilio alexanor Esper, 1800",Papilio alexanor,"Papilio alexanor Esper, 1800",Animalia,Arthropoda,Lepidoptera,Papilionidae,Papilio
bxl_2.2,Papilio hospiton,"Papilio hospiton Guenee, 1839",Papilio hospiton,"Papilio hospiton Guenee, 1839",Animalia,Arthropoda,Lepidoptera,Papilionidae,Papilio
bxl_2.2,Parnassius apollo,"Parnassius apollo (Linnaeus, 1758)",Parnassius apollo,"Parnassius apollo (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Papilionidae,Parnassius
bxl_2.2,Parnassius mnemosyne,"Parnassius mnemosyne (Linnaeus, 1758)",Parnassius mnemosyne,"Parnassius mnemosyne (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Papilionidae,Parnassius
bxl_2.2,Phyllometra culminaria,"Phyllometra culminaria (Eversmann, 1843)",Phyllometra culminaria,"Phyllometra culminaria (Eversmann, 1843)",Animalia,Arthropoda,Lepidoptera,Geometridae,Phyllometra
bxl_2.2,Plebicula golgus,"Plebicula golgus (Hübner, 1803/18)",Plebicula golgus,"Polyommatus golgus (Hubner, 1813)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Polyommatus
bxl_2.2,Polymixis rufocincta isolata,"Polymixis rufocincta isolata L.Ronkay & Uherkovich, 1983",Polymixis rufocincta isolata,"Polymixis rufocincta isolata L.Ronkay & Uherkovich, 1983",Animalia,Arthropoda,Lepidoptera,Noctuidae,Polymixis
bxl_2.2,Polyommatus eroides,"Polyommatus eroides (Frivaldszky & I., 1835)",Polyommatus eroides,"Polyommatus eros eroides (Frivaldszky, 1835)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Polyommatus
bxl_2.2,Polyommatus humedasae,"Polyommatus humedasae Toso & Balletto, 1976",Polyommatus humedasae,"Polyommatus humedasae Toso & Balletto, 1976",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Polyommatus
bxl_2.2,Proserpinus proserpina,"Proserpinus proserpina (Pallas, 1772)",Proserpinus proserpina,"Proserpinus proserpina (Pallas, 1772)",Animalia,Arthropoda,Lepidoptera,Sphingidae,Proserpinus
bxl_2.2,Pseudophilotes bavius,"Pseudophilotes bavius (Eversmann, 1832)",Pseudophilotes bavius,"Pseudophilotes bavius (Eversmann, 1832)",Animalia,Arthropoda,Lepidoptera,Lycaenidae,Pseudophilotes
bxl_2.2,Xylomoia strix,"Xylomoia strix Mikkola, 1980",Xylomoia strix,"Xylomoia strix Mikkola, 1980",Animalia,Arthropoda,Lepidoptera,Noctuidae,Xylomoia
bxl_2.2,Zerynthia polyxena,"Zerynthia polyxena (Denis & Schiffermuller, 1775)",Zerynthia polyxena,"Zerynthia polyxena (Denis & Schiffermuller, 1775)",Animalia,Arthropoda,Lepidoptera,Papilionidae,Zerynthia
bxl_2.2,Apteromantis aptera,"Apteromantis aptera Fuente, 1894",Apteromantis aptera,"Apteromantis aptera Fuente, 1894",Animalia,Arthropoda,Mantodea,Mantidae,Apteromantis
bxl_2.2,Aeshna viridis,"Aeshna viridis Eversmann, 1836",Aeshna viridis,"Aeshna viridis Eversmann, 1836",Animalia,Arthropoda,Odonata,Aeshnidae,Aeshna
bxl_2.2,Brachythemis fuscopalliata,"Brachythemis fuscopalliata Selys, 1887",Brachythemis fuscopalliata,"Brachythemis fuscopalliata Selys, 1887",Animalia,Arthropoda,Odonata,Libellulidae,Brachythemis
bxl_2.2,Calopteryx syriaca,"Calopteryx syriaca Rambur, 1842",Calopteryx syriaca,"Calopteryx syriaca Rambur, 1842",Animalia,Arthropoda,Odonata,Calopterygidae,Calopteryx
bxl_2.2,Coenagrion freyi,"Coenagrion freyi Bilek, 1954",Coenagrion freyi,"Coenagrion hylas Trybom, 1889",Animalia,Arthropoda,Odonata,Coenagrionidae,Coenagrion
bxl_2.2,Coenagrion mercuriale,"Coenagrion mercuriale Charpentier, 1840",Coenagrion mercuriale,"Coenagrion mercuriale Charpentier, 1840",Animalia,Arthropoda,Odonata,Coenagrionidae,Coenagrion
