id	speciesbeid	colid	acceptedname	vernacularnamefr	vernacularnamenl	scientificnameauthorship	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author
6	41		Amanita excelsa form. excelsa				26780	1a	forma		accepted	30138	2015-04-29		
25	101		Cystoderma amianthinum form. rugosoreticulatum			(F. Lorinser) A.H. Sm. & Singer	4191	1a	forma		accepted	5219	2015-04-29		
47	127		Entoloma sericatum form. saliciphilum			Noordel.	28794	1a	forma		accepted	34588	2015-04-29		
56	175		Hygrophoropsis aurantiaca form. albida			(Gillet)	4512	1a	forma		accepted	5581	2015-04-29		
62	182		Hygrocybe conica form. conica				29642	1a	forma		accepted	36782	2015-04-29		
77	208		Melanoleuca polioleuca form. langei			Boekhout	30345	1a	forma		accepted	38169	2015-04-29		
111	287		Psathyrella microrrhiza form. pumila			Kits van Wav.	31968	1a	forma		accepted	42489	2015-04-29		
124	301		Psathyrella spadiceogrisea form. phaeophylla			Kits van Wav.	31983	1a	forma		accepted	42505	2015-04-29		
136	315		Russula romellii form. alba			Marchand ex Bon	5345	1a	forma		accepted	6411	2015-04-29		
149	347		Tulostoma brumale form. heterosporum			nom. prov.	33442	1a	forma		accepted	45957	2015-04-29		
266	512		Bolbitius vitellinus var. fragilis			(L.) J. Favre	27122	1a	variety		accepted	30851	2015-04-29		
318	639		Cortinarius glaucopus var. glaucopus				27889	1a	variety		accepted	33055	2015-04-29		
322	643		Cortinarius hinnuleus var. robustus			Rob. Henry	27895	1a	variety		accepted	33061	2015-04-29		
358	704		Daedaleopsis confragosa var. confragosa				28270	1a	variety		accepted	33813	2015-04-29		
360	706		Daedaleopsis confragosa var. tricolor		roodplaathoutzwam	(Bull.) Bondartsev, 1953	28270	1a	variety		accepted	33813	2015-04-29		
436	889		Galerina cerina var. ampullicystis			A.H. Sm. & Singer	29090	1a	variety		accepted	35329	2015-04-29		
437	890		Galerina cerina var. bresadolae			A.H. Sm. & Singer	29090	1a	variety		accepted	35329	2015-04-29		
448	913		Glomerella cingulata var. cingulata				29189	1a	variety		teleomorph	35560	2015-04-29		
478	970		Hymenogaster luteus var. luteus				5022	1a	variety		accepted	6091	2015-04-29		
541	1051		Lachnum fuscescens var. fagicola			(W. Phillips)	29793	1a	variety		accepted	37119	2015-04-29		
575	1098		Lophodermium arundinaceum var. abbreviatum			Roberge & Desm.	30138	1a	variety		accepted	37746	2015-04-29		
595	1132		Microsphaera ornata var. europaea			U. Braun	30372	1a	variety		accepted	38211	2015-04-29		
605	1146		Mollisia rosae var. rosae				30449	1a	variety		accepted	38458	2015-04-29		
619	1184		Mycena pelliculosa var. fuscopurpurea			Arnolds	5215	1a	variety		accepted	6281	2015-04-29		
626	1203		Nectria mammoidea var. rubi			(Osterw.) Weese	30674	1a	variety		teleomorph	39001	2015-04-29		
629	1209		Neosartorya fischeri var. glabra			(Fennell & Raper) Malloch & Cain	30685	1a	variety		accepted	39041	2015-04-29		
701	1351		Pleospora herbarum var. herbarum				31794	1a	variety		teleomorph	41303	2015-04-29		
718	1410		Psathyrella badiophylla var. badiophylla				3198	1a	variety		accepted	4235	2015-04-29		
729	1421		Psathyrella umbrina var. utriformis			Kits van Wav.	3146	1a	variety		accepted	4184	2015-04-29		
748	1485		Russula anthracina var. carneifolia			Romagn.	5387	1a	variety		accepted	6452	2015-04-29		
757	1494		Russula grisea var. iodes			Romagn.	32461	1a	variety		accepted	43349	2015-04-29		
816	1680		Trichia decipiens var. decipiens				33372	1a	variety		accepted	45848	2015-04-29		
822	1686		Tricholoma atrosquamosum var. atrosquamosum				5441	1a	variety		accepted	6506	2015-04-29		
823	1687		Tricholoma atrosquamosum var. squarrulosum			(Bres.) Kühner	5441	1a	variety		accepted	6506	2015-04-29		
849	1729		Wilcoxina mikolae var. mikolae				33715	1a	variety		accepted	46531	2015-04-29		
1108	2015		Puccinellia distans distans		stomp kweldergras	(L.) Parl.	21308	1a	subspecies		accepted	24053	2015-04-29		
1314	2298		Pezicula frangulae frangulae				31010	1a	subspecies		teleomorph	39902	2015-04-29		
1322	2368		Alytes obstetricans	alyte accoucheur	vroedmeesterpad	Laurenti, 1768	37141	1a	species		accepted	50115	2015-04-29		
