acceptedname	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	scientificnameauthorship	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom
Agonum emarginatum	16405	18998				(Gyllenhal, 1827)	37275	1a	species		accepted	50250	2015-04-29			45974	Animalia
Agonum emarginatum	51280					(Gyllenhal, 1827)			species		accepted		2017-02-15				
Alona	51268					Baird, 1843			genus		accepted		2016-07-06				
Alona	51274					Baird, 1843			genus		accepted		2016-07-06				
Amanita excelsa	26780	30138			grauwe amaniet	(Fr.:Fr.) Bertill.	41810	1a	species		accepted	54824	2015-04-29			3902	Fungi
Amanita excelsa	51486					Bertill., 1866 (Fr.)			species		accepted		2017-02-21				
Amanita excelsa	51819					Bertill., 1866 (Fr.)			species		accepted		2018-10-26				
Anas clypeata	3521	4556		canard souchet	slobeend	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas clypeata	51681					Linnaeus, 1758			species		accepted		2018-08-22				
Anas penelope	3510	4545		canard siffleur	smient	Linnaeus, 1758	40315	1b	species		accepted	53312	2015-04-29			45974	Animalia
Anas penelope	51689					Linnaeus, 1758			species		accepted		2018-08-22				
Anas querquedula	3512	4547		sarcelle d'été	zomertaling	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas querquedula	51699					Linnaeus, 1758			species		accepted		2018-08-27				
Anas sibilatrix	51683					Poeppig, 1829			species		accepted		2018-08-22				
Anas sibilatrix	50153		urn:lsid:catalogueoflife.org:taxon:eff337a6-29c1-102b-9a4a-00304854f820			Poeppig, 1829			species		accepted		2015-04-29				
Anas strepera	3513	4548		canard chipeau	krakeend	Linnaeus, 1758	40315	1a	species		accepted	53312	2015-04-29			45974	Animalia
Anas strepera	51682					Linnaeus, 1758			species		accepted		2018-08-22				
Anchusa arvensis	20772	23529		lycopside	kromhals	(L.) M.Bieb.	38850	1a	species		accepted	51842	2015-04-29			45975	Plantae
Anchusa arvensis	51554					M. Bieb. (L.)			species		accepted		2017-02-22				
Anoplotrupes stercorosus	18127	20824				(Scriba, 1791)	37798	0a	species		accepted	50782	2015-04-29			45974	Animalia
Anoplotrupes stercorosus	51697					(Scriba, 1791)			species		accepted		2018-08-27				
Arrhenatherum elatius	21239	23986		fromentin	glanshaver	(L.) J.Presl & C.Presl	39147	1a	species		accepted	52140	2015-04-29			45975	Plantae
Arrhenatherum elatius	51800					J.Presl & C.Presl (L.)			species		accepted		2018-09-13				
Aulacaspis	34645	47617				Cockerell, 1893	44251		genus		to determine	57430	2015-04-29			45974	Animalia
Aulacaspis	44251	57430					45616		family		to determine	58794	2015-04-29			45974	Animalia
Bombus	34306	47278			hommels	Latreille, 1802	44149		genus		to determine	57328	2015-04-29			45974	Animalia
Bombus	51039					Latreille, 1802			genus		accepted		2015-12-16				
Bromus madritensis	51429					L.			species		accepted		2017-02-21				
Bromus madritensis	51502					L.			species		accepted		2017-02-21				
Cardamine flexuosa	20801	23557		cardamine des bois	bosveldkers	With.	38872	1a	species		accepted	51864	2015-04-29			45975	Plantae
Cardamine flexuosa	51616					With.			species		accepted		2017-03-13				
Carduelis flammea	3484	4519		sizerin flammé	barmsijs	(Linnaeus, 1758)	40371	1a	species		accepted	53367	2015-04-29			45974	Animalia
Carduelis flammea	50980					(Linnaeus, 1758)			species		accepted		2015-12-16				
Cerastium fontanum vulgare	1079	1987			gewone hoornbloem	(Hartm.) Greuter & Burdet	20863	1a	subspecies		accepted	23618	2015-04-29			45975	Plantae
Cerastium fontanum vulgare	51803					Greuter & Burdet (Hartm.)			subspecies		accepted		2018-09-13				
Ceriodaphnia	51263					Dana, 1853			genus		accepted		2016-07-06				
Ceriodaphnia	51269					Dana, 1853			genus		accepted		2016-07-06				
Clitocybe gibba	27588	32387			slanke trechterzwam	(Pers.:Fr.) P. Kumm.	42169	1a	species		accepted	55194	2015-04-29			3902	Fungi
Clitocybe gibba	51823					P.Kumm. (Pers.)			species		accepted		2018-10-26				
Codium fragile	24679	27503			viltwier	(Suringar) Hariot	40785	2a	species		accepted	53781	2015-04-29				
Codium fragile	24680	27504				(Van Goor) P.C. Silva	40785	2a	species		accepted	53781	2015-04-29				
Colurella uncinata uncinata	46613	59901				(Müller, 1773)	46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
Colurella uncinata uncinata	46614	59902				(Müller 1773)	46610		subspecies		accepted	59898	2015-04-29			45974	Animalia
Crataegus laevigata	21410	24152		aubépine à deux styles	tweestijlige meidoorn	(Poir.) DC.	39242	1a	species		accepted	52235	2015-04-29			45975	Plantae
