taxonid,annexcode,acceptedname,gbif_scientificName,gbif_accepted_name,gbif_kingdom,gbif_phylum,gbif_order,gbif_class,gbif_family,gbif_genus
852,BXL-ORD-2012_Annex II.2,Natrix natrix helvetica,"Natrix natrix helvetica (Lacépède, 1789)","Natrix natrix helvetica (Lacépède, 1789)",Animalia,Chordata,Squamata,Reptilia,Natricidae,Natrix
853,BXL-ORD-2012_Annex II.2,Salamandra salamandra terrestris,"Salamandra salamandra terrestris Lacépède, 1788","Salamandra salamandra terrestris Lacépède, 1788",Animalia,Chordata,Caudata,Amphibia,Salamandridae,Salamandra
869,BXL-ORD-2012_Annex II.2,Turdus naumanni eunomus,"Turdus naumanni eunomus Temminck, 1831","Turdus eunomus Temminck, 1831",Animalia,Chordata,Passeriformes,Aves,Muscicapidae,Turdus
870,BXL-ORD-2012_Annex II.2,Turdus ruficollis atrogularis,"Turdus ruficollis atrogularis Jarocki, 1819","Turdus atrogularis Jarocki, 1819",Animalia,Chordata,Passeriformes,Aves,Muscicapidae,Turdus
884,BXL-ORD-2012_Annex II.2,Dactylorhiza majalis praetermissa,Dactylorhiza majalis subsp. praetermissa (Druce) D.M.Moore & Soó,Dactylorhiza praetermissa (Druce) Soó,Plantae,Tracheophyta,Asparagales,Liliopsida,Orchidaceae,Dactylorhiza
1007,BXL-ORD-2012_Annex II.2,Trachemys scripta elegans,"Trachemys scripta elegans (Wied, 1838)","Trachemys scripta elegans (Wied, 1838)",Animalia,Chordata,Testudines,Reptilia,Emydidae,Trachemys
1101,BXL-ORD-2012_Annex II.2,Dactylorhiza majalis majalis,Dactylorhiza majalis subsp. majalis,Dactylorhiza majalis subsp. majalis,Plantae,Tracheophyta,Asparagales,Liliopsida,Orchidaceae,Dactylorhiza
1184,BXL-ORD-2012_Annex II.2,Branta hutchinsii hutchinsii,Branta hutchinsii hutchinsii,Branta hutchinsii hutchinsii,Animalia,Chordata,Anseriformes,Aves,Anatidae,Branta
1322,BXL-ORD-2012_Annex II.2,Alytes obstetricans,"Alytes obstetricans (Laurenti, 1768)","Alytes obstetricans (Laurenti, 1768)",Animalia,Chordata,Anura,Amphibia,Alytidae,Alytes
1323,BXL-ORD-2012_Annex II.2,Bombina variegata,"Bombina variegata (Linnaeus, 1758)","Bombina variegata (Linnaeus, 1758)",Animalia,Chordata,Anura,Amphibia,Bombinatoridae,Bombina
