annex_code,scientific_name_original,gbif_scientificName,relation_to_annexspecies
bxl_2.1,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",match with annexspecies
bxl_2.1,Myotis bechsteini,"Myotis bechsteinii (Kuhl, 1817)",match with annexspecies
bxl_2.1,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)",match with annexspecies
bxl_2.1,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)",match with annexspecies
bxl_2.1,Myotis Myotis,"Myotis myotis (Borkhausen, 1797)",match with annexspecies
bxl_2.1,Rhinolophus ferrumequinum,"Rhinolophus ferrumequinum (Schreber, 1774)",match with annexspecies
bxl_2.1,Rhodeus sericeus amarus,"Rhodeus sericeus amarus (Bloch, 1782)",match with annexspecies
bxl_2.1,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)",match with annexspecies
bxl_2.1,Vertigo angustior,"Vertigo angustior Jeffreys, 1830",match with annexspecies
bxl_2.1,Vertigo moulinsiana,"Vertigo moulinsiana (Dupuy, 1849)",match with annexspecies
bxl_2.1,Mergus albellus,"Mergus albellus Linnaeus, 1758",match with annexspecies
bxl_2.1,Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)",match with annexspecies
bxl_2.1,Falco peregrinus,"Falco peregrinus, 1771",match with annexspecies
bxl_2.1,Caprimulgus europacus,"Caprimulgus europaeus Linnaeus, 1758",match with annexspecies
bxl_2.1,Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)",match with annexspecies
bxl_2.1,Dendrocopos martius,"Dryocopus martius (Linnaeus, 1758)",match with annexspecies
bxl_2.1,Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)",match with annexspecies
bxl_2.2,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)",match with annexspecies
bxl_2.2,Eptesicus serotinus,"Eptesicus serotinus (Schreber, 1774)",match with annexspecies
bxl_2.2,Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)",match with annexspecies
bxl_2.2,Myotis brandtii,"Myotis brandtii (Eversmann, 1845)",match with annexspecies
