id	speciesbeid	colid	acceptedname	vernacularnamefr	vernacularnamenl	scientificnameauthorship	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	n_occs	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	remark	corrected
34327	47299		Steno				44166		genus		to determine	57345	2015-04-29				45974	Animalia	Steno	genus		FALSE
40952	53950		Pusa				44161		genus		to determine	57340	2015-04-29				45974	Animalia	Pusa	genus		FALSE
6	41		Amanita excelsa form. excelsa				26780	1a	forma		accepted	30138	2015-04-29				3902	Fungi	Amanita excelsa form. excelsa	form		FALSE
25	101		Cystoderma amianthinum form. rugosoreticulatum			(F. Lorinser) A.H. Sm. & Singer	4191	1a	forma		accepted	5219	2015-04-29				3902	Fungi	Cystoderma amianthinum form. rugosoreticulatum (F. Lorinser) A.H. Sm. & Singer	form		FALSE
47	127		Entoloma sericatum form. saliciphilum			Noordel.	28794	1a	forma		accepted	34588	2015-04-29				3902	Fungi	Entoloma sericatum form. saliciphilum Noordel.	form		FALSE
56	175		Hygrophoropsis aurantiaca form. albida			(Gillet)	4512	1a	forma		accepted	5581	2015-04-29				3902	Fungi	Hygrophoropsis aurantiaca form. albida (Gillet)	form		FALSE
62	182		Hygrocybe conica form. conica				29642	1a	forma		accepted	36782	2015-04-29				3902	Fungi	Hygrocybe conica form. conica	form		FALSE
77	208		Melanoleuca polioleuca form. langei			Boekhout	30345	1a	forma		accepted	38169	2015-04-29				3902	Fungi	Melanoleuca polioleuca form. langei Boekhout	form		FALSE
111	287		Psathyrella microrhiza f. pumila			Kits van Wav.	31968	1a	forma		accepted	42489	2015-04-29				3902	Fungi	Psathyrella microrrhiza form. pumila Kits van Wav.	form		TRUE
124	301		Psathyrella spadiceogrisea form. phaeophylla			Kits van Wav.	31983	1a	forma		accepted	42505	2015-04-29				3902	Fungi	Psathyrella spadiceogrisea form. phaeophylla Kits van Wav.	form		FALSE
136	315		Russula romellii form. alba			Marchand ex Bon	5345	1a	forma		accepted	6411	2015-04-29				3902	Fungi	Russula romellii form. alba Marchand ex Bon	form		FALSE
144	58841		Rajiformes				45927		order		to determine	59118	2015-04-29				45974	Animalia	Rajiformes	order		FALSE
149	347		Tulostoma brumale form. heterosporum			nom. prov.	33442	1a	forma		accepted	45957	2015-04-29				3902	Fungi	Tulostoma brumale form. heterosporum nom. prov.	form		FALSE
266	512		Bolbitius vitellinus var. fragilis			(L.) J. Favre	27122	1a	variety		accepted	30851	2015-04-29				3902	Fungi	Bolbitius vitellinus var. fragilis (L.) J. Favre	variety		FALSE
318	639		Cortinarius glaucopus var. glaucopus				27889	1a	variety		accepted	33055	2015-04-29				3902	Fungi	Cortinarius glaucopus var. glaucopus	variety		FALSE
322	643		Cortinarius hinnuleus var. robustus			Rob. Henry	27895	1a	variety		accepted	33061	2015-04-29				3902	Fungi	Cortinarius hinnuleus var. robustus Rob. Henry	variety		FALSE
358	704		Daedaleopsis confragosa var. confragosa				28270	1a	variety		accepted	33813	2015-04-29				3902	Fungi	Daedaleopsis confragosa var. confragosa	variety		FALSE
360	706		Daedaleopsis confragosa var. tricolor		roodplaathoutzwam	(Bull.) Bondartsev, 1953	28270	1a	variety		accepted	33813	2015-04-29			172	3902	Fungi	Daedaleopsis confragosa var. tricolor (Bull.) Bondartsev, 1953	variety		FALSE
