acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Pelenomus comari	(Herbst, 1795)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	17480	20377	NA	NA	rozensnuitkever, wateraardbeisnuittor, rozesnuitkever	37646	0a	species	NA	accepted	50629	2015-04-29	NA	NA	45974	Animalia	NA	species	1222463	Pelenomus commari (Panzer & G.W.F., 1795)	Pelenomus commari	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Pelenomus	1	54	216	1470	4239	1222454	FALSE	Insecta	NA	Pelenomus commari	1222463
Gymnetron villosulum	Gyll., 1838	NA	FUZZY_WITHOUT_AUTHOR	97	DOUBTFUL	17598	20259	NA	NA	NA	37611	0a	species	NA	accepted	50594	2015-04-29	NA	NA	45974	Animalia	NA	species	1244956	Gymnetron villosulus Gyllenhal, 1838	Gymnetron villosulus	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Gymnetron	1	54	216	1470	4239	1244876	FALSE	Insecta	NA	Gymnetron villosulus	1244956
Gymnetron hispidum	Brullé, 1832	NA	FUZZY_WITHOUT_AUTHOR	97	DOUBTFUL	17607	20250	NA	NA	NA	37611	0a	species	NA	accepted	50594	2015-04-29	NA	NA	45974	Animalia	NA	species	1244902	Gymnetron hispidus Brullé, 1832	Gymnetron hispidus	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Gymnetron	1	54	216	1470	4239	1244876	FALSE	Insecta	NA	Gymnetron hispidus	1244902
Curculio glandium	Desbrochers, J. , 1868	NA	EXACT_WITHOUT_AUTHOR	100	DOUBTFUL	17643	20213	NA	NA	kleine eikelboorder, eikelsnuitkever	37601	0a	species	NA	accepted	50584	2015-04-29	NA	NA	45974	Animalia	NA	species	5011181	Curculio glandium Marsham, 1802	Curculio glandium	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Curculio	1	54	216	1470	4239	5010305	FALSE	Insecta	NA	Curculio glandium	5011181
Coniocleonus hollbergi	(Fahrs., 1842)	NA	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	17654	20203	NA	NA	grote grijze heidesnuitkever, grote grijze heisnuittor, grijze grote heidesnuitt	37597	0a	species	NA	accepted	50580	2015-04-29	NA	NA	45974	Animalia	NA	species	4465212	Coniocleonus hollbergii (Fåhraeus, 1842)	Coniocleonus hollbergii	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Cleonus	1	54	216	1470	4239	8152275	TRUE	Insecta	1190017	Cleonus hollbergii	1190017
Caenopsis fissirostris	Gutfleisch, V ed. Bose, F.C. , 1859	NA	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	17709	20147	NA	NA	NA	37586	0a	species	NA	accepted	50569	2015-04-29	NA	NA	45974	Animalia	NA	species	5019064	Caenopsis fissirostris (Walton, 1847)	Caenopsis fissirostris	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Caenopsis	1	54	216	1470	4239	1227643	FALSE	Insecta	NA	Caenopsis fissirostris	5019064
Anthonomus piri	Kollar, 1837	NA	FUZZY_WITHOUT_AUTHOR	96	DOUBTFUL	17748	20109	NA	NA	perenknopkever, pereknopkever, perenbloesemkever	37580	0a	species	NA	accepted	50561	2015-04-29	NA	NA	45974	Animalia	NA	species	7504264	Anthonomus pyri Gyllenhal, 1835	Anthonomus pyri	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Anthonomus	1	54	216	1470	4239	9223407	FALSE	Insecta	NA	Anthonomus pyri	7504264
Anthonomus phyllocola	(Herbst, 1795)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	17749	20108	NA	NA	NA	37580	0a	species	NA	accepted	50561	2015-04-29	NA	NA	45974	Animalia	NA	species	5013703	Anthonomus philocola Dejean, 1821	Anthonomus philocola	SPECIES	Animalia	Arthropoda	Coleoptera	Curculionidae	Anthonomus	1	54	216	1470	4239	9223407	FALSE	Insecta	NA	Anthonomus philocola	5013703
Psilothrix viridicoeruleus	(Geoffr. in Fourcr., 1785)	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	17877	20550	NA	NA	duinbloemweekschildkever	37699	0a	species	NA	accepted	50682	2015-04-29	NA	NA	45974	Animalia	NA	species	7942480	Psilothrix viridicoerulea (Geoffroy, 1785)	Psilothrix viridicoerulea	SPECIES	Animalia	Arthropoda	Coleoptera	Dasytidae	Psilothrix	1	54	216	1470	4449504	8067196	FALSE	Insecta	NA	Psilothrix viridicoerulea	7942480
Laricobius erichsonii	Rosh., 1846	NA	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	17897	20575	NA	NA	NA	37710	0a	species	NA	accepted	50693	2015-04-29	NA	NA	45974	Animalia	NA	species	1038937	Laricobius erichsoni Rosenhauer, 1846	Laricobius erichsoni	SPECIES	Animalia	Arthropoda	Coleoptera	Derodontidae	Laricobius	1	54	216	1470	7822	1038935	FALSE	Insecta	NA	Laricobius erichsoni	1038937
