acceptedname	scientificnameauthorship	n_occs	matchType	confidence	status	id	speciesbeid	colid	vernacularnamefr	vernacularnamenl	parentid	distributionstatuscode	taxonranken	media	taxonomicstatusen	speciesbeparentid	bruenvi_created	bruenvi_modified	bruenvi_author	kingdom_id	bim_kingdom	name_for_gbif	rank_for_gbif	usageKey	scientificName	canonicalName	rank	kingdom	phylum	order	family	genus	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	synonym	class	acceptedUsageKey	species	speciesKey
Simocybe rubi form. tetraspora	NA	4243	NONE	100	NA	140	322	NA	NA	NA	32843	1a	forma	NA	accepted	44078	2015-04-29	NA	NA	3902	Fungi	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Allocricetus bursae	NA	2642	NONE	100	NA	49826	_64133	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Plationus patulus patulus	(Müller, 1786)	1610	NONE	99	NA	46492	59776	NA	NA	NA	46491	NA	subspecies	NA	accepted	59775	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Halticus apterus apterus	(Linnaeus, 1758)	1516	NONE	100	NA	1276	2185	NA	NA	NA	26217	0a	subspecies	NA	accepted	29195	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Lachnum soppitii	(Massee) Raitv.	1055	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	29811	37137	NA	NA	NA	42831	1a	species	NA	accepted	55931	2015-04-29	NA	NA	3902	Fungi	NA	species	2586173	Lachnum soppittii (Massee) Raitv.	Lachnum soppittii	SPECIES	Fungi	Ascomycota	Helotiales	Lachnaceae	Lachnum	5	95	179	1052	3295205	2581043	FALSE	Leotiomycetes	NA	Lachnum soppittii	2586173
Uropodea minima	Kramer, 1882	815	NONE	100	NA	49845	64113	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pelophylax kl. esculentus	NA	633	NONE	100	NA	50708	NA	NA	NA	NA	50707	NA	species	NA	accepted	NA	2015-04-29	2015-08-17	wdesmet	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Laccobius atrocephalus ytenensis	Shp., 1910	538	NONE	100	NA	1026	1933	NA	NA	NA	18352	0a	subspecies	NA	accepted	21056	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Barbatula barbatulus	(Linnaeus, 1758)	523	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	2524	3561	NA	loche franche	bermpje	39348	1a	species	NA	accepted	52342	2015-04-29	NA	NA	45974	Animalia	NA	species	5204862	Barbatula barbatula (Linnaeus, 1758)	Barbatula barbatula	SPECIES	Animalia	Chordata	Cypriniformes	Nemacheilidae	Barbatula	1	44	204	1153	6759123	2357544	FALSE	Actinopterygii	NA	Barbatula barbatula	5204862
Apterygothrips priesneri	zur Strassen, 1966	423	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	6464	7561	NA	NA	NA	34733	2d	species	NA	accepted	47704	2015-04-29	NA	NA	45974	Animalia	NA	species	8745264	Apterygothrips priesneri	Apterygothrips priesneri	SPECIES	Animalia	Arthropoda	Thysanoptera	Phlaeothripidae	Apterygothrips	1	54	216	1228	4386	1420336	FALSE	Insecta	NA	Apterygothrips priesneri	8745264
Diaporthe rijckholti	(Westend.) Nitschke	418	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	28659	34339	NA	NA	NA	42389	1a	species	NA	accepted	55455	2015-04-29	NA	NA	3902	Fungi	NA	species	2567722	Diaporthe ryckholtii (Westend.) Nitschke, 1870	Diaporthe ryckholtii	SPECIES	Fungi	Ascomycota	Diaporthales	Diaporthaceae	Phomopsis	5	95	320	1289	4146	2577612	TRUE	Sordariomycetes	5253116	Phomopsis ryckholtii	5253116
Dicrostonyx gulielmi	(Stanford, 1870)	347	NONE	100	NA	49825	64132	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Capra aegagrus f. domestica	NA	306	NONE	100	NA	50022	63830	NA	NA	NA	NA	NA	forma	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Macrosiagon sp.	NA	287	NONE	99	NA	18815	21542	NA	NA	NA	38006	0a	species	NA	accepted	50991	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Aspergillus koningi	Oudem.	250	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	26928	30395	NA	NA	NA	41869	1a	species	NA	accepted	54886	2015-04-29	NA	NA	3902	Fungi	NA	species	5488649	Aspergillus koningii Oudem.	Aspergillus koningii	SPECIES	Fungi	Ascomycota	Eurotiales	Trichocomaceae	Aspergillus	5	95	178	1040	8324	8884233	FALSE	Eurotiomycetes	NA	Aspergillus koningii	5488649
Mustela praenivalis	Linnaeus 1758	236	NONE	100	NA	49840	_64118	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Forcipomyia brevicubita	(Goetghebuer, 1920)	214	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	11840	13379	NA	NA	NA	36024	0a	species	NA	accepted	49003	2015-04-29	NA	NA	45974	Animalia	NA	species	1634297	Forcipomyia brevicubitus Goetghebuer, 1920	Forcipomyia brevicubitus	SPECIES	Animalia	Arthropoda	Diptera	Ceratopogonidae	Forcipomyia	1	54	216	811	3340	1633624	FALSE	Insecta	NA	Forcipomyia brevicubitus	1634297
Trichapion simile	(Kirby, 1811)	205	NONE	100	NA	17791	18877	NA	NA	berkenspitsmuisje	37236	0a	species	NA	accepted	50211	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Calycella syringa	(Linnaeus, 1758)	171	NONE	99	NA	47269	60902	NA	NA	kruipende klokpoliep	42016	NA	species	NA	accepted	55041	2015-04-29	NA	NA	3902	Fungi	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Oelema	NA	140	NONE	100	NA	50676	NA	NA	NA	NA	NA	NA	genus	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	genus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Malus sylvestris sylvestris	NA	135	NONE	99	NA	51059	NA	NA	NA	NA	NA	NA	unranked	NA	accepted	NA	2016-01-07	NA	NA	NA	NA	NA	unranked	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Rhagio lineola lineola	Fabricius, 1794	128	NONE	100	NA	977	1872	NA	NA	NA	14703	0a	subspecies	NA	accepted	16892	2015-04-29	NA	NA	45974	Animalia	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Oxycoccus palustris	Pers.	128	NONE	99	NA	1659	2696	NA	NA	kleine veenbes	38984	1a	species	NA	accepted	51976	2015-04-29	NA	NA	45975	Plantae	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Coloniales	NA	118	NONE	100	NA	48504	62185	NA	NA	NA	NA	NA	order	NA	accepted	62117	2015-04-29	NA	NA	NA	NA	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Cystoseira baccata	(S.G. Gmelin) Greville	113	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	24711	27542	NA	NA	vezelwier	40799	1b	species	NA	accepted	53796	2015-04-29	NA	NA	49806	Chromista	NA	species	3197714	Cystoseira baccata (S.G.Gmel.) P.C.Silva	Cystoseira baccata	SPECIES	Chromista	Ochrophyta	Fucales	Sargassaceae	Cystoseira	4	98	7073593	1182	7733	3197616	FALSE	Phaeophyceae	NA	Cystoseira baccata	3197714
Harmonia axyridis f. spectabilis	NA	108	NONE	100	NA	50475	NA	NA	NA	NA	NA	NA	forma	NA	unknown	NA	2015-04-29	NA	NA	NA	NA	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Caryocolum marmoreum	(Haworth, 1828)	107	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	22047	24804	NA	NA	NA	39630	0a	species	NA	accepted	52629	2015-04-29	NA	NA	45974	Animalia	NA	species	1850077	Caryocolum marmorea (Haworth, 1828)	Caryocolum marmorea	SPECIES	Animalia	Arthropoda	Lepidoptera	Gelechiidae	Caryocolum	1	54	216	797	3553	1850022	FALSE	Insecta	NA	Caryocolum marmorea	1850077
Hercostomus vockerothi	d#Assis Fonseca, 1976	97	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	12751	14477	NA	NA	NA	36255	0a	species	NA	accepted	49234	2015-04-29	NA	NA	45974	Animalia	NA	species	1602137	Hercostomus vockerothi Assis-Fonseca, 1976	Hercostomus vockerothi	SPECIES	Animalia	Arthropoda	Diptera	Dolichopodidae	Hercostomus	1	54	216	811	7305	1601971	FALSE	Insecta	NA	Hercostomus vockerothi	1602137
Flavoscypha cantharellus	(Fr.:Fr.) Harm.	94	FUZZY_WITHOUT_AUTHOR	98	ACCEPTED	4871	5941	NA	NA	geel varkensoor	42518	1a	species	NA	accepted	55588	2015-04-29	NA	NA	3902	Fungi	NA	species	2594215	Flavoscypha cantharella (Fr.) Harmaja	Flavoscypha cantharella	SPECIES	Fungi	Ascomycota	Pezizales	Pyronemataceae	Flavoscypha	5	95	316	1057	4131	2594209	FALSE	Pezizomycetes	NA	Flavoscypha cantharella	2594215
Plectida	NA	94	NONE	100	NA	48513	62195	NA	NA	NA	47832	NA	order	NA	accepted	62140	2015-04-29	NA	NA	NA	NA	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Dothichiza pityophila	(Corda) Petr.	91	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	28688	34369	NA	NA	NA	18738	1a	species	NA	accepted	55458	2015-04-29	NA	NA	3902	Fungi	NA	species	2612877	Dothichiza pithyophila (Corda) Petr.	Dothichiza pithyophila	SPECIES	Fungi	Ascomycota	Dothideales	Dothioraceae	Sydowia	5	95	183	1033	4803	2612873	TRUE	Dothideomycetes	2612876	Sydowia polyspora	2612876
Rhadicolepus alpestris	(Kolenati, 1848)	84	NONE	100	NA	20176	22900	NA	NA	NA	38395	1a	species	NA	accepted	51386	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Orchidales	NA	82	NONE	100	NA	45776	58962	NA	NA	NA	2396	NA	order	NA	to determine	59135	2015-04-29	NA	NA	45975	Plantae	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Arabidopsis arenosa subsp. Arenosa	(L.) Lawalrée	65	NONE	99	NA	50185	NA	urn:lsid:catalogueoflife.org:taxon:282aaf82-60a7-102d-be47-00304854f810	NA	NA	NA	NA	subspecies	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Juncales	NA	57	NONE	100	NA	45766	58952	NA	NA	NA	2396	NA	order	NA	to determine	59135	2015-04-29	NA	NA	45975	Plantae	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Caprinae	Gray, 1821	47	NONE	100	NA	50076	63735	NA	NA	NA	NA	NA	subfamily	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	subfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Oribatida	NA	45	NONE	100	NA	49867	64091	NA	NA	NA	NA	NA	order	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Hadromerida	NA	40	NONE	100	NA	49771	62228	NA	NA	NA	48482	NA	order	NA	accepted	62150	2015-04-29	NA	NA	NA	NA	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Plagiostoma devexa	(Desm.) Fuckel	36	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	31830	41395	NA	NA	NA	43344	1a	species	NA	accepted	56476	2015-04-29	NA	NA	3902	Fungi	NA	species	5252783	Plagiostoma devexum (Desm.) Fuckel	Plagiostoma devexum	SPECIES	Fungi	Ascomycota	Diaporthales	Gnomoniaceae	Plagiostoma	5	95	320	1289	4147	2566502	FALSE	Sordariomycetes	NA	Plagiostoma devexum	5252783
Ceriantharia	NA	35	NONE	100	NA	49789	62267	NA	NA	NA	48477	NA	order	NA	accepted	62126	2015-04-29	NA	NA	NA	NA	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Tripleurospermum maritimum subsp. maritima	(L.) W.D.J.Koch	34	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	50931	NA	urn:lsid:catalogueoflife.org:taxon:b65c8804-d976-11e1-a7f8-569cdfeac142	NA	NA	NA	NA	subspecies	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	subspecies	6296621	Tripleurospermum maritimum subsp. maritimum	Tripleurospermum maritimum maritimum	SUBSPECIES	Plantae	Tracheophyta	Asterales	Asteraceae	Tripleurospermum	6	7707728	220	414	3065	3104137	FALSE	Magnoliopsida	NA	Tripleurospermum maritimum	3104173
Sternorrhyncha	NA	30	NONE	100	NA	46757	60053	NA	NA	plantenluizen	45616	NA	suborder	NA	accepted	58794	2015-04-29	NA	NA	45974	Animalia	NA	suborder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Capra aegagrus f. hircus	NA	30	NONE	100	NA	50021	63831	NA	NA	NA	NA	NA	forma	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Pitymys gregaloides	McMurtrie 1831	29	NONE	100	NA	49817	_64144	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Vaucheria prona	Christensen	25	NONE	99	NA	24989	27892	NA	NA	NA	40896	1a	species	NA	accepted	53894	2015-04-29	NA	NA	45975	Plantae	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Anobium costatum	Arrag., 1830	21	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	16156	18733	NA	NA	NA	37174	0a	species	NA	accepted	50148	2015-04-29	NA	NA	45974	Animalia	NA	species	4427213	Anobium costatus Aragona, 1830	Anobium costatus	SPECIES	Animalia	Arthropoda	Coleoptera	Anobiidae	Hemicoelus	1	54	216	1470	7770	1095624	TRUE	Insecta	4427212	Hemicoelus costatus	4427212
Apion rubiginosum	Balfour-Browne , 1944	21	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	18817	18795	NA	NA	NA	37204	0a	species	NA	accepted	50179	2015-04-29	NA	NA	45974	Animalia	NA	species	1248443	Apion rubiginosum Grill, 1893	Apion rubiginosum	SPECIES	Animalia	Arthropoda	Coleoptera	Apionidae	Apion	1	54	216	1470	4207	9580281	FALSE	Insecta	NA	Apion rubiginosum	1248443
Lomechusoides strumosa	(F., 1792)	20	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	19540	22266	NA	NA	grote haarboskever	38218	0a	species	NA	accepted	51207	2015-04-29	NA	NA	45974	Animalia	NA	species	7437227	Lomechusoides strumosus (Fabricius, 1792)	Lomechusoides strumosus	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Lomechusoides	1	54	216	1470	7854	4715471	FALSE	Insecta	NA	Lomechusoides strumosus	7437227
Panthera leo fossilis	(Reichenau, 1906)	20	NONE	100	NA	49813	_64148	NA	NA	NA	NA	NA	subspecies	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	subspecies	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Diderma umbilicatum var. umbilicatum	NA	19	NONE	100	NA	382	747	NA	NA	robuust kristalkopje	28550	1a	variety	NA	accepted	34213	2015-04-29	NA	NA	3902	Fungi	NA	variety	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Gymnomus caesia	(Meigen, 1830)	19	FUZZY_WITHOUT_AUTHOR	99	SYNONYM	13257	15087	NA	NA	NA	36349	0a	species	NA	accepted	49327	2015-04-29	NA	NA	45974	Animalia	NA	species	4515946	Gymnomus caesius (Meigen, 1830)	Gymnomus caesius	SPECIES	Animalia	Arthropoda	Diptera	Heleomyzidae	Scoliocentra	1	54	216	811	5551	1562315	TRUE	Insecta	1562332	Scoliocentra caesia	1562332
Micrasemodes minimus	(Maclachlan, 1876)	18	NONE	100	NA	1777	2814	NA	NA	NA	38345	1a	species	NA	accepted	51335	2015-04-29	NA	NA	45974	Animalia	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Coniosporium piri	Oudem.	18	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	27627	32473	NA	NA	NA	42182	1a	species	NA	accepted	55207	2015-04-29	NA	NA	3902	Fungi	NA	species	7931075	Coniosporium pyri Oudem.	Coniosporium pyri	SPECIES	Fungi	Ascomycota	NA	NA	Coniosporium	5	95	178	NA	NA	7792947	FALSE	Eurotiomycetes	NA	Coniosporium pyri	7931075
Plumbaginales	NA	17	NONE	100	NA	45779	58965	NA	NA	NA	2396	NA	order	NA	to determine	59135	2015-04-29	NA	NA	45975	Plantae	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Hyale prevosti	(Milne-Edwards 1830)	15	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	49717	60401	NA	NA	NA	NA	NA	species	NA	accepted	62777	2015-04-29	NA	NA	NA	NA	NA	species	5177891	Hyale prevostii (H.Milne Edwards, 1830)	Hyale prevostii	SPECIES	Animalia	Arthropoda	Amphipoda	Hyalidae	Hyale	1	54	229	1231	4438	2219582	FALSE	Malacostraca	NA	Hyale prevostii	5177891
Nenteria stameri	Hirschmann & Zirngiebl-Nicol, 1962	15	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	49837	64121	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	4549639	Nenteria stammeri Hirschmann & Zirngiebl-Nicol, 1962	Nenteria stammeri	SPECIES	Animalia	Arthropoda	Mesostigmata	Trematuridae	Nenteria	1	54	367	1109	4549620	4406432	FALSE	Arachnida	NA	Nenteria stammeri	4549639
Aceria tenella	NA	15	FUZZY_WITHOUT_AUTHOR	96	ACCEPTED	50106	NA	NA	NA	NA	NA	NA	species	NA	unknown	NA	2015-04-29	NA	NA	NA	NA	NA	species	4544650	Aceria tenellus (Nalepa, 1892)	Aceria tenellus	SPECIES	Animalia	Arthropoda	Prostigmata	Eriophyidae	Aceria	1	54	367	372	2816	2128489	FALSE	Arachnida	NA	Aceria tenellus	4544650
Microlepidoptera	NA	15	NONE	100	NA	50627	NA	NA	NA	NA	NA	NA	genus	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	genus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Vaucheria pseudogeminata	Dangeard	14	NONE	99	NA	24990	27893	NA	NA	NA	40896	1a	species	NA	accepted	53894	2015-04-29	NA	NA	45975	Plantae	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Arthrobotrys psychrophila	(Drechsler) M. Scholler, Hagedorn & A. Rubner, 1999	14	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	26847	30256	NA	NA	NA	41845	1a	species	NA	anamorph	54862	2015-04-29	NA	NA	3902	Fungi	NA	species	5257661	Arthrobotrys psychrophilus (Drechsler) M.Scholler, Hagedorn & A.Rubner, 1999	Arthrobotrys psychrophilus	SPECIES	Fungi	Ascomycota	Orbiliales	Orbiliaceae	Arthrobotrys	5	95	181	1056	4127	2587473	FALSE	Orbiliomycetes	NA	Arthrobotrys psychrophilus	5257661
Lauroppia splendens	NA	14	NONE	100	NA	49818	64143	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Anatinae	NA	14	NONE	100	NA	50023	63820	NA	NA	NA	NA	NA	subfamily	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	subfamily	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Oncodelphax pullulus	(Boheman, 1852)	13	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	6254	7344	NA	NA	NA	34620	1a	species	NA	accepted	47592	2015-04-29	NA	NA	45974	Animalia	NA	species	2056873	Oncodelphax pullula (Boheman, 1852)	Oncodelphax pullula	SPECIES	Animalia	Arthropoda	Hemiptera	Delphacidae	Oncodelphax	1	54	216	809	8498	2056872	FALSE	Insecta	NA	Oncodelphax pullula	2056873
Chorebus resa	(Nixon, 1937)	13	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	7099	8196	NA	NA	NA	34865	1a	species	NA	accepted	47837	2015-04-29	NA	NA	45974	Animalia	NA	species	1271510	Chorebus resus (Nixon, 1937)	Chorebus resus	SPECIES	Animalia	Arthropoda	Hymenoptera	Braconidae	Chorebus	1	54	216	1457	6910	1271160	FALSE	Insecta	NA	Chorebus resus	1271510
Chorebus stenocera	(Thomson, 1895)	13	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	7105	8202	NA	NA	NA	34865	1a	species	NA	accepted	47837	2015-04-29	NA	NA	45974	Animalia	NA	species	1271275	Chorebus stenocerus (Thomson, 1895)	Chorebus stenocerus	SPECIES	Animalia	Arthropoda	Hymenoptera	Braconidae	Chorebus	1	54	216	1457	6910	1271160	FALSE	Insecta	NA	Chorebus stenocerus	1271275
Bythinus burrelli	Denny, 1825	13	FUZZY_WITHOUT_AUTHOR	99	ACCEPTED	18727	21452	NA	NA	NA	37971	0a	species	NA	accepted	50956	2015-04-29	NA	NA	45974	Animalia	NA	species	4441699	Bythinus burrellii Denny, 1825	Bythinus burrellii	SPECIES	Animalia	Arthropoda	Coleoptera	Staphylinidae	Bythinus	1	54	216	1470	7854	7973025	FALSE	Insecta	NA	Bythinus burrellii	4441699
Papaverales	NA	13	NONE	100	NA	45777	58963	NA	NA	NA	2396	NA	order	NA	to determine	59135	2015-04-29	NA	NA	45975	Plantae	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Urocystales	NA	13	NONE	100	NA	45894	59085	NA	NA	NA	45946	NA	order	NA	to determine	59151	2015-04-29	NA	NA	3902	Fungi	NA	order	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Megaceros giganteus	(Blumenbach, 1799)	13	EXACT_WITHOUT_AUTHOR	98	ACCEPTED	49836	_64122	NA	NA	NA	NA	NA	species	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	species	8893676	Megaceros giganteus (Lehm. & Lindenb.) Steph.	Megaceros giganteus	SPECIES	Plantae	Anthocerotophyta	Anthocerotales	Anthocerotaceae	NA	6	13	132	955	3106	NA	FALSE	Anthocerotopsida	NA	Megaceros giganteus	8893676
Collembola	NA	13	NONE	99	NA	50306	NA	NA	NA	NA	NA	NA	genus	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	genus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Dicranomyia stigmatica	(Philippi, 1866)	12	EXACT_WITHOUT_AUTHOR	100	ACCEPTED	13551	15431	NA	NA	NA	36420	3b	species	NA	accepted	49398	2015-04-29	NA	NA	45974	Animalia	NA	species	1514412	Dicranomyia stigmatica (Meigen, 1830)	Dicranomyia stigmatica	SPECIES	Animalia	Arthropoda	Diptera	Limoniidae	Dicranomyia	1	54	216	811	5580	6739522	FALSE	Insecta	NA	Dicranomyia stigmatica	1514412
Vaucheria intermedia	Nordstedt	12	NONE	99	NA	24981	27883	NA	NA	NA	40896	1a	species	NA	accepted	53894	2015-04-29	NA	NA	45975	Plantae	NA	species	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
Deporaus mannerheimii	(Hummel, 1823)	12	FUZZY_WITHOUT_AUTHOR	98	SYNONYM	49641	21551	NA	NA	NA	38009	0a	species	NA	accepted	50994	2015-04-29	NA	NA	45974	Animalia	NA	species	8426027	Deporaus mannerheimi Hummel, 1823	Deporaus mannerheimi	SPECIES	Animalia	Arthropoda	Coleoptera	Attelabidae	Rhynchites	1	54	216	1470	4208	9124726	TRUE	Insecta	1163970	Rhynchites mannerheimii	1163970
Cairina moschata f. domesticus	NA	12	NONE	100	NA	50251	NA	NA	NA	NA	NA	NA	forma	NA	accepted	NA	2015-04-29	NA	NA	NA	NA	NA	form	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	FALSE	NA	NA	NA	NA
