taxonid,annexcode,acceptedname,gbif_scientificName,gbif_accepted_name,gbif_kingdom,gbif_phylum,gbif_order,gbif_class,gbif_family,gbif_genus
2031,BXL-ORD-2012_Annex II.1,Dryocopus martius,"Dryocopus martius (Linnaeus, 1758)","Dryocopus martius (Linnaeus, 1758)",Animalia,Chordata,Piciformes,Aves,Picidae,Dryocopus
2859,BXL-ORD-2012_Annex II.1,Falco peregrinus,"Falco peregrinus, 1771","Falco peregrinus, 1771",Animalia,Chordata,Falconiformes,Aves,Falconidae,Falco
2968,BXL-ORD-2012_Annex II.1,Barbastella barbastellus,"Barbastella barbastellus (Schreber, 1774)","Barbastella barbastellus (Schreber, 1774)",Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Barbastella
3435,BXL-ORD-2012_Annex II.1,Dendrocopos medius,"Dendrocopos medius (Linnaeus, 1758)","Dendrocopos medius (Linnaeus, 1758)",Animalia,Chordata,Piciformes,Aves,Picidae,Dendrocopos
3482,BXL-ORD-2012_Annex II.1,Caprimulgus europaeus,"Caprimulgus europaeus Linnaeus, 1758","Caprimulgus europaeus Linnaeus, 1758",Animalia,Chordata,Caprimulgiformes,Aves,Caprimulgidae,Caprimulgus
3501,BXL-ORD-2012_Annex II.1,Alcedo atthis,"Alcedo atthis (Linnaeus, 1758)","Alcedo atthis (Linnaeus, 1758)",Animalia,Chordata,Coraciiformes,Aves,Alcedinidae,Alcedo
3575,BXL-ORD-2012_Annex II.1,Pernis apivorus,"Pernis apivorus (Linnaeus, 1758)","Pernis apivorus (Linnaeus, 1758)",Animalia,Chordata,Accipitriformes,Aves,Accipitridae,Pernis
3645,BXL-ORD-2012_Annex II.1,Myotis dasycneme,"Myotis dasycneme (Boie, 1825)","Myotis dasycneme (Boie, 1825)",Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis
3647,BXL-ORD-2012_Annex II.1,Myotis emarginatus,"Myotis emarginatus (E.Geoffroy, 1806)","Myotis emarginatus (E.Geoffroy, 1806)",Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis
3648,BXL-ORD-2012_Annex II.1,Myotis myotis,"Myotis myotis (Borkhausen, 1797)","Myotis myotis (Borkhausen, 1797)",Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis
3666,BXL-ORD-2012_Annex II.1,Rhinolophus ferrumequinum,"Rhinolophus ferrumequinum (Schreber, 1774)","Rhinolophus ferrumequinum (Schreber, 1774)",Animalia,Chordata,Chiroptera,Mammalia,Rhinolophidae,Rhinolophus
4134,BXL-ORD-2012_Annex II.1,Vertigo angustior,"Vertigo angustior Jeffreys, 1830","Vertigo angustior Jeffreys, 1830",Animalia,Mollusca,Stylommatophora,Gastropoda,Vertiginidae,Vertigo
4136,BXL-ORD-2012_Annex II.1,Vertigo moulinsiana,"Vertigo moulinsiana (Dupuy, 1849)","Vertigo moulinsiana (Dupuy, 1849)",Animalia,Mollusca,Stylommatophora,Gastropoda,Vertiginidae,Vertigo
5612,BXL-ORD-2012_Annex II.1,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)","Lucanus cervus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Lucanidae,Lucanus
21557,BXL-ORD-2012_Annex II.1,Rhodeus amarus,"Rhodeus amarus (Bloch, 1782)","Rhodeus amarus (Bloch, 1782)",Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhodeus
23749,BXL-ORD-2012_Annex II.1,Mergellus albellus,"Mergellus albellus (Linnaeus, 1758)","Mergellus albellus (Linnaeus, 1758)",Animalia,Chordata,Anseriformes,Aves,Anatidae,Mergellus
25111,BXL-ORD-2012_Annex II.1,Myotis bechsteinii,"Myotis bechsteinii (Kuhl, 1817)","Myotis bechsteinii (Kuhl, 1817)",Animalia,Chordata,Chiroptera,Mammalia,Vespertilionidae,Myotis
1329,BXL-ORD-2012_Annex II.2,Rana esculenta,,,,,,,,
