taxonid,annexcode,acceptedname,gbif_scientificName,gbif_accepted_name,gbif_kingdom,gbif_phylum,gbif_order,gbif_class,gbif_family,gbif_genus
1377,BXL-ORD-2012_Annex II.2,Hippocampus ramulosus,"Hippocampus ramulosus Leach, 1814","Hippocampus guttulatus Cuvier, 1829",Animalia,Chordata,Syngnathiformes,Actinopterygii,Syngnathidae,Hippocampus
1418,BXL-ORD-2012_Annex II.2,Anthericum liliago,Anthericum liliago L.,Anthericum liliago L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Asparagaceae,Anthericum
1425,BXL-ORD-2012_Annex II.2,Apium repens,Apium repens (Jacq.) Lag.,Helosciadium repens W.D.J.Koch,Plantae,Tracheophyta,Apiales,Magnoliopsida,Apiaceae,Helosciadium
1431,BXL-ORD-2012_Annex II.2,Arnica montana,Arnica montana L.,Arnica montana L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Arnica
1434,BXL-ORD-2012_Annex II.2,Artemisia campestris,Artemisia campestris L.,Artemisia campestris L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Artemisia
1437,BXL-ORD-2012_Annex II.2,Asplenium adiantum-nigrum,Asplenium adiantum-nigrum L.,Asplenium adiantum-nigrum L.,Plantae,Tracheophyta,Polypodiales,Polypodiopsida,Aspleniaceae,Asplenium
1506,BXL-ORD-2012_Annex II.2,Ceterach officinarum,Ceterach officinarum Willd.,Asplenium ceterach subsp. ceterach,Plantae,Tracheophyta,Polypodiales,Polypodiopsida,Aspleniaceae,Asplenium
1529,BXL-ORD-2012_Annex II.2,Daphne mezereum,Daphne mezereum L.,Daphne mezereum L.,Plantae,Tracheophyta,Malvales,Magnoliopsida,Thymelaeaceae,Daphne
1535,BXL-ORD-2012_Annex II.2,Diphasiastrum tristachyum,Diphasiastrum tristachyum (Pursh) Holub,Diphasiastrum tristachyum (Pursh) Holub,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Diphasiastrum
1537,BXL-ORD-2012_Annex II.2,Drosera intermedia,Drosera intermedia Hayne,Drosera intermedia Hayne,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Droseraceae,Drosera
1540,BXL-ORD-2012_Annex II.2,Drosera rotundifolia,Drosera rotundifolia L.,Drosera rotundifolia L.,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Droseraceae,Drosera
1562,BXL-ORD-2012_Annex II.2,Gentiana cruciata,Gentiana cruciata L.,Gentiana cruciata L.,Plantae,Tracheophyta,Gentianales,Magnoliopsida,Gentianaceae,Gentiana
1563,BXL-ORD-2012_Annex II.2,Gentiana pneumonanthe,Gentiana pneumonanthe L.,Gentiana pneumonanthe L.,Plantae,Tracheophyta,Gentianales,Magnoliopsida,Gentianaceae,Gentiana
1586,BXL-ORD-2012_Annex II.2,Juniperus communis,Juniperus communis L.,Juniperus communis L.,Plantae,Tracheophyta,Pinales,Pinopsida,Cupressaceae,Juniperus
1602,BXL-ORD-2012_Annex II.2,Limonium vulgare,Limonium vulgare Mill.,Limonium vulgare Mill.,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Plumbaginaceae,Limonium
1612,BXL-ORD-2012_Annex II.2,Lobelia dortmanna,Lobelia dortmanna L.,Lobelia dortmanna L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Campanulaceae,Lobelia
1616,BXL-ORD-2012_Annex II.2,Luronium natans,Luronium natans Raf.,Luronium natans Raf.,Plantae,Tracheophyta,Alismatales,Liliopsida,Alismataceae,Luronium
1618,BXL-ORD-2012_Annex II.2,Lycopodiella inundata,Lycopodiella inundata (L.) Holub,Lycopodiella inundata (L.) Holub,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Lycopodiella
1619,BXL-ORD-2012_Annex II.2,Lycopodium annotinum,Lycopodium annotinum L.,Spinulum annotinum subsp. annotinum,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Spinulum
1620,BXL-ORD-2012_Annex II.2,Lycopodium clavatum,Lycopodium clavatum L.,Lycopodium clavatum L.,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Lycopodium
1643,BXL-ORD-2012_Annex II.2,Narcissus pseudonarcissus,Narcissus pseudonarcissus L.,Narcissus pseudonarcissus L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Amaryllidaceae,Narcissus
1657,BXL-ORD-2012_Annex II.2,Osmunda regalis,Osmunda regalis L.,Osmunda regalis L.,Plantae,Tracheophyta,Osmundales,Polypodiopsida,Osmundaceae,Osmunda
1663,BXL-ORD-2012_Annex II.2,Parnassia palustris,Parnassia palustris L.,Parnassia palustris L.,Plantae,Tracheophyta,Celastrales,Magnoliopsida,Celastraceae,Parnassia
1666,BXL-ORD-2012_Annex II.2,Primula vulgaris,Primula vulgaris Hudson,Primula acaulis subsp. acaulis,Plantae,Tracheophyta,Ericales,Magnoliopsida,Primulaceae,Primula
1671,BXL-ORD-2012_Annex II.2,Pulsatilla vulgaris,Pulsatilla vulgaris Mill.,Pulsatilla vulgaris Mill.,Plantae,Tracheophyta,Ranunculales,Magnoliopsida,Ranunculaceae,Pulsatilla
1707,BXL-ORD-2012_Annex II.2,Sisymbrium supinum,Sisymbrium supinum L.,Erucastrum supinum (L.) Al-Shehbaz & Warwick,Plantae,Tracheophyta,Brassicales,Magnoliopsida,Brassicaceae,Erucastrum
1709,BXL-ORD-2012_Annex II.2,Sparganium angustifolium,Sparganium angustifolium Michx.,Sparganium angustifolium Michx.,Plantae,Tracheophyta,Poales,Liliopsida,Typhaceae,Sparganium
1719,BXL-ORD-2012_Annex II.2,Stratiotes aloides,Stratiotes aloides L.,Stratiotes aloides L.,Plantae,Tracheophyta,Alismatales,Liliopsida,Hydrocharitaceae,Stratiotes
1745,BXL-ORD-2012_Annex II.2,Zostera marina,Zostera marina L.,Zostera marina L.,Plantae,Tracheophyta,Alismatales,Liliopsida,Zosteraceae,Zostera
1832,BXL-ORD-2012_Annex II.2,Aeshna viridis,"Aeshna viridis Eversmann, 1836","Aeshna viridis Eversmann, 1836",Animalia,Arthropoda,Odonata,Insecta,Aeshnidae,Aeshna
1839,BXL-ORD-2012_Annex II.2,Coenagrion mercuriale,"Coenagrion mercuriale Charpentier, 1840","Coenagrion mercuriale Charpentier, 1840",Animalia,Arthropoda,Odonata,Insecta,Coenagrionidae,Coenagrion
1846,BXL-ORD-2012_Annex II.2,Leucorrhinia albifrons,"Leucorrhinia albifrons Burmeister, 1839","Leucorrhinia albifrons Burmeister, 1839",Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Leucorrhinia
1847,BXL-ORD-2012_Annex II.2,Leucorrhinia caudalis,"Leucorrhinia caudalis Charpentier, 1840","Leucorrhinia caudalis Charpentier, 1840",Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Leucorrhinia
1849,BXL-ORD-2012_Annex II.2,Leucorrhinia pectoralis,"Leucorrhinia pectoralis Charpentier, 1825","Leucorrhinia pectoralis Charpentier, 1825",Animalia,Arthropoda,Odonata,Insecta,Libellulidae,Leucorrhinia
1855,BXL-ORD-2012_Annex II.2,Ophiogomphus cecilia,"Ophiogomphus cecilia Fourcroy, 1785","Ophiogomphus cecilia Fourcroy, 1785",Animalia,Arthropoda,Odonata,Insecta,Gomphidae,Ophiogomphus
1859,BXL-ORD-2012_Annex II.2,Oxygastra curtisii,"Oxygastra curtisii Dale, 1834","Oxygastra curtisii Dale, 1834",Animalia,Arthropoda,Odonata,Insecta,Corduliidae,Oxygastra
1999,BXL-ORD-2012_Annex II.2,Maculinea nausithous,"Maculinea nausithous (Bergsträsser, 1779)","Phengaris nausithous (Bergstrasser, 1779)",Animalia,Arthropoda,Lepidoptera,Insecta,Lycaenidae,Phengaris
2010,BXL-ORD-2012_Annex II.2,Parnassius apollo,"Parnassius apollo (Linnaeus, 1758)","Parnassius apollo (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Insecta,Papilionidae,Parnassius
2015,BXL-ORD-2012_Annex II.2,Lopinga achine,"Lopinga achine (Scopoli, 1763)","Lopinga achine (Scopoli, 1763)",Animalia,Arthropoda,Lepidoptera,Insecta,Nymphalidae,Lopinga
2385,BXL-ORD-2012_Annex II.2,Polystichum aculeatum,Polystichum aculeatum (L.) Roth,Polystichum aculeatum (L.) Roth,Plantae,Tracheophyta,Polypodiales,Polypodiopsida,Dryopteridaceae,Polystichum
2569,BXL-ORD-2012_Annex II.2,Actaea spicata,Actaea spicata L.,Actaea spicata L.,Plantae,Tracheophyta,Ranunculales,Magnoliopsida,Ranunculaceae,Actaea
2588,BXL-ORD-2012_Annex II.2,Althaea officinalis,Althaea officinalis L.,Althaea officinalis L.,Plantae,Tracheophyta,Malvales,Magnoliopsida,Malvaceae,Althaea
2621,BXL-ORD-2012_Annex II.2,Erica cinerea,Erica cinerea L.,Erica cinerea L.,Plantae,Tracheophyta,Ericales,Magnoliopsida,Ericaceae,Erica
2622,BXL-ORD-2012_Annex II.2,Erica tetralix,Erica tetralix L.,Erica tetralix L.,Plantae,Tracheophyta,Ericales,Magnoliopsida,Ericaceae,Erica
2628,BXL-ORD-2012_Annex II.2,Eryngium maritimum,Eryngium maritimum L.,Eryngium maritimum L.,Plantae,Tracheophyta,Apiales,Magnoliopsida,Apiaceae,Eryngium
2668,BXL-ORD-2012_Annex II.2,Leucojum aestivum,Leucojum aestivum L.,Leucojum aestivum L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Amaryllidaceae,Leucojum
2690,BXL-ORD-2012_Annex II.2,Salvinia natans,Salvinia natans (L.) All.,Salvinia natans (L.) All.,Plantae,Tracheophyta,Salviniales,Polypodiopsida,Salviniaceae,Salvinia
2711,BXL-ORD-2012_Annex II.2,Senecio jacobaea,Senecio jacobaea L.,Jacobaea vulgaris subsp. vulgaris,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Jacobaea
3245,BXL-ORD-2012_Annex II.2,Cetorhinus maximus,"Cetorhinus maximus (Gunnerus, 1765)","Cetorhinus maximus (Gunnerus, 1765)",Animalia,Chordata,Lamniformes,Elasmobranchii,Cetorhinidae,Cetorhinus
3268,BXL-ORD-2012_Annex II.2,Helichrysum arenarium,Helichrysum arenarium Moench,Helichrysum arenarium Moench,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Helichrysum
3282,BXL-ORD-2012_Annex II.2,Huperzia selago,Huperzia selago (L.) Bernh. ex Schrank & Mart.,Huperzia selago (L.) Bernh.,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Huperzia
3342,BXL-ORD-2012_Annex II.2,Palingenia longicauda,"Palingenia longicauda (Olivier, 1791)","Palingenia longicauda (Olivier, 1791)",Animalia,Arthropoda,Ephemeroptera,Insecta,Palingeniidae,Palingenia
3400,BXL-ORD-2012_Annex II.2,Euphydryas aurinia,"Euphydryas aurinia (Rottemburg, 1775)","Euphydryas aurinia (Rottemburg, 1775)",Animalia,Arthropoda,Lepidoptera,Insecta,Nymphalidae,Euphydryas
3402,BXL-ORD-2012_Annex II.2,Maculinea teleius,"Maculinea teleius (Bergsträsser, 1779)","Phengaris teleius (Bergstrasser, 1779)",Animalia,Arthropoda,Lepidoptera,Insecta,Lycaenidae,Phengaris
3409,BXL-ORD-2012_Annex II.2,Maculinea arion,"Maculinea arion (Linnaeus, 1758)","Phengaris arion (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Insecta,Lycaenidae,Phengaris
4097,BXL-ORD-2012_Annex II.2,Unio crassus,"Unio crassus Philipsson, 1788","Unio crassus Philipsson, 1788",Animalia,Mollusca,Unionida,Bivalvia,Unionidae,Unio
4126,BXL-ORD-2012_Annex II.2,Anisus vorticulus,"Anisus vorticulus (Troschel, 1834)","Anisus vorticulus (Troschel, 1834)",Animalia,Mollusca,,Gastropoda,Planorbidae,Anisus
4134,BXL-ORD-2012_Annex II.2,Vertigo angustior,"Vertigo angustior Jeffreys, 1830","Vertigo angustior Jeffreys, 1830",Animalia,Mollusca,Stylommatophora,Gastropoda,Vertiginidae,Vertigo
5594,BXL-ORD-2012_Annex II.2,Graphoderus bilineatus,"Graphoderus bilineatus (De Geer, 1774)","Graphoderus bilineatus (De Geer, 1774)",Animalia,Arthropoda,Coleoptera,Insecta,Dytiscidae,Graphoderus
5595,BXL-ORD-2012_Annex II.2,Dytiscus latissimus,"Dytiscus latissimus Linnaeus, 1758","Dytiscus latissimus Linnaeus, 1758",Animalia,Arthropoda,Coleoptera,Insecta,Dytiscidae,Dytiscus
5611,BXL-ORD-2012_Annex II.2,Osmoderma eremita,"Osmoderma eremita (Scopoli, 1763)","Osmoderma eremita (Scopoli, 1763)",Animalia,Arthropoda,Coleoptera,Insecta,Cetoniidae,Osmoderma
5612,BXL-ORD-2012_Annex II.2,Lucanus cervus,"Lucanus cervus (Linnaeus, 1758)","Lucanus cervus (Linnaeus, 1758)",Animalia,Arthropoda,Coleoptera,Insecta,Lucanidae,Lucanus
5615,BXL-ORD-2012_Annex II.2,Cerambyx cerdo,"Cerambyx cerdo Linnaeus, 1758","Cerambyx cerdo Linnaeus, 1758",Animalia,Arthropoda,Coleoptera,Insecta,Cerambycidae,Cerambyx
5622,BXL-ORD-2012_Annex II.2,Proserpinus proserpina,"Proserpinus proserpina (Pallas, 1772)","Proserpinus proserpina (Pallas, 1772)",Animalia,Arthropoda,Lepidoptera,Insecta,Sphingidae,Proserpinus
15179,BXL-ORD-2012_Annex II.2,Arctophila mussitans,"Arctophila mussitans (Fabricius, 1776)","Sericomyia superbiens (Müller, 1776)",Animalia,Arthropoda,Diptera,Insecta,Syrphidae,Sericomyia
20233,BXL-ORD-2012_Annex II.2,Sympecma paedisca,"Sympecma paedisca Brauer, 1877","Sympecma paedisca Brauer, 1877",Animalia,Arthropoda,Odonata,Insecta,Lestidae,Sympecma
20661,BXL-ORD-2012_Annex II.2,Calla palustris,Calla palustris L.,Calla palustris L.,Plantae,Tracheophyta,Alismatales,Liliopsida,Araceae,Calla
20663,BXL-ORD-2012_Annex II.2,Aristolochia clematitis,Aristolochia clematitis L.,Aristolochia clematitis L.,Plantae,Tracheophyta,Piperales,Magnoliopsida,Aristolochiaceae,Aristolochia
20699,BXL-ORD-2012_Annex II.2,Crepis tectorum,Crepis tectorum L.,Crepis tectorum L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Crepis
20927,BXL-ORD-2012_Annex II.2,Calystegia soldanella,Calystegia soldanella (L.) R.Br.,Calystegia soldanella (L.) R.Br.,Plantae,Tracheophyta,Solanales,Magnoliopsida,Convolvulaceae,Calystegia
21000,BXL-ORD-2012_Annex II.2,Erica scoparia,Erica scoparia L.,Erica scoparia L.,Plantae,Tracheophyta,Ericales,Magnoliopsida,Ericaceae,Erica
21161,BXL-ORD-2012_Annex II.2,Leucojum vernum,Leucojum vernum L.,Leucojum vernum L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Amaryllidaceae,Leucojum
21167,BXL-ORD-2012_Annex II.2,Scilla bifolia,Scilla bifolia L.,Scilla bifolia L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Asparagaceae,Scilla
21172,BXL-ORD-2012_Annex II.2,Diphasiastrum complanatum,Diphasiastrum complanatum (L.) Holub,Diphasiastrum complanatum (L.) Holub,Plantae,Tracheophyta,Lycopodiales,Lycopodiopsida,Lycopodiaceae,Diphasiastrum
21202,BXL-ORD-2012_Annex II.2,Botrychium matricariifolium,Botrychium matricariifolium (Döll) A.Br. ex Koch,Botrychium matricariifolium (Döll) A.Br. ex Koch,Plantae,Tracheophyta,Ophioglossales,Psilotopsida,Ophioglossaceae,Botrychium
21376,BXL-ORD-2012_Annex II.2,Trientalis europaea,Trientalis europaea L.,Lysimachia europaea (L.) U.Manns & Anderb.,Plantae,Tracheophyta,Ericales,Magnoliopsida,Primulaceae,Lysimachia
21477,BXL-ORD-2012_Annex II.2,Saxifraga hirculus,Saxifraga hirculus L.,Saxifraga hirculus L.,Plantae,Tracheophyta,Saxifragales,Magnoliopsida,Saxifragaceae,Saxifraga
21542,BXL-ORD-2012_Annex II.2,Viola rupestris,Viola rupestris F.W.Schmidt,Viola rupestris F.W.Schmidt,Plantae,Tracheophyta,Malpighiales,Magnoliopsida,Violaceae,Viola
21557,BXL-ORD-2012_Annex II.2,Rhodeus amarus,"Rhodeus amarus (Bloch, 1782)","Rhodeus amarus (Bloch, 1782)",Animalia,Chordata,Cypriniformes,Actinopterygii,Cyprinidae,Rhodeus
22562,BXL-ORD-2012_Annex II.2,Eriogaster catax,"Eriogaster catax (Linnaeus, 1758)","Eriogaster catax (Linnaeus, 1758)",Animalia,Arthropoda,Lepidoptera,Insecta,Lasiocampidae,Eriogaster
26507,BXL-ORD-2012_Annex II.2,Lycaena dispar,"Lycaena dispar (Haworth, 1802)","Lycaena dispar (Haworth, 1802)",Animalia,Arthropoda,Lepidoptera,Insecta,Lycaenidae,Lycaena
26531,BXL-ORD-2012_Annex II.2,Coenonympha hero,"Coenonympha hero (Linnaeus, 1761)","Coenonympha hero (Linnaeus, 1761)",Animalia,Arthropoda,Lepidoptera,Insecta,Nymphalidae,Coenonympha
47685,BXL-ORD-2012_Annex II.2,Hippocampus hippocampus,"Hippocampus hippocampus (Linnaeus, 1758)","Hippocampus hippocampus (Linnaeus, 1758)",Animalia,Chordata,Syngnathiformes,Actinopterygii,Syngnathidae,Hippocampus
48171,BXL-ORD-2012_Annex II.2,Coregonus oxyrinchus,"Coregonus oxyrinchus (Linnaeus, 1758)","Coregonus oxyrinchus (Linnaeus, 1758)",Animalia,Chordata,Salmoniformes,Actinopterygii,Salmonidae,Coregonus
49450,BXL-ORD-2012_Annex II.2,Acipenser sturio,"Acipenser sturio Linnaeus, 1758","Acipenser sturio Linnaeus, 1758",Animalia,Chordata,Acipenseriformes,Actinopterygii,Acipenseridae,Acipenser
50111,BXL-ORD-2012_Annex II.2,Aconitum napellus,Aconitum napellus L.,Aconitum napellus L.,Plantae,Tracheophyta,Ranunculales,Magnoliopsida,Ranunculaceae,Aconitum
50346,BXL-ORD-2012_Annex II.2,Cyanus montanus,Cyanus montanus (L.) Hill,Centaurea montana L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Centaurea
50379,BXL-ORD-2012_Annex II.2,Dioscorea communis,Dioscorea communis (L.) Caddick & Wilkin,Dioscorea communis (L.) Caddick & Wilkin,Plantae,Tracheophyta,Dioscoreales,Liliopsida,Dioscoreaceae,Dioscorea
1420,BXL-ORD-2012_Annex II.3,Anthyllis vulneraria,Anthyllis vulneraria L.,Anthyllis vulneraria L.,Plantae,Tracheophyta,Fabales,Magnoliopsida,Fabaceae,Anthyllis
1465,BXL-ORD-2012_Annex II.3,Carex caryophyllea,Carex caryophyllea Latour.,Carex caryophyllea Latour.,Plantae,Tracheophyta,Poales,Liliopsida,Cyperaceae,Carex
1468,BXL-ORD-2012_Annex II.3,Carex digitata,Carex digitata L.,Carex digitata L.,Plantae,Tracheophyta,Poales,Liliopsida,Cyperaceae,Carex
1470,BXL-ORD-2012_Annex II.3,Carex divulsa,Carex divulsa Stokes,Carex divulsa Stokes,Plantae,Tracheophyta,Poales,Liliopsida,Cyperaceae,Carex
1487,BXL-ORD-2012_Annex II.3,Carex strigosa,Carex strigosa Huds.,Carex strigosa Huds.,Plantae,Tracheophyta,Poales,Liliopsida,Cyperaceae,Carex
1495,BXL-ORD-2012_Annex II.3,Catapodium rigidum,Catapodium rigidum (L.) C.E.Hubb.,Catapodium rigidum (L.) C.E.Hubb.,Plantae,Tracheophyta,Poales,Liliopsida,Poaceae,Catapodium
1512,BXL-ORD-2012_Annex II.3,Chrysosplenium oppositifolium,Chrysosplenium oppositifolium L.,Chrysosplenium oppositifolium L.,Plantae,Tracheophyta,Saxifragales,Magnoliopsida,Saxifragaceae,Chrysosplenium
1515,BXL-ORD-2012_Annex II.3,Cirsium acaule,Cirsium acaule (L.) Scop.,Cirsium acaule (L.) Scop.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Cirsium
1531,BXL-ORD-2012_Annex II.3,Dianthus armeria,Dianthus armeria L.,Dianthus armeria L.,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Caryophyllaceae,Dianthus
1553,BXL-ORD-2012_Annex II.3,Epilobium lanceolatum,Epilobium lanceolatum Sebast. & Mauri,Epilobium lanceolatum Sebast. & Mauri,Plantae,Tracheophyta,Myrtales,Magnoliopsida,Onagraceae,Epilobium
1589,BXL-ORD-2012_Annex II.3,Knautia arvensis,Knautia arvensis Coult.,Knautia arvensis Coult.,Plantae,Tracheophyta,Dipsacales,Magnoliopsida,Caprifoliaceae,Knautia
1594,BXL-ORD-2012_Annex II.3,Lathyrus aphaca,Lathyrus aphaca L.,Lathyrus aphaca L.,Plantae,Tracheophyta,Fabales,Magnoliopsida,Fabaceae,Lathyrus
1600,BXL-ORD-2012_Annex II.3,Lathyrus tuberosus,Lathyrus tuberosus L.,Lathyrus tuberosus L.,Plantae,Tracheophyta,Fabales,Magnoliopsida,Fabaceae,Lathyrus
1601,BXL-ORD-2012_Annex II.3,Leersia oryzoides,Leersia oryzoides (L.) Sw.,Leersia oryzoides (L.) Sw.,Plantae,Tracheophyta,Poales,Liliopsida,Poaceae,Leersia
1634,BXL-ORD-2012_Annex II.3,Minuartia hybrida,Minuartia hybrida (Vill.) Schischk.,Sabulina tenuifolia subsp. tenuifolia,Plantae,Tracheophyta,Caryophyllales,Magnoliopsida,Caryophyllaceae,Sabulina
1639,BXL-ORD-2012_Annex II.3,Myosotis stricta,Myosotis stricta Link ex Roem. & Schult.,Myosotis stricta Link ex Roem. & Schult.,Plantae,Tracheophyta,Boraginales,Magnoliopsida,Boraginaceae,Myosotis
1643,BXL-ORD-2012_Annex II.3,Narcissus pseudonarcissus,Narcissus pseudonarcissus L.,Narcissus pseudonarcissus L.,Plantae,Tracheophyta,Asparagales,Liliopsida,Amaryllidaceae,Narcissus
1644,BXL-ORD-2012_Annex II.3,Nardus stricta,Nardus stricta L.,Nardus stricta L.,Plantae,Tracheophyta,Poales,Liliopsida,Poaceae,Nardus
1648,BXL-ORD-2012_Annex II.3,Odontites vernus,Odontites vernus Dumort.,Odontites vernus Dumort.,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Orobanchaceae,Odontites
1662,BXL-ORD-2012_Annex II.3,Paris quadrifolia,Paris quadrifolia L.,Paris quadrifolia L.,Plantae,Tracheophyta,Liliales,Liliopsida,Melanthiaceae,Paris
1664,BXL-ORD-2012_Annex II.3,Primula elatior,Primula elatior Hill,Primula elatior subsp. elatior,Plantae,Tracheophyta,Ericales,Magnoliopsida,Primulaceae,Primula
1672,BXL-ORD-2012_Annex II.3,Pyrola minor,Pyrola minor L.,Pyrola minor L.,Plantae,Tracheophyta,Ericales,Magnoliopsida,Ericaceae,Pyrola
1684,BXL-ORD-2012_Annex II.3,Rhinanthus minor,Rhinanthus minor L.,Rhinanthus minor L.,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Orobanchaceae,Rhinanthus
1708,BXL-ORD-2012_Annex II.3,Solidago virgaurea,Solidago virgaurea L.,Solidago virgaurea L.,Plantae,Tracheophyta,Asterales,Magnoliopsida,Asteraceae,Solidago
1715,BXL-ORD-2012_Annex II.3,Stachys arvensis,Stachys arvensis L.,Stachys arvensis L.,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Lamiaceae,Stachys
1731,BXL-ORD-2012_Annex II.3,Thymus pulegioides,Thymus pulegioides L.,Thymus pulegioides L.,Plantae,Tracheophyta,Lamiales,Magnoliopsida,Lamiaceae,Thymus
